"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Unknown","176",".40%","94.12%","11",".37%","5.88%","187",".40%"
"Appling County","110",".25%","97.35%","3",".10%","2.65%","113",".24%"
"Atkinson County","41",".09%","95.35%","2",".07%","4.65%","43",".09%"
"Bacon County","65",".15%","90.28%","7",".23%","9.72%","72",".15%"
"Baker County","13",".03%","86.67%","2",".07%","13.33%","15",".03%"
"Baldwin County","269",".62%","92.12%","23",".77%","7.88%","292",".63%"
"Banks County","56",".13%","88.89%","7",".23%","11.11%","63",".14%"
"Barrow County","302",".69%","90.15%","33","1.11%","9.85%","335",".72%"
"Bartow County","605","1.39%","91.53%","56","1.88%","8.47%","661","1.42%"
"Ben Hill County","216",".49%","96.43%","8",".27%","3.57%","224",".48%"
"Berrien County","89",".20%","96.74%","3",".10%","3.26%","92",".20%"
"Bibb County","960","2.20%","95.33%","47","1.58%","4.67%","1,007","2.16%"
"Bleckley County","59",".14%","90.77%","6",".20%","9.23%","65",".14%"
"Brantley County","94",".22%","87.85%","13",".44%","12.15%","107",".23%"
"Brooks County","39",".09%","100.00%","","","","39",".08%"
"Bryan County","40",".09%","95.24%","2",".07%","4.76%","42",".09%"
"Bulloch County","431",".99%","93.70%","29",".97%","6.30%","460",".99%"
"Burke County","201",".46%","96.63%","7",".23%","3.37%","208",".45%"
"Butts County","117",".27%","90.70%","12",".40%","9.30%","129",".28%"
"Calhoun County","23",".05%","88.46%","3",".10%","11.54%","26",".06%"
"Camden County","167",".38%","93.30%","12",".40%","6.70%","179",".38%"
"Candler County","101",".23%","92.66%","8",".27%","7.34%","109",".23%"
"Carroll County","542","1.24%","94.10%","34","1.14%","5.90%","576","1.24%"
"Catoosa County","328",".75%","92.66%","26",".87%","7.34%","354",".76%"
"Charlton County","52",".12%","89.66%","6",".20%","10.34%","58",".12%"
"Chatham County","1,554","3.56%","96.40%","58","1.95%","3.60%","1,612","3.46%"
"Chattahoochee County","14",".03%","100.00%","","","","14",".03%"
"Chattooga County","170",".39%","89.01%","21",".70%","10.99%","191",".41%"
"Cherokee County","490","1.12%","92.63%","39","1.31%","7.37%","529","1.13%"
"Clarke County","455","1.04%","94.40%","27",".91%","5.60%","482","1.03%"
