"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114
Pike County","36",".08%","87.80%","5",".13%","12.20%","41",".08%"
"115
Polk County","204",".43%","91.48%","19",".51%","8.52%","223",".43%"
"116
Pulaski County","42",".09%","100.00%","","","","42",".08%"
"117
Putnam County","157",".33%","94.01%","10",".27%","5.99%","167",".32%"
"118
Quitman County","10",".02%","100.00%","","","","10",".02%"
"119
Rabun County","58",".12%","85.29%","10",".27%","14.71%","68",".13%"
"120
Randolph County","45",".09%","100.00%","","","","45",".09%"
"121
Richmond County","1,659","3.47%","94.21%","102","2.73%","5.79%","1,761","3.42%"
"122
Rockdale County","472",".99%","91.65%","43","1.15%","8.35%","515","1.00%"
"123
Schley County","18",".04%","94.74%","1",".03%","5.26%","19",".04%"
"124
Screven County","94",".20%","93.07%","7",".19%","6.93%","101",".20%"
"125
Seminole County","65",".14%","94.20%","4",".11%","5.80%","69",".13%"
"126
Spalding County","470",".98%","91.44%","44","1.18%","8.56%","514","1.00%"
"127
Stephens County","116",".24%","96.67%","4",".11%","3.33%","120",".23%"
"128
Stewart County","30",".06%","90.91%","3",".08%","9.09%","33",".06%"
"129
Sumter County","201",".42%","93.49%","14",".37%","6.51%","215",".42%"
"130
Talbot County","24",".05%","92.31%","2",".05%","7.69%","26",".05%"
"131
Taliaferro County","16",".03%","94.12%","1",".03%","5.88%","17",".03%"
"132
Tattnall County","213",".45%","89.87%","24",".64%","10.13%","237",".46%"
"133
Taylor County","53",".11%","94.64%","3",".08%","5.36%","56",".11%"
"134
Telfair County","99",".21%","90.00%","11",".29%","10.00%","110",".21%"
"135
Terrell County","54",".11%","93.10%","4",".11%","6.90%","58",".11%"
"136
Thomas County","222",".46%","96.94%","7",".19%","3.06%","229",".44%"
"137
Tift County","327",".68%","96.18%","13",".35%","3.82%","340",".66%"
"138
Toombs County","281",".59%","95.58%","13",".35%","4.42%","294",".57%"
"139
Towns County","59",".12%","79.73%","15",".40%","20.27%","74",".14%"
"140
Treutlen County","56",".12%","88.89%","7",".19%","11.11%","63",".12%"
"141
Troup County","609","1.27%","92.13%","52","1.39%","7.87%","661","1.28%"
"142
Turner County","64",".13%","95.52%","3",".08%","4.48%","67",".13%"
"143
Twiggs County","41",".09%","95.35%","2",".05%","4.65%","43",".08%"
"144
Union County","85",".18%","87.63%","12",".32%","12.37%","97",".19%"
"145
Upson County","192",".40%","90.14%","21",".56%","9.86%","213",".41%"
"146
Walker County","424",".89%","90.79%","43","1.15%","9.21%","467",".91%"
"147
Walton County","635","1.33%","90.84%","64","1.71%","9.16%","699","1.36%"
"148
Ware County","269",".56%","89.07%","33",".88%","10.93%","302",".59%"
"149
Warren County","27",".06%","93.10%","2",".05%","6.90%","29",".06%"
"150
Washington County","177",".37%","94.65%","10",".27%","5.35%","187",".36%"
"151
Wayne County","199",".42%","89.64%","23",".61%","10.36%","222",".43%"
