"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"108   Oconee County","59","0.12%","90.77%","6","0.15%","9.23%","65","0.12%"
"109   Oglethorpe County","55","0.11%","96.49%","2","0.05%","3.51%","57","0.11%"
"110   Paulding County","302","0.61%","92.64%","24","0.6%","7.36%","326","0.61%"
"111   Peach County","66","0.13%","98.51%","1","0.02%","1.49%","67","0.13%"
"112   Pickens County","99","0.2%","83.9%","19","0.47%","16.1%","118","0.22%"
"113   Pierce County","121","0.24%","88.97%","15","0.37%","11.03%","136","0.25%"
"114   Pike County","31","0.06%","86.11%","5","0.12%","13.89%","36","0.07%"
"115   Polk County","187","0.38%","91.22%","18","0.45%","8.78%","205","0.38%"
"116   Pulaski County","53","0.11%","92.98%","4","0.1%","7.02%","57","0.11%"
"117   Putnam County","157","0.32%","93.45%","11","0.27%","6.55%","168","0.31%"
"118   Quitman County","9","0.02%","100.0%","","","","9","0.02%"
"119   Rabun County","50","0.1%","83.33%","10","0.25%","16.67%","60","0.11%"
"120   Randolph County","38","0.08%","95.0%","2","0.05%","5.0%","40","0.07%"
"121   Richmond County","1,697","3.42%","93.81%","112","2.79%","6.19%","1,809","3.38%"
"122   Rockdale County","389","0.78%","92.18%","33","0.82%","7.82%","422","0.79%"
"123   Schley County","17","0.03%","89.47%","2","0.05%","10.53%","19","0.04%"
"124   Screven County","78","0.16%","88.64%","10","0.25%","11.36%","88","0.16%"
"125   Seminole County","64","0.13%","88.89%","8","0.2%","11.11%","72","0.13%"
"126   Spalding County","512","1.03%","89.67%","59","1.47%","10.33%","571","1.07%"
"127   Stephens County","143","0.29%","92.86%","11","0.27%","7.14%","154","0.29%"
"128   Stewart County","27","0.05%","100.0%","","","","27","0.05%"
"129   Sumter County","219","0.44%","94.4%","13","0.32%","5.6%","232","0.43%"
"130   Talbot County","24","0.05%","92.31%","2","0.05%","7.69%","26","0.05%"
"131   Taliaferro County","25","0.05%","92.59%","2","0.05%","7.41%","27","0.05%"
"132   Tattnall County","243","0.49%","90.33%","26","0.65%","9.67%","269","0.5%"
"133   Taylor County","46","0.09%","93.88%","3","0.07%","6.12%","49","0.09%"
"134   Telfair County","106","0.21%","92.17%","9","0.22%","7.83%","115","0.21%"
