"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","527","1.20%","94.95%","28",".93%","5.05%","555","1.19%"
"039
Crawford County","22",".05%","95.65%","1",".03%","4.35%","23",".05%"
"040
Crisp County","337",".77%","94.13%","21",".69%","5.87%","358",".77%"
"041
Dade County","83",".19%","94.32%","5",".17%","5.68%","88",".19%"
"042
Dawson County","99",".23%","93.40%","7",".23%","6.60%","106",".23%"
"043
Decatur County","231",".53%","96.65%","8",".26%","3.35%","239",".51%"
"044
Dekalb County","2,323","5.31%","95.52%","109","3.60%","4.48%","2,432","5.20%"
"045
Dodge County","108",".25%","87.80%","15",".50%","12.20%","123",".26%"
"046
Dooly County","114",".26%","95.80%","5",".17%","4.20%","119",".25%"
"047
Dougherty County","715","1.63%","95.97%","30",".99%","4.03%","745","1.59%"
"048
Douglas County","881","2.01%","91.68%","80","2.64%","8.32%","961","2.05%"
"049
Early County","82",".19%","98.80%","1",".03%","1.20%","83",".18%"
"050
Echols County","12",".03%","92.31%","1",".03%","7.69%","13",".03%"
"051
Effingham County","214",".49%","90.30%","23",".76%","9.70%","237",".51%"
"052
Elbert County","125",".29%","96.15%","5",".17%","3.85%","130",".28%"
"053
Emanuel County","150",".34%","93.17%","11",".36%","6.83%","161",".34%"
"054
Evans County","74",".17%","94.87%","4",".13%","5.13%","78",".17%"
"055
Fannin County","90",".21%","89.11%","11",".36%","10.89%","101",".22%"
"056
Fayette County","309",".71%","95.08%","16",".53%","4.92%","325",".69%"
"057
Floyd County","850","1.94%","90.52%","89","2.94%","9.48%","939","2.01%"
"058
Forsyth County","342",".78%","91.20%","33","1.09%","8.80%","375",".80%"
"059
Franklin County","143",".33%","87.20%","21",".69%","12.80%","164",".35%"
"060
Fulton County","4,204","9.61%","96.25%","164","5.42%","3.75%","4,368","9.34%"
"061
Gilmer County","100",".23%","92.59%","8",".26%","7.41%","108",".23%"
"062
Glascock County","8",".02%","100.00%","","","","8",".02%"
"063
Glynn County","472","1.08%","94.78%","26",".86%","5.22%","498","1.06%"
"064
Gordon County","351",".80%","90.70%","36","1.19%","9.30%","387",".83%"
"065
Grady County","144",".33%","94.74%","8",".26%","5.26%","152",".32%"
"066
Greene County","94",".21%","95.92%","4",".13%","4.08%","98",".21%"
"067
Gwinnett County","2,273","5.19%","93.93%","147","4.86%","6.07%","2,420","5.17%"
"068
Habersham County","108",".25%","88.52%","14",".46%","11.48%","122",".26%"
"069
Hall County","630","1.44%","93.47%","44","1.45%","6.53%","674","1.44%"
"070
Hancock County","38",".09%","95.00%","2",".07%","5.00%","40",".09%"
"071
Haralson County","108",".25%","90.76%","11",".36%","9.24%","119",".25%"
"072
Harris County","88",".20%","93.62%","6",".20%","6.38%","94",".20%"
"073
Hart County","155",".35%","92.26%","13",".43%","7.74%","168",".36%"
"074
Heard County","38",".09%","97.44%","1",".03%","2.56%","39",".08%"
"075
Henry County","575","1.31%","91.41%","54","1.79%","8.59%","629","1.34%"
