"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152 
Webster County","5",".01%","71.43%","2",".07%","28.57%","7",".01%"
"153 
Wheeler County","17",".04%","100.00%","","","","17",".04%"
"154 
White County","78",".18%","92.86%","6",".20%","7.14%","84",".18%"
"155 
Whitfield County","650","1.48%","87.25%","95","3.14%","12.75%","745","1.58%"
"156 
Wilcox County","50",".11%","94.34%","3",".10%","5.66%","53",".11%"
"157 
Wilkes County","58",".13%","96.67%","2",".07%","3.33%","60",".13%"
"158 
Wilkinson County","35",".08%","97.22%","1",".03%","2.78%","36",".08%"
"159 
Worth County","126",".29%","91.97%","11",".36%","8.03%","137",".29%"
"Total Rported","44,009","100%","93.57%","3,024","100%","6.43%","47,033","100%"
