"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Appling","98",".20%","96.08%","4",".12%","3.92%","102",".20%"
"Atkinson","43",".09%","89.58%","5",".14%","10.42%","48",".09%"
"Bacon","49",".10%","98.00%","1",".03%","2.00%","50",".10%"
"Baker","12",".02%","100.00%","","","","12",".02%"
"Baldwin
1 2 3 4 5 6 7 8 9","256",".53%","92.42%","21",".61%","7.58%","277",".53%"
"Banks","63",".13%","95.45%","3",".09%","4.55%","66",".13%"
"Barrow","247",".51%","93.56%","17",".49%","6.44%","264",".51%"
"Bartow","559","1.15%","90.75%","57","1.65%","9.25%","616","1.19%"
"Ben Hill","222",".46%","94.07%","14",".40%","5.93%","236",".46%"
"Berrien","78",".16%","95.12%","4",".12%","4.88%","82",".16%"
"Bibb","1,043","2.15%","95.08%","54","1.56%","4.92%","1,097","2.12%"
"Bleckley","73",".15%","94.81%","4",".12%","5.19%","77",".15%"
"Brantley","65",".13%","94.20%","4",".12%","5.80%","69",".13%"
"Brooks","61",".13%","95.31%","3",".09%","4.69%","64",".12%"
"Bryan","90",".19%","95.74%","4",".12%","4.26%","94",".18%"
"Bulloch","461",".95%","92.38%","38","1.10%","7.62%","499",".96%"
"Burke","210",".43%","96.33%","8",".23%","3.67%","218",".42%"
"Butts","159",".33%","96.36%","6",".17%","3.64%","165",".32%"
"Calhoun","36",".07%","94.74%","2",".06%","5.26%","38",".07%"
"Camden","169",".35%","94.94%","9",".26%","5.06%","178",".34%"
"Candler","93",".19%","93.94%","6",".17%","6.06%","99",".19%"
"Carroll","595","1.23%","90.15%","65","1.88%","9.85%","660","1.27%"
"Catoosa","319",".66%","92.46%","26",".75%","7.54%","345",".67%"
"Charlton","54",".11%","91.53%","5",".14%","8.47%","59",".11%"
"Chatham","2,440","5.04%","95.57%","113","3.26%","4.43%","2,553","4.92%"
"Chattahoochee","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"Chattooga","261",".54%","88.78%","33",".95%","11.22%","294",".57%"
"Cherokee","590","1.22%","91.90%","52","1.50%","8.10%","642","1.24%"
