"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114 
Pike County","39",".08%","92.86%","3",".08%","7.14%","42",".08%"
"115 
Polk County","217",".46%","92.74%","17",".47%","7.26%","234",".47%"
"116 
Pulaski County","34",".07%","94.44%","2",".06%","5.56%","36",".07%"
"117 
Putnam County","154",".33%","95.65%","7",".19%","4.35%","161",".32%"
"118 
Quitman County","7",".01%","100.00%","","","","7",".01%"
"119 
Rabun County","61",".13%","87.14%","9",".25%","12.86%","70",".14%"
"120 
Randolph County","44",".09%","95.65%","2",".06%","4.35%","46",".09%"
"121 
Richmond County","1,570","3.36%","93.51%","109","3.03%","6.49%","1,679","3.34%"
"122 
Rockdale County","469","1.00%","92.69%","37","1.03%","7.31%","506","1.01%"
"123 
Schley County","20",".04%","95.24%","1",".03%","4.76%","21",".04%"
"124 
Screven County","113",".24%","95.76%","5",".14%","4.24%","118",".23%"
"125 
Seminole County","68",".15%","90.67%","7",".19%","9.33%","75",".15%"
"126 
Spalding County","479","1.03%","91.59%","44","1.22%","8.41%","523","1.04%"
"127 
Stephens County","118",".25%","98.33%","2",".06%","1.67%","120",".24%"
"128 
Stewart County","27",".06%","90.00%","3",".08%","10.00%","30",".06%"
"129 
Sumter County","195",".42%","93.30%","14",".39%","6.70%","209",".42%"
"130 
Talbot County","21",".04%","91.30%","2",".06%","8.70%","23",".05%"
"131 
Taliaferro County","20",".04%","100.00%","","","","20",".04%"
"132 
Tattnall County","194",".42%","85.84%","32",".89%","14.16%","226",".45%"
"133 
Taylor County","49",".10%","94.23%","3",".08%","5.77%","52",".10%"
"134 
Telfair County","100",".21%","91.74%","9",".25%","8.26%","109",".22%"
"135 
Terrell County","62",".13%","95.38%","3",".08%","4.62%","65",".13%"
"136 
Thomas County","216",".46%","95.58%","10",".28%","4.42%","226",".45%"
"137 
Tift County","312",".67%","95.12%","16",".44%","4.88%","328",".65%"
"138 
Toombs County","275",".59%","93.86%","18",".50%","6.14%","293",".58%"
"139 
Towns County","67",".14%","75.28%","22",".61%","24.72%","89",".18%"
"140 
Treutlen County","63",".13%","90.00%","7",".19%","10.00%","70",".14%"
"141 
Troup County","603","1.29%","92.20%","51","1.42%","7.80%","654","1.30%"
"142 
Turner County","61",".13%","95.31%","3",".08%","4.69%","64",".13%"
"143 
Twiggs County","41",".09%","93.18%","3",".08%","6.82%","44",".09%"
"144 
Union County","82",".18%","85.42%","14",".39%","14.58%","96",".19%"
"145 
Upson County","194",".42%","90.65%","20",".56%","9.35%","214",".43%"
"146 
Walker County","429",".92%","90.51%","45","1.25%","9.49%","474",".94%"
"147 
Walton County","626","1.34%","91.79%","56","1.56%","8.21%","682","1.36%"
"148 
Ware County","268",".57%","90.54%","28",".78%","9.46%","296",".59%"
"149 
Warren County","28",".06%","93.33%","2",".06%","6.67%","30",".06%"
"150 
Washington County","177",".38%","93.16%","13",".36%","6.84%","190",".38%"
"151 
Wayne County","185",".40%","88.52%","24",".67%","11.48%","209",".42%"
