"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114
Pike County","37",".07%","90.24%","4",".10%","9.76%","41",".07%"
"115
Polk County","180",".35%","91.84%","16",".41%","8.16%","196",".36%"
"116
Pulaski County","45",".09%","95.74%","2",".05%","4.26%","47",".09%"
"117
Putnam County","147",".29%","90.18%","16",".41%","9.82%","163",".30%"
"118
Quitman County","14",".03%","100.00%","","","","14",".03%"
"119
Rabun County","61",".12%","88.41%","8",".20%","11.59%","69",".13%"
"120
Randolph County","55",".11%","98.21%","1",".03%","1.79%","56",".10%"
"121
Richmond County","1,853","3.64%","93.49%","129","3.29%","6.51%","1,982","3.62%"
"122
Rockdale County","474",".93%","91.33%","45","1.15%","8.67%","519",".95%"
"123
Schley County","14",".03%","82.35%","3",".08%","17.65%","17",".03%"
"124
Screven County","119",".23%","96.75%","4",".10%","3.25%","123",".22%"
"125
Seminole County","63",".12%","86.30%","10",".26%","13.70%","73",".13%"
"126
Spalding County","496",".97%","93.23%","36",".92%","6.77%","532",".97%"
"127
Stephens County","167",".33%","85.64%","28",".71%","14.36%","195",".36%"
"128
Stewart County","32",".06%","96.97%","1",".03%","3.03%","33",".06%"
"129
Sumter County","190",".37%","95.48%","9",".23%","4.52%","199",".36%"
"130
Talbot County","36",".07%","92.31%","3",".08%","7.69%","39",".07%"
"131
Taliaferro County","17",".03%","94.44%","1",".03%","5.56%","18",".03%"
"132
Tattnall County","190",".37%","93.60%","13",".33%","6.40%","203",".37%"
"133
Taylor County","62",".12%","88.57%","8",".20%","11.43%","70",".13%"
"134
Telfair County","98",".19%","94.23%","6",".15%","5.77%","104",".19%"
"135
Terrell County","81",".16%","94.19%","5",".13%","5.81%","86",".16%"
"136
Thomas County","188",".37%","96.41%","7",".18%","3.59%","195",".36%"
"137
Tift County","310",".61%","94.51%","18",".46%","5.49%","328",".60%"
"138
Toombs County","298",".59%","90.85%","30",".77%","9.15%","328",".60%"
"139
Towns County","55",".11%","75.34%","18",".46%","24.66%","73",".13%"
"140
Treutlen County","76",".15%","93.83%","5",".13%","6.17%","81",".15%"
"141
Troup County","626","1.23%","91.52%","58","1.48%","8.48%","684","1.25%"
"142
Turner County","61",".12%","95.31%","3",".08%","4.69%","64",".12%"
"143
Twiggs County","47",".09%","95.92%","2",".05%","4.08%","49",".09%"
"144
Union County","99",".19%","83.19%","20",".51%","16.81%","119",".22%"
"145
Upson County","158",".31%","94.61%","9",".23%","5.39%","167",".30%"
"146
Walker County","412",".81%","91.56%","38",".97%","8.44%","450",".82%"
"147
Walton County","532","1.05%","90.78%","54","1.38%","9.22%","586","1.07%"
"148
Ware County","320",".63%","93.57%","22",".56%","6.43%","342",".62%"
"149
Warren County","35",".07%","97.22%","1",".03%","2.78%","36",".07%"
"150
Washington County","183",".36%","90.15%","20",".51%","9.85%","203",".37%"
"151
Wayne County","167",".33%","93.30%","12",".31%","6.70%","179",".33%"
