"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"076
Houston County","693","1.28%","93.78%","46","1.17%","6.22%","739","1.27%"
"077
Irwin County","81",".15%","95.29%","4",".10%","4.71%","85",".15%"
"078
Jackson County","253",".47%","90.68%","26",".66%","9.32%","279",".48%"
"079
Jasper County","72",".13%","94.74%","4",".10%","5.26%","76",".13%"
"080
Jeff Davis County","68",".13%","91.89%","6",".15%","8.11%","74",".13%"
"081
Jefferson County","173",".32%","96.65%","6",".15%","3.35%","179",".31%"
"082
Jenkins County","70",".13%","94.59%","4",".10%","5.41%","74",".13%"
"083
Johnson County","54",".10%","91.53%","5",".13%","8.47%","59",".10%"
"084
Jones County","218",".40%","90.08%","24",".61%","9.92%","242",".42%"
"085
Lamar County","87",".16%","94.57%","5",".13%","5.43%","92",".16%"
"086
Lanier County","51",".09%","94.44%","3",".08%","5.56%","54",".09%"
"087
Laurens County","331",".61%","94.30%","20",".51%","5.70%","351",".61%"
"088
Lee County","69",".13%","90.79%","7",".18%","9.21%","76",".13%"
"089
Liberty County","311",".58%","93.67%","21",".54%","6.33%","332",".57%"
"090
Lincoln County","27",".05%","90.00%","3",".08%","10.00%","30",".05%"
"091
Long County","79",".15%","96.34%","3",".08%","3.66%","82",".14%"
"092
Lowndes County","571","1.06%","94.22%","35",".89%","5.78%","606","1.04%"
"093
Lumpkin County","115",".21%","89.15%","14",".36%","10.85%","129",".22%"
"094
Macon County","70",".13%","95.89%","3",".08%","4.11%","73",".13%"
"095
Madison County","109",".20%","93.97%","7",".18%","6.03%","116",".20%"
"096
Marion County","34",".06%","100.00%","","","","34",".06%"
"097
Mcduffie County","203",".38%","92.69%","16",".41%","7.31%","219",".38%"
"098
Mcintosh County","81",".15%","97.59%","2",".05%","2.41%","83",".14%"
"099
Meriwether County","234",".43%","95.90%","10",".26%","4.10%","244",".42%"
"100
Miller County","35",".06%","100.00%","","","","35",".06%"
"101
Mitchell County","248",".46%","93.23%","18",".46%","6.77%","266",".46%"
"102
Monroe County","191",".35%","91.39%","18",".46%","8.61%","209",".36%"
"103
Montgomery County","51",".09%","94.44%","3",".08%","5.56%","54",".09%"
"104
Morgan County","159",".29%","91.91%","14",".36%","8.09%","173",".30%"
"105
Murray County","182",".34%","91.46%","17",".43%","8.54%","199",".34%"
"106
Muscogee County","1,577","2.92%","95.69%","71","1.81%","4.31%","1,648","2.84%"
"107
Newton County","731","1.35%","91.49%","68","1.73%","8.51%","799","1.38%"
"108
Oconee County","56",".10%","94.92%","3",".08%","5.08%","59",".10%"
"109
Oglethorpe County","60",".11%","93.75%","4",".10%","6.25%","64",".11%"
"110
Paulding County","336",".62%","92.82%","26",".66%","7.18%","362",".62%"
"111
Peach County","87",".16%","98.86%","1",".03%","1.14%","88",".15%"
"112
Pickens County","116",".21%","92.80%","9",".23%","7.20%","125",".22%"
"113
Pierce County","83",".15%","96.51%","3",".08%","3.49%","86",".15%"
