"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","5",".01%","100.00%","","","","5",".01%"
"153
Wheeler County","33",".06%","86.84%","5",".13%","13.16%","38",".07%"
"154
White County","101",".20%","90.99%","10",".27%","9.01%","111",".20%"
"155
Whitfield County","616","1.20%","88.76%","78","2.10%","11.24%","694","1.26%"
"156
Wilcox County","47",".09%","83.93%","9",".24%","16.07%","56",".10%"
"157
Wilkes County","65",".13%","91.55%","6",".16%","8.45%","71",".13%"
"158
Wilkinson County","48",".09%","94.12%","3",".08%","5.88%","51",".09%"
"159
Worth County","108",".21%","94.74%","6",".16%","5.26%","114",".21%"
"Total Rported","51,187","100%","93.23%","3,717","100%","6.77%","54,904","100%"
