"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"115
Polk","142",".28%","94.67%","8",".22%","5.33%","150",".28%"
"116
Pulaski","69",".14%","89.61%","8",".22%","10.39%","77",".14%"
"117
Putnam","146",".29%","97.33%","4",".11%","2.67%","150",".28%"
"118
Quitman","15",".03%","93.75%","1",".03%","6.25%","16",".03%"
"119
Rabun","63",".12%","91.30%","6",".17%","8.70%","69",".13%"
"120
Randolph","47",".09%","92.16%","4",".11%","7.84%","51",".09%"
"121
Richmond","1,906","3.77%","93.94%","123","3.45%","6.06%","2,029","3.75%"
"122
Rockdale","462",".91%","92.96%","35",".98%","7.04%","497",".92%"
"123
Schley","25",".05%","100.00%","","","","25",".05%"
"124
Screven","125",".25%","96.15%","5",".14%","3.85%","130",".24%"
"125
Seminole","81",".16%","92.05%","7",".20%","7.95%","88",".16%"
"126
Spalding","630","1.24%","92.11%","54","1.52%","7.89%","684","1.26%"
"127
Stephens","189",".37%","90.00%","21",".59%","10.00%","210",".39%"
"128
Stewart","37",".07%","94.87%","2",".06%","5.13%","39",".07%"
"129
Sumter","270",".53%","94.08%","17",".48%","5.92%","287",".53%"
"130
Talbot","40",".08%","93.02%","3",".08%","6.98%","43",".08%"
"131
Taliaferro","23",".05%","92.00%","2",".06%","8.00%","25",".05%"
"132
Tattnall","169",".33%","94.94%","9",".25%","5.06%","178",".33%"
"133
Taylor","97",".19%","94.17%","6",".17%","5.83%","103",".19%"
"134
Telfair","144",".28%","92.31%","12",".34%","7.69%","156",".29%"
"135
Terrell","89",".18%","98.89%","1",".03%","1.11%","90",".17%"
"136
Thomas","310",".61%","93.66%","21",".59%","6.34%","331",".61%"
"137
Tift","323",".64%","96.13%","13",".36%","3.87%","336",".62%"
"138
Toombs","265",".52%","92.66%","21",".59%","7.34%","286",".53%"
"139
Towns","40",".08%","86.96%","6",".17%","13.04%","46",".08%"
"140
Treutlen","80",".16%","97.56%","2",".06%","2.44%","82",".15%"
"141
Troup","724","1.43%","91.65%","66","1.85%","8.35%","790","1.46%"
"142
Turner","72",".14%","96.00%","3",".08%","4.00%","75",".14%"
"143
Twiggs","48",".09%","88.89%","6",".17%","11.11%","54",".10%"
"144
Union","81",".16%","97.59%","2",".06%","2.41%","83",".15%"
"145
Upson","230",".45%","90.55%","24",".67%","9.45%","254",".47%"
"146
Walker","412",".81%","90.95%","41","1.15%","9.05%","453",".84%"
"147
Walton","374",".74%","93.73%","25",".70%","6.27%","399",".74%"
"148
Ware","348",".69%","94.05%","22",".62%","5.95%","370",".68%"
"149
Warren","51",".10%","96.23%","2",".06%","3.77%","53",".10%"
"150
Washington","113",".22%","93.39%","8",".22%","6.61%","121",".22%"
"151
Wayne","173",".34%","91.53%","16",".45%","8.47%","189",".35%"
"152
Webster","13",".03%","100.00%","","","","13",".02%"
