"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","607","1.19%","92.53%","49","1.25%","7.47%","656","1.20%"
"039
Crawford County","24",".05%","85.71%","4",".10%","14.29%","28",".05%"
"040
Crisp County","292",".57%","92.99%","22",".56%","7.01%","314",".57%"
"041
Dade County","101",".20%","92.66%","8",".20%","7.34%","109",".20%"
"042
Dawson County","87",".17%","86.14%","14",".36%","13.86%","101",".18%"
"043
Decatur County","205",".40%","95.35%","10",".26%","4.65%","215",".39%"
"044
Dekalb County","2,853","5.61%","95.32%","140","3.57%","4.68%","2,993","5.46%"
"045
Dodge County","163",".32%","94.77%","9",".23%","5.23%","172",".31%"
"046
Dooly County","112",".22%","94.92%","6",".15%","5.08%","118",".22%"
"047
Dougherty County","924","1.82%","94.96%","49","1.25%","5.04%","973","1.78%"
"048
Douglas County","977","1.92%","89.31%","117","2.98%","10.69%","1,094","2.00%"
"049
Early County","79",".16%","90.80%","8",".20%","9.20%","87",".16%"
"050
Echols County","13",".03%","100.00%","","","","13",".02%"
"051
Effingham County","239",".47%","91.92%","21",".54%","8.08%","260",".47%"
"052
Elbert County","143",".28%","95.97%","6",".15%","4.03%","149",".27%"
"053
Emanuel County","167",".33%","93.30%","12",".31%","6.70%","179",".33%"
"054
Evans County","80",".16%","94.12%","5",".13%","5.88%","85",".16%"
"055
Fannin County","90",".18%","90.91%","9",".23%","9.09%","99",".18%"
"056
Fayette County","318",".62%","89.33%","38",".97%","10.67%","356",".65%"
"057
Floyd County","881","1.73%","89.35%","105","2.68%","10.65%","986","1.80%"
"058
Forsyth County","353",".69%","91.93%","31",".79%","8.07%","384",".70%"
"059
Franklin County","158",".31%","91.86%","14",".36%","8.14%","172",".31%"
"060
Fulton County","4,712","9.26%","96.01%","196","5.00%","3.99%","4,908","8.95%"
"061
Gilmer County","92",".18%","93.88%","6",".15%","6.12%","98",".18%"
"062
Glascock County","7",".01%","100.00%","","","","7",".01%"
"063
Glynn County","511","1.00%","94.28%","31",".79%","5.72%","542",".99%"
"064
Gordon County","385",".76%","87.10%","57","1.45%","12.90%","442",".81%"
"065
Grady County","124",".24%","96.12%","5",".13%","3.88%","129",".24%"
"066
Greene County","104",".20%","92.86%","8",".20%","7.14%","112",".20%"
"067
Gwinnett County","2,698","5.30%","92.91%","206","5.25%","7.09%","2,904","5.30%"
"068
Habersham County","104",".20%","89.66%","12",".31%","10.34%","116",".21%"
"069
Hall County","687","1.35%","91.48%","64","1.63%","8.52%","751","1.37%"
"070
Hancock County","35",".07%","100.00%","","","","35",".06%"
"071
Haralson County","111",".22%","93.28%","8",".20%","6.72%","119",".22%"
"072
Harris County","113",".22%","91.87%","10",".26%","8.13%","123",".22%"
"073
Hart County","158",".31%","88.27%","21",".54%","11.73%","179",".33%"
"074
Heard County","45",".09%","88.24%","6",".15%","11.76%","51",".09%"
"075
Henry County","538","1.06%","89.67%","62","1.58%","10.33%","600","1.09%"
