"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"001
Appling County","89",".18%","96.74%","3",".08%","3.26%","92",".18%"
"002
Atkinson County","41",".08%","89.13%","5",".14%","10.87%","46",".09%"
"003
Bacon County","49",".10%","98.00%","1",".03%","2.00%","50",".10%"
"004
Baker County","14",".03%","100.00%","","","","14",".03%"
"005
Baldwin County","263",".54%","92.93%","20",".57%","7.07%","283",".54%"
"006
Banks County","61",".13%","91.04%","6",".17%","8.96%","67",".13%"
"007
Barrow County","254",".52%","93.04%","19",".54%","6.96%","273",".52%"
"008
Bartow County","542","1.12%","90.33%","58","1.64%","9.67%","600","1.15%"
"009
Ben Hill County","210",".43%","94.59%","12",".34%","5.41%","222",".43%"
"010
Berrien County","71",".15%","94.67%","4",".11%","5.33%","75",".14%"
"011
Bibb County","1,022","2.11%","94.98%","54","1.53%","5.02%","1,076","2.07%"
"012
Bleckley County","73",".15%","94.81%","4",".11%","5.19%","77",".15%"
"013
Brantley County","62",".13%","93.94%","4",".11%","6.06%","66",".13%"
"014
Brooks County","62",".13%","93.94%","4",".11%","6.06%","66",".13%"
"015
Bryan County","93",".19%","95.88%","4",".11%","4.12%","97",".19%"
"016
Bulloch County","488","1.01%","93.49%","34",".96%","6.51%","522","1.00%"
"017
Burke County","221",".46%","96.93%","7",".20%","3.07%","228",".44%"
"018
Butts County","165",".34%","96.49%","6",".17%","3.51%","171",".33%"
"019
Calhoun County","34",".07%","91.89%","3",".08%","8.11%","37",".07%"
"020
Camden County","163",".34%","94.77%","9",".25%","5.23%","172",".33%"
"021
Candler County","92",".19%","92.93%","7",".20%","7.07%","99",".19%"
"022
Carroll County","604","1.24%","90.28%","65","1.84%","9.72%","669","1.28%"
"023
Catoosa County","318",".66%","91.12%","31",".88%","8.88%","349",".67%"
"024
Charlton County","48",".10%","90.57%","5",".14%","9.43%","53",".10%"
"025
Chatham County","2,415","4.97%","95.27%","120","3.39%","4.73%","2,535","4.87%"
"026
Chattahoochee County","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"027
Chattooga County","250",".52%","88.97%","31",".88%","11.03%","281",".54%"
"028
Cherokee County","588","1.21%","91.88%","52","1.47%","8.13%","640","1.23%"
"029
Clarke County","485","1.00%","94.36%","29",".82%","5.64%","514",".99%"
"030
Clay County","32",".07%","91.43%","3",".08%","8.57%","35",".07%"
"031
Clayton County","1,447","2.98%","92.76%","113","3.19%","7.24%","1,560","3.00%"
"032
Clinch County","60",".12%","95.24%","3",".08%","4.76%","63",".12%"
"033
Cobb County","2,601","5.36%","91.17%","252","7.12%","8.83%","2,853","5.48%"
"034
Coffee County","244",".50%","94.94%","13",".37%","5.06%","257",".49%"
"035
Colquitt County","262",".54%","96.32%","10",".28%","3.68%","272",".52%"
"036
Columbia County","310",".64%","92.26%","26",".74%","7.74%","336",".65%"
"037
Cook County","109",".22%","93.97%","7",".20%","6.03%","116",".22%"
"038
Coweta County","505","1.04%","92.32%","42","1.19%","7.68%","547","1.05%"
