"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"115
Polk","140",".31%","95.89%","6",".21%","4.11%","146",".30%"
"116
Pulaski","94",".21%","91.26%","9",".31%","8.74%","103",".21%"
"117
Putnam","129",".28%","93.48%","9",".31%","6.52%","138",".28%"
"118
Quitman","11",".02%","100.00%","","","","11",".02%"
"119
Rabun","66",".14%","91.67%","6",".21%","8.33%","72",".15%"
"120
Randolph","71",".16%","97.26%","2",".07%","2.74%","73",".15%"
"121
Richmond","1,816","3.98%","94.04%","115","3.99%","5.96%","1,931","3.98%"
"122
Rockdale","384",".84%","95.52%","18",".62%","4.48%","402",".83%"
"123
Schley","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"124
Screven","121",".27%","93.80%","8",".28%","6.20%","129",".27%"
"125
Seminole","72",".16%","90.00%","8",".28%","10.00%","80",".16%"
"126
Spalding","594","1.30%","92.81%","46","1.59%","7.19%","640","1.32%"
"127
Stephens","161",".35%","93.60%","11",".38%","6.40%","172",".35%"
"128
Stewart","39",".09%","95.12%","2",".07%","4.88%","41",".08%"
"129
Sumter","237",".52%","95.56%","11",".38%","4.44%","248",".51%"
"130
Talbot","43",".09%","93.48%","3",".10%","6.52%","46",".09%"
"131
Taliaferro","14",".03%","87.50%","2",".07%","12.50%","16",".03%"
"132
Tattnall","160",".35%","95.24%","8",".28%","4.76%","168",".35%"
"133
Taylor","73",".16%","96.05%","3",".10%","3.95%","76",".16%"
"134
Telfair","128",".28%","90.78%","13",".45%","9.22%","141",".29%"
"135
Terrell","76",".17%","96.20%","3",".10%","3.80%","79",".16%"
"136
Thomas","318",".70%","96.95%","10",".35%","3.05%","328",".68%"
"137
Tift","313",".69%","95.14%","16",".55%","4.86%","329",".68%"
"138
Toombs","277",".61%","92.64%","22",".76%","7.36%","299",".62%"
"139
Towns","23",".05%","95.83%","1",".03%","4.17%","24",".05%"
"140
Treutlen","50",".11%","90.91%","5",".17%","9.09%","55",".11%"
"141
Troup","573","1.26%","94.40%","34","1.18%","5.60%","607","1.25%"
"142
Turner","76",".17%","95.00%","4",".14%","5.00%","80",".16%"
"143
Twiggs","44",".10%","93.62%","3",".10%","6.38%","47",".10%"
"144
Union","41",".09%","89.13%","5",".17%","10.87%","46",".09%"
"145
Upson","192",".42%","95.52%","9",".31%","4.48%","201",".41%"
"146
Walker","345",".76%","90.31%","37","1.28%","9.69%","382",".79%"
"147
Walton","315",".69%","95.74%","14",".49%","4.26%","329",".68%"
"148
Ware","355",".78%","95.43%","17",".59%","4.57%","372",".77%"
"149
Warren","46",".10%","95.83%","2",".07%","4.17%","48",".10%"
"150
Washington","114",".25%","95.80%","5",".17%","4.20%","119",".25%"
"151
Wayne","156",".34%","93.41%","11",".38%","6.59%","167",".34%"
"152
Webster","13",".03%","86.67%","2",".07%","13.33%","15",".03%"
