"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"77
Irwin","61",".12%","96.83%","2",".06%","3.17%","63",".12%"
"78
Jackson","206",".41%","91.56%","19",".53%","8.44%","225",".42%"
"79
Jasper","65",".13%","91.55%","6",".17%","8.45%","71",".13%"
"80
Jeff Davis","73",".14%","96.05%","3",".08%","3.95%","76",".14%"
"81
Jefferson","110",".22%","94.02%","7",".20%","5.98%","117",".22%"
"82
Jenkins","75",".15%","94.94%","4",".11%","5.06%","79",".15%"
"83
Johnson","63",".12%","94.03%","4",".11%","5.97%","67",".12%"
"84
Jones","144",".28%","94.12%","9",".25%","5.88%","153",".28%"
"85
Lamar","89",".18%","93.68%","6",".17%","6.32%","95",".18%"
"86
Lanier","41",".08%","95.35%","2",".06%","4.65%","43",".08%"
"87
Laurens","359",".71%","94.97%","19",".53%","5.03%","378",".70%"
"88
Lee","81",".16%","96.43%","3",".08%","3.57%","84",".16%"
"89
Liberty","258",".51%","94.16%","16",".45%","5.84%","274",".51%"
"90
Lincoln","38",".08%","100.00%","","","","38",".07%"
"91
Long","86",".17%","96.63%","3",".08%","3.37%","89",".16%"
"92
Lowndes","664","1.31%","95.13%","34",".95%","4.87%","698","1.29%"
"93
Lumpkin","113",".22%","92.62%","9",".25%","7.38%","122",".23%"
"94
Macon","83",".16%","94.32%","5",".14%","5.68%","88",".16%"
"95
Madison","136",".27%","94.44%","8",".22%","5.56%","144",".27%"
"96
Marion","59",".12%","95.16%","3",".08%","4.84%","62",".11%"
"97
Mcduffie","197",".39%","96.57%","7",".20%","3.43%","204",".38%"
"98
Mcintosh","69",".14%","98.57%","1",".03%","1.43%","70",".13%"
"99
Meriwether","195",".39%","94.66%","11",".31%","5.34%","206",".38%"
"100
Miller","41",".08%","100.00%","","","","41",".08%"
"101
Mitchell","181",".36%","93.30%","13",".36%","6.70%","194",".36%"
"102
Monroe","190",".38%","93.14%","14",".39%","6.86%","204",".38%"
"103
Montgomery","49",".10%","96.08%","2",".06%","3.92%","51",".09%"
"104
Morgan","102",".20%","93.58%","7",".20%","6.42%","109",".20%"
"105
Murray","252",".50%","92.31%","21",".59%","7.69%","273",".50%"
"106
Muscogee","1,891","3.74%","93.57%","130","3.65%","6.43%","2,021","3.73%"
"107
Newton","594","1.17%","90.14%","65","1.82%","9.86%","659","1.22%"
"108
Oconee","56",".11%","96.55%","2",".06%","3.45%","58",".11%"
"109
Oglethorpe","60",".12%","95.24%","3",".08%","4.76%","63",".12%"
"110
Paulding","237",".47%","94.42%","14",".39%","5.58%","251",".46%"
"111
Peach","98",".19%","98.99%","1",".03%","1.01%","99",".18%"
"112
Pickens","91",".18%","88.35%","12",".34%","11.65%","103",".19%"
"113
Pierce","54",".11%","100.00%","","","","54",".10%"
"114
Pike","51",".10%","89.47%","6",".17%","10.53%","57",".11%"
