"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"000
Unknown","175",".40%","93.09%","13",".44%","6.91%","188",".40%"
"001
Appling County","109",".25%","98.20%","2",".07%","1.80%","111",".24%"
"002
Atkinson County","40",".09%","97.56%","1",".03%","2.44%","41",".09%"
"003
Bacon County","67",".15%","91.78%","6",".20%","8.22%","73",".16%"
"004
Baker County","13",".03%","81.25%","3",".10%","18.75%","16",".03%"
"005
Baldwin County","279",".64%","92.08%","24",".80%","7.92%","303",".65%"
"006
Banks County","58",".13%","87.88%","8",".27%","12.12%","66",".14%"
"007
Barrow County","305",".70%","90.50%","32","1.07%","9.50%","337",".72%"
"008
Bartow County","604","1.38%","91.38%","57","1.91%","8.62%","661","1.42%"
"009
Ben Hill County","217",".50%","94.76%","12",".40%","5.24%","229",".49%"
"010
Berrien County","87",".20%","95.60%","4",".13%","4.40%","91",".19%"
"011
Bibb County","968","2.21%","95.37%","47","1.57%","4.63%","1,015","2.17%"
"012
Bleckley County","61",".14%","92.42%","5",".17%","7.58%","66",".14%"
"013
Brantley County","94",".22%","88.68%","12",".40%","11.32%","106",".23%"
"014
Brooks County","39",".09%","100.00%","","","","39",".08%"
"015
Bryan County","42",".10%","95.45%","2",".07%","4.55%","44",".09%"
"016
Bulloch County","433",".99%","93.32%","31","1.04%","6.68%","464",".99%"
"017
Burke County","203",".46%","96.67%","7",".23%","3.33%","210",".45%"
"018
Butts County","119",".27%","90.84%","12",".40%","9.16%","131",".28%"
"019
Calhoun County","26",".06%","89.66%","3",".10%","10.34%","29",".06%"
"020
Camden County","168",".38%","93.85%","11",".37%","6.15%","179",".38%"
"021
Candler County","100",".23%","93.46%","7",".23%","6.54%","107",".23%"
"022
Carroll County","538","1.23%","93.89%","35","1.17%","6.11%","573","1.23%"
"023
Catoosa County","337",".77%","93.09%","25",".84%","6.91%","362",".78%"
"024
Charlton County","55",".13%","88.71%","7",".23%","11.29%","62",".13%"
"025
Chatham County","1,564","3.58%","96.48%","57","1.91%","3.52%","1,621","3.47%"
"026
Chattahoochee County","13",".03%","100.00%","","","","13",".03%"
"027
Chattooga County","175",".40%","91.15%","17",".57%","8.85%","192",".41%"
"028
Cherokee County","493","1.13%","92.50%","40","1.34%","7.50%","533","1.14%"
"029
Clarke County","454","1.04%","93.80%","30","1.00%","6.20%","484","1.04%"
"030
Clay County","17",".04%","80.95%","4",".13%","19.05%","21",".04%"
"031
Clayton County","1,143","2.61%","93.84%","75","2.51%","6.16%","1,218","2.61%"
"032
Clinch County","40",".09%","93.02%","3",".10%","6.98%","43",".09%"
"033
Cobb County","2,077","4.75%","93.98%","133","4.45%","6.02%","2,210","4.73%"
"034
Coffee County","273",".62%","93.81%","18",".60%","6.19%","291",".62%"
"035
Colquitt County","202",".46%","93.52%","14",".47%","6.48%","216",".46%"
"036
Columbia County","349",".80%","92.33%","29",".97%","7.67%","378",".81%"
"037
Cook County","101",".23%","93.52%","7",".23%","6.48%","108",".23%"
