"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Coweta County","649","1.27%","92.98%","49","1.22%","7.02%","698","1.27%"
"Crawford County","25",".05%","96.15%","1",".02%","3.85%","26",".05%"
"Crisp County","329",".64%","94.54%","19",".47%","5.46%","348",".63%"
"Dade County","102",".20%","91.89%","9",".22%","8.11%","111",".20%"
"Dawson County","94",".18%","90.38%","10",".25%","9.62%","104",".19%"
"Decatur County","230",".45%","94.65%","13",".32%","5.35%","243",".44%"
"Dekalb County","2,965","5.81%","95.06%","154","3.82%","4.94%","3,119","5.66%"
"Dodge County","145",".28%","93.55%","10",".25%","6.45%","155",".28%"
"Dooly County","118",".23%","95.16%","6",".15%","4.84%","124",".23%"
"Dougherty County","811","1.59%","95.08%","42","1.04%","4.92%","853","1.55%"
"Douglas County","1,027","2.01%","90.64%","106","2.63%","9.36%","1,133","2.06%"
"Early County","90",".18%","95.74%","4",".10%","4.26%","94",".17%"
"Echols County","13",".03%","92.86%","1",".02%","7.14%","14",".03%"
"Effingham County","256",".50%","90.46%","27",".67%","9.54%","283",".51%"
"Elbert County","139",".27%","92.67%","11",".27%","7.33%","150",".27%"
"Emanuel County","173",".34%","92.02%","15",".37%","7.98%","188",".34%"
"Evans County","87",".17%","93.55%","6",".15%","6.45%","93",".17%"
"Fannin County","104",".20%","85.95%","17",".42%","14.05%","121",".22%"
"Fayette County","329",".64%","89.89%","37",".92%","10.11%","366",".66%"
"Floyd County","874","1.71%","90.57%","91","2.26%","9.43%","965","1.75%"
"Forsyth County","363",".71%","91.90%","32",".79%","8.10%","395",".72%"
"Franklin County","160",".31%","87.43%","23",".57%","12.57%","183",".33%"
"Fulton County","4,941","9.68%","95.94%","209","5.19%","4.06%","5,150","9.35%"
"Gilmer County","107",".21%","91.45%","10",".25%","8.55%","117",".21%"
"Glascock County","10",".02%","100.00%","","","","10",".02%"
"Glynn County","563","1.10%","95.26%","28",".70%","4.74%","591","1.07%"
"Gordon County","412",".81%","88.60%","53","1.32%","11.40%","465",".84%"
"Grady County","158",".31%","96.34%","6",".15%","3.66%","164",".30%"
"Greene County","119",".23%","92.97%","9",".22%","7.03%","128",".23%"
"Gwinnett County","2,666","5.22%","92.92%","203","5.04%","7.08%","2,869","5.21%"
"Habersham County","122",".24%","89.71%","14",".35%","10.29%","136",".25%"
"Hall County","696","1.36%","91.10%","68","1.69%","8.90%","764","1.39%"
"Hancock County","40",".08%","90.91%","4",".10%","9.09%","44",".08%"
"Haralson County","97",".19%","86.61%","15",".37%","13.39%","112",".20%"
"Harris County","128",".25%","95.52%","6",".15%","4.48%","134",".24%"
"Hart County","180",".35%","90.45%","19",".47%","9.55%","199",".36%"
"Heard County","53",".10%","96.36%","2",".05%","3.64%","55",".10%"
"Henry County","698","1.37%","89.60%","81","2.01%","10.40%","779","1.41%"
