"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114
Pike County","51",".10%","87.93%","7",".18%","12.07%","58",".10%"
"115
Polk County","181",".34%","90.95%","18",".46%","9.05%","199",".35%"
"116
Pulaski County","72",".13%","93.51%","5",".13%","6.49%","77",".13%"
"117
Putnam County","166",".31%","91.21%","16",".41%","8.79%","182",".32%"
"118
Quitman County","22",".04%","100.00%","","","","22",".04%"
"119
Rabun County","47",".09%","85.45%","8",".21%","14.55%","55",".10%"
"120
Randolph County","77",".14%","96.25%","3",".08%","3.75%","80",".14%"
"121
Richmond County","1,946","3.63%","94.60%","111","2.85%","5.40%","2,057","3.57%"
"122
Rockdale County","483",".90%","92.88%","37",".95%","7.12%","520",".90%"
"123
Schley County","23",".04%","100.00%","","","","23",".04%"
"124
Screven County","140",".26%","95.24%","7",".18%","4.76%","147",".26%"
"125
Seminole County","69",".13%","89.61%","8",".21%","10.39%","77",".13%"
"126
Spalding County","596","1.11%","91.13%","58","1.49%","8.87%","654","1.14%"
"127
Stephens County","176",".33%","93.62%","12",".31%","6.38%","188",".33%"
"128
Stewart County","33",".06%","91.67%","3",".08%","8.33%","36",".06%"
"129
Sumter County","257",".48%","95.90%","11",".28%","4.10%","268",".47%"
"130
Talbot County","57",".11%","95.00%","3",".08%","5.00%","60",".10%"
"131
Taliaferro County","24",".04%","88.89%","3",".08%","11.11%","27",".05%"
"132
Tattnall County","200",".37%","95.69%","9",".23%","4.31%","209",".36%"
"133
Taylor County","87",".16%","95.60%","4",".10%","4.40%","91",".16%"
"134
Telfair County","113",".21%","91.87%","10",".26%","8.13%","123",".21%"
"135
Terrell County","76",".14%","97.44%","2",".05%","2.56%","78",".14%"
"136
Thomas County","237",".44%","96.34%","9",".23%","3.66%","246",".43%"
"137
Tift County","310",".58%","95.98%","13",".33%","4.02%","323",".56%"
"138
Toombs County","359",".67%","88.64%","46","1.18%","11.36%","405",".70%"
"139
Towns County","45",".08%","84.91%","8",".21%","15.09%","53",".09%"
"140
Treutlen County","78",".15%","92.86%","6",".15%","7.14%","84",".15%"
"141
Troup County","667","1.24%","92.25%","56","1.44%","7.75%","723","1.26%"
"142
Turner County","65",".12%","92.86%","5",".13%","7.14%","70",".12%"
"143
Twiggs County","72",".13%","94.74%","4",".10%","5.26%","76",".13%"
"144
Union County","89",".17%","88.12%","12",".31%","11.88%","101",".18%"
"145
Upson County","192",".36%","95.05%","10",".26%","4.95%","202",".35%"
"146
Walker County","424",".79%","90.60%","44","1.13%","9.40%","468",".81%"
"147
Walton County","518",".97%","91.52%","48","1.23%","8.48%","566",".98%"
"148
Ware County","343",".64%","92.95%","26",".67%","7.05%","369",".64%"
"149
Warren County","42",".08%","95.45%","2",".05%","4.55%","44",".08%"
"150
Washington County","172",".32%","90.53%","18",".46%","9.47%","190",".33%"
"151
Wayne County","122",".23%","91.73%","11",".28%","8.27%","133",".23%"
