"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Pike County","46",".09%","90.20%","5",".13%","9.80%","51",".09%"
"Polk County","166",".32%","93.26%","12",".31%","6.74%","178",".32%"
"Pulaski County","65",".12%","92.86%","5",".13%","7.14%","70",".13%"
"Putnam County","173",".33%","91.05%","17",".44%","8.95%","190",".34%"
"Quitman County","19",".04%","100.00%","","","","19",".03%"
"Rabun County","51",".10%","87.93%","7",".18%","12.07%","58",".10%"
"Randolph County","75",".14%","94.94%","4",".10%","5.06%","79",".14%"
"Richmond County","1,916","3.67%","94.38%","114","2.98%","5.62%","2,030","3.63%"
"Rockdale County","460",".88%","94.26%","28",".73%","5.74%","488",".87%"
"Schley County","20",".04%","95.24%","1",".03%","4.76%","21",".04%"
"Screven County","140",".27%","95.24%","7",".18%","4.76%","147",".26%"
"Seminole County","71",".14%","89.87%","8",".21%","10.13%","79",".14%"
"Spalding County","556","1.07%","92.67%","44","1.15%","7.33%","600","1.07%"
"Stephens County","166",".32%","94.32%","10",".26%","5.68%","176",".31%"
"Stewart County","33",".06%","97.06%","1",".03%","2.94%","34",".06%"
"Sumter County","236",".45%","95.16%","12",".31%","4.84%","248",".44%"
"Talbot County","51",".10%","94.44%","3",".08%","5.56%","54",".10%"
"Taliaferro County","24",".05%","82.76%","5",".13%","17.24%","29",".05%"
"Tattnall County","204",".39%","93.58%","14",".37%","6.42%","218",".39%"
"Taylor County","79",".15%","94.05%","5",".13%","5.95%","84",".15%"
"Telfair County","91",".17%","91.00%","9",".24%","9.00%","100",".18%"
"Terrell County","78",".15%","97.50%","2",".05%","2.50%","80",".14%"
"Thomas County","239",".46%","94.84%","13",".34%","5.16%","252",".45%"
"Tift County","296",".57%","96.10%","12",".31%","3.90%","308",".55%"
"Toombs County","358",".69%","91.56%","33",".86%","8.44%","391",".70%"
"Towns County","37",".07%","88.10%","5",".13%","11.90%","42",".08%"
"Treutlen County","86",".16%","94.51%","5",".13%","5.49%","91",".16%"
"Troup County","650","1.25%","90.91%","65","1.70%","9.09%","715","1.28%"
"Turner County","66",".13%","94.29%","4",".10%","5.71%","70",".13%"
"Twiggs County","75",".14%","94.94%","4",".10%","5.06%","79",".14%"
"Union County","79",".15%","84.04%","15",".39%","15.96%","94",".17%"
"Upson County","168",".32%","94.92%","9",".24%","5.08%","177",".32%"
"Walker County","387",".74%","89.38%","46","1.20%","10.62%","433",".77%"
"Walton County","526","1.01%","90.07%","58","1.52%","9.93%","584","1.04%"
"Ware County","338",".65%","93.89%","22",".58%","6.11%","360",".64%"
"Warren County","50",".10%","96.15%","2",".05%","3.85%","52",".09%"
"Washington County","200",".38%","90.50%","21",".55%","9.50%","221",".39%"
"Wayne County","136",".26%","90.67%","14",".37%","9.33%","150",".27%"
