"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152 
Webster County","13",".03%","92.86%","1",".03%","7.14%","14",".03%"
"153 
Wheeler County","27",".06%","79.41%","7",".18%","20.59%","34",".07%"
"154 
White County","96",".20%","93.20%","7",".18%","6.80%","103",".20%"
"155 
Whitfield County","804","1.67%","87.11%","119","3.09%","12.89%","923","1.77%"
"156 
Wilcox County","70",".15%","93.33%","5",".13%","6.67%","75",".14%"
"157 
Wilkes County","67",".14%","97.10%","2",".05%","2.90%","69",".13%"
"158 
Wilkinson County","38",".08%","97.44%","1",".03%","2.56%","39",".07%"
"159 
Worth County","120",".25%","92.31%","10",".26%","7.69%","130",".25%"
"Total Rported","48,170","100%","92.6%","3,850","100%","7.4%","52,020","100%"
