"County of Conviction","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"054  Evans County","87","0.18%","91.58%","8","0.2%","8.42%","95","0.18%"
"055  Fannin County","105","0.22%","86.07%","17","0.43%","13.93%","122","0.23%"
"056  Fayette County","383","0.78%","88.45%","50","1.25%","11.55%","433","0.82%"
"057  Floyd County","947","1.94%","91.41%","89","2.23%","8.59%","1,036","1.96%"
"058  Forsyth County","404","0.83%","88.02%","55","1.38%","11.98%","459","0.87%"
"059  Franklin County","178","0.36%","89.45%","21","0.53%","10.55%","199","0.38%"
"060  Fulton County","4,712","9.65%","95.06%","245","6.13%","4.94%","4,957","9.38%"
"061  Gilmer County","118","0.24%","92.91%","9","0.23%","7.09%","127","0.24%"
"062  Glascock County","11","0.02%","100.0%","","","","11","0.02%"
"063  Glynn County","557","1.14%","94.25%","34","0.85%","5.75%","591","1.12%"
"064  Gordon County","371","0.76%","87.91%","51","1.28%","12.09%","422","0.8%"
"065  Grady County","215","0.44%","89.58%","25","0.63%","10.42%","240","0.45%"
"066  Greene County","117","0.24%","88.64%","15","0.38%","11.36%","132","0.25%"
"067  Gwinnett County","2,420","4.96%","93.47%","169","4.23%","6.53%","2,589","4.9%"
"068  Habersham County","120","0.25%","86.33%","19","0.48%","13.67%","139","0.26%"
"069  Hall County","751","1.54%","91.92%","66","1.65%","8.08%","817","1.55%"
"070  Hancock County","47","0.1%","94.0%","3","0.08%","6.0%","50","0.09%"
"071  Haralson County","165","0.34%","88.71%","21","0.53%","11.29%","186","0.35%"
"072  Harris County","105","0.22%","95.45%","5","0.13%","4.55%","110","0.21%"
"073  Hart County","156","0.32%","93.98%","10","0.25%","6.02%","166","0.31%"
"074  Heard County","52","0.11%","88.14%","7","0.18%","11.86%","59","0.11%"
"075  Henry County","698","1.43%","90.65%","72","1.8%","9.35%","770","1.46%"
"076  Houston County","906","1.86%","91.42%","85","2.13%","8.58%","991","1.88%"
"077 
Irwin County","77","0.16%","93.9%","5","0.13%","6.1%","82","0.16%"
"078 
Jackson County","281","0.58%","89.78%","32","0.8%","10.22%","313","0.59%"
"079 
Jasper County","58","0.12%","95.08%","3","0.08%","4.92%","61","0.12%"
"080 
Jeff Davis County","96","0.2%","92.31%","8","0.2%","7.69%","104","0.2%"
