"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","5",".01%","71.43%","2",".05%","28.57%","7",".01%"
"153
Wheeler County","21",".04%","95.45%","1",".03%","4.55%","22",".04%"
"154
White County","101",".20%","86.32%","16",".40%","13.68%","117",".21%"
"155
Whitfield County","817","1.60%","87.76%","114","2.86%","12.24%","931","1.69%"
"156
Wilcox County","53",".10%","94.64%","3",".08%","5.36%","56",".10%"
"157
Wilkes County","70",".14%","95.89%","3",".08%","4.11%","73",".13%"
"158
Wilkinson County","46",".09%","95.83%","2",".05%","4.17%","48",".09%"
"159
Worth County","124",".24%","91.85%","11",".28%","8.15%","135",".24%"
"Total Rported","51,124","100%","92.77%","3,983","100%","7.23%","55,107","100%"
