"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"000 
Unknown","174",".38%","93.55%","12",".36%","6.45%","186",".38%"
"001 
Appling County","99",".22%","97.06%","3",".09%","2.94%","102",".21%"
"002 
Atkinson County","42",".09%","95.45%","2",".06%","4.55%","44",".09%"
"003 
Bacon County","68",".15%","94.44%","4",".12%","5.56%","72",".15%"
"004 
Baker County","14",".03%","93.33%","1",".03%","6.67%","15",".03%"
"005 
Baldwin County","270",".60%","91.84%","24",".72%","8.16%","294",".61%"
"006 
Banks County","52",".11%","89.66%","6",".18%","10.34%","58",".12%"
"007 
Barrow County","356",".79%","90.36%","38","1.14%","9.64%","394",".81%"
"008 
Bartow County","597","1.32%","87.79%","83","2.48%","12.21%","680","1.40%"
"009 
Ben Hill County","258",".57%","92.47%","21",".63%","7.53%","279",".57%"
"010 
Berrien County","103",".23%","94.50%","6",".18%","5.50%","109",".22%"
"011 
Bibb County","933","2.06%","95.50%","44","1.32%","4.50%","977","2.01%"
"012 
Bleckley County","57",".13%","95.00%","3",".09%","5.00%","60",".12%"
"013 
Brantley County","74",".16%","87.06%","11",".33%","12.94%","85",".18%"
"014 
Brooks County","46",".10%","97.87%","1",".03%","2.13%","47",".10%"
"015 
Bryan County","47",".10%","94.00%","3",".09%","6.00%","50",".10%"
"016 
Bulloch County","474","1.05%","93.12%","35","1.05%","6.88%","509","1.05%"
"017 
Burke County","208",".46%","96.30%","8",".24%","3.70%","216",".44%"
"018 
Butts County","145",".32%","93.55%","10",".30%","6.45%","155",".32%"
"019 
Calhoun County","27",".06%","90.00%","3",".09%","10.00%","30",".06%"
"020 
Camden County","185",".41%","94.39%","11",".33%","5.61%","196",".40%"
"021 
Candler County","82",".18%","92.13%","7",".21%","7.87%","89",".18%"
"022 
Carroll County","632","1.40%","93.63%","43","1.29%","6.37%","675","1.39%"
"023 
Catoosa County","353",".78%","90.51%","37","1.11%","9.49%","390",".80%"
"024 
Charlton County","68",".15%","89.47%","8",".24%","10.53%","76",".16%"
"025 
Chatham County","1,535","3.39%","96.12%","62","1.85%","3.88%","1,597","3.29%"
"026 
Chattahoochee County","17",".04%","100.00%","","","","17",".04%"
"027 
Chattooga County","158",".35%","89.77%","18",".54%","10.23%","176",".36%"
"028 
Cherokee County","580","1.28%","92.50%","47","1.41%","7.50%","627","1.29%"
"029 
Clarke County","469","1.04%","95.71%","21",".63%","4.29%","490","1.01%"
"030 
Clay County","14",".03%","82.35%","3",".09%","17.65%","17",".04%"
"031 
Clayton County","1,101","2.43%","93.70%","74","2.21%","6.30%","1,175","2.42%"
"032 
Clinch County","40",".09%","95.24%","2",".06%","4.76%","42",".09%"
"033 
Cobb County","2,108","4.66%","92.99%","159","4.75%","7.01%","2,267","4.67%"
"034 
Coffee County","290",".64%","94.16%","18",".54%","5.84%","308",".63%"
"035 
Colquitt County","244",".54%","94.94%","13",".39%","5.06%","257",".53%"
"036 
Columbia County","375",".83%","89.93%","42","1.26%","10.07%","417",".86%"
"037 
Cook County","109",".24%","91.60%","10",".30%","8.40%","119",".25%"
