"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","555","1.23%","94.71%","31",".97%","5.29%","586","1.21%"
"039
Crawford County","20",".04%","90.91%","2",".06%","9.09%","22",".05%"
"040
Crisp County","324",".72%","94.19%","20",".63%","5.81%","344",".71%"
"041
Dade County","80",".18%","96.39%","3",".09%","3.61%","83",".17%"
"042
Dawson County","94",".21%","92.16%","8",".25%","7.84%","102",".21%"
"043
Decatur County","229",".51%","94.63%","13",".41%","5.37%","242",".50%"
"044
Dekalb County","2,558","5.65%","95.02%","134","4.20%","4.98%","2,692","5.56%"
"045
Dodge County","113",".25%","94.96%","6",".19%","5.04%","119",".25%"
"046
Dooly County","111",".25%","93.28%","8",".25%","6.72%","119",".25%"
"047
Dougherty County","740","1.64%","96.23%","29",".91%","3.77%","769","1.59%"
"048
Douglas County","960","2.12%","91.43%","90","2.82%","8.57%","1,050","2.17%"
"049
Early County","81",".18%","96.43%","3",".09%","3.57%","84",".17%"
"050
Echols County","10",".02%","83.33%","2",".06%","16.67%","12",".02%"
"051
Effingham County","206",".46%","89.96%","23",".72%","10.04%","229",".47%"
"052
Elbert County","129",".29%","94.16%","8",".25%","5.84%","137",".28%"
"053
Emanuel County","139",".31%","92.05%","12",".38%","7.95%","151",".31%"
"054
Evans County","76",".17%","95.00%","4",".13%","5.00%","80",".17%"
"055
Fannin County","87",".19%","87.88%","12",".38%","12.12%","99",".20%"
"056
Fayette County","297",".66%","94.29%","18",".56%","5.71%","315",".65%"
"057
Floyd County","840","1.86%","91.01%","83","2.60%","8.99%","923","1.91%"
"058
Forsyth County","337",".74%","90.59%","35","1.10%","9.41%","372",".77%"
"059
Franklin County","140",".31%","86.42%","22",".69%","13.58%","162",".33%"
"060
Fulton County","4,531","10.01%","96.10%","184","5.76%","3.90%","4,715","9.73%"
"061
Gilmer County","88",".19%","92.63%","7",".22%","7.37%","95",".20%"
"062
Glascock County","8",".02%","100.00%","","","","8",".02%"
"063
Glynn County","513","1.13%","93.96%","33","1.03%","6.04%","546","1.13%"
"064
Gordon County","342",".76%","89.30%","41","1.28%","10.70%","383",".79%"
"065
Grady County","137",".30%","97.16%","4",".13%","2.84%","141",".29%"
"066
Greene County","98",".22%","95.15%","5",".16%","4.85%","103",".21%"
"067
Gwinnett County","2,364","5.22%","94.03%","150","4.70%","5.97%","2,514","5.19%"
"068
Habersham County","107",".24%","92.24%","9",".28%","7.76%","116",".24%"
"069
Hall County","629","1.39%","93.32%","45","1.41%","6.68%","674","1.39%"
"070
Hancock County","33",".07%","89.19%","4",".13%","10.81%","37",".08%"
"071
Haralson County","114",".25%","93.44%","8",".25%","6.56%","122",".25%"
"072
Harris County","100",".22%","94.34%","6",".19%","5.66%","106",".22%"
"073
Hart County","161",".36%","93.06%","12",".38%","6.94%","173",".36%"
"074
Heard County","43",".10%","95.56%","2",".06%","4.44%","45",".09%"
"075
Henry County","596","1.32%","91.98%","52","1.63%","8.02%","648","1.34%"
