"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"076
Houston County","706","1.29%","93.76%","47","1.20%","6.24%","753","1.29%"
"077
Irwin County","83",".15%","94.32%","5",".13%","5.68%","88",".15%"
"078
Jackson County","248",".45%","90.84%","25",".64%","9.16%","273",".47%"
"079
Jasper County","75",".14%","93.75%","5",".13%","6.25%","80",".14%"
"080
Jeff Davis County","73",".13%","92.41%","6",".15%","7.59%","79",".14%"
"081
Jefferson County","170",".31%","96.59%","6",".15%","3.41%","176",".30%"
"082
Jenkins County","74",".14%","94.87%","4",".10%","5.13%","78",".13%"
"083
Johnson County","56",".10%","91.80%","5",".13%","8.20%","61",".10%"
"084
Jones County","224",".41%","90.69%","23",".59%","9.31%","247",".42%"
"085
Lamar County","90",".16%","93.75%","6",".15%","6.25%","96",".16%"
"086
Lanier County","50",".09%","94.34%","3",".08%","5.66%","53",".09%"
"087
Laurens County","344",".63%","94.25%","21",".54%","5.75%","365",".62%"
"088
Lee County","67",".12%","90.54%","7",".18%","9.46%","74",".13%"
"089
Liberty County","309",".57%","93.64%","21",".54%","6.36%","330",".56%"
"090
Lincoln County","27",".05%","90.00%","3",".08%","10.00%","30",".05%"
"091
Long County","83",".15%","96.51%","3",".08%","3.49%","86",".15%"
"092
Lowndes County","570","1.04%","93.75%","38",".97%","6.25%","608","1.04%"
"093
Lumpkin County","108",".20%","88.52%","14",".36%","11.48%","122",".21%"
"094
Macon County","72",".13%","96.00%","3",".08%","4.00%","75",".13%"
"095
Madison County","110",".20%","94.02%","7",".18%","5.98%","117",".20%"
"096
Marion County","35",".06%","100.00%","","","","35",".06%"
"097
Mcduffie County","205",".38%","93.18%","15",".38%","6.82%","220",".38%"
"098
Mcintosh County","87",".16%","97.75%","2",".05%","2.25%","89",".15%"
"099
Meriwether County","238",".44%","96.36%","9",".23%","3.64%","247",".42%"
"100
Miller County","38",".07%","100.00%","","","","38",".06%"
"101
Mitchell County","250",".46%","92.94%","19",".49%","7.06%","269",".46%"
"102
Monroe County","183",".34%","91.04%","18",".46%","8.96%","201",".34%"
"103
Montgomery County","52",".10%","96.30%","2",".05%","3.70%","54",".09%"
"104
Morgan County","154",".28%","90.06%","17",".43%","9.94%","171",".29%"
"105
Murray County","187",".34%","93.03%","14",".36%","6.97%","201",".34%"
"106
Muscogee County","1,591","2.92%","95.33%","78","1.99%","4.67%","1,669","2.85%"
"107
Newton County","736","1.35%","92.23%","62","1.59%","7.77%","798","1.36%"
"108
Oconee County","60",".11%","95.24%","3",".08%","4.76%","63",".11%"
"109
Oglethorpe County","65",".12%","94.20%","4",".10%","5.80%","69",".12%"
"110
Paulding County","325",".60%","92.07%","28",".72%","7.93%","353",".60%"
"111
Peach County","89",".16%","98.89%","1",".03%","1.11%","90",".15%"
"112
Pickens County","115",".21%","92.00%","10",".26%","8.00%","125",".21%"
"113
Pierce County","85",".16%","96.59%","3",".08%","3.41%","88",".15%"
