"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Unknown","201",".39%","94.81%","11",".28%","5.19%","212",".38%"
"Appling County","116",".23%","95.08%","6",".15%","4.92%","122",".22%"
"Atkinson County","52",".10%","88.14%","7",".18%","11.86%","59",".11%"
"Bacon County","88",".17%","93.62%","6",".15%","6.38%","94",".17%"
"Baker County","9",".02%","81.82%","2",".05%","18.18%","11",".02%"
"Baldwin County","298",".58%","92.83%","23",".58%","7.17%","321",".58%"
"Banks County","74",".14%","89.16%","9",".23%","10.84%","83",".15%"
"Barrow County","341",".67%","89.74%","39",".99%","10.26%","380",".69%"
"Bartow County","609","1.19%","87.75%","85","2.15%","12.25%","694","1.26%"
"Ben Hill County","237",".46%","94.42%","14",".35%","5.58%","251",".45%"
"Berrien County","101",".20%","95.28%","5",".13%","4.72%","106",".19%"
"Bibb County","1,172","2.29%","94.44%","69","1.74%","5.56%","1,241","2.25%"
"Bleckley County","66",".13%","92.96%","5",".13%","7.04%","71",".13%"
"Brantley County","95",".19%","89.62%","11",".28%","10.38%","106",".19%"
"Brooks County","51",".10%","98.08%","1",".03%","1.92%","52",".09%"
"Bryan County","51",".10%","100.00%","","","","51",".09%"
"Bulloch County","531","1.04%","92.67%","42","1.06%","7.33%","573","1.04%"
"Burke County","241",".47%","96.02%","10",".25%","3.98%","251",".45%"
"Butts County","139",".27%","90.85%","14",".35%","9.15%","153",".28%"
"Calhoun County","28",".05%","87.50%","4",".10%","12.50%","32",".06%"
"Camden County","198",".39%","92.09%","17",".43%","7.91%","215",".39%"
"Candler County","120",".23%","93.02%","9",".23%","6.98%","129",".23%"
"Carroll County","621","1.21%","89.87%","70","1.77%","10.13%","691","1.25%"
"Catoosa County","340",".66%","89.71%","39",".99%","10.29%","379",".69%"
"Charlton County","76",".15%","89.41%","9",".23%","10.59%","85",".15%"
"Chatham County","1,956","3.82%","95.98%","82","2.07%","4.02%","2,038","3.69%"
"Chattahoochee County","23",".04%","100.00%","","","","23",".04%"
"Chattooga County","234",".46%","89.31%","28",".71%","10.69%","262",".47%"
"Cherokee County","586","1.14%","90.99%","58","1.47%","9.01%","644","1.17%"
"Clarke County","564","1.10%","93.22%","41","1.04%","6.78%","605","1.10%"
"Clay County","24",".05%","85.71%","4",".10%","14.29%","28",".05%"
"Clayton County","1,355","2.64%","92.62%","108","2.73%","7.38%","1,463","2.65%"
"Clinch County","45",".09%","91.84%","4",".10%","8.16%","49",".09%"
"Cobb County","2,666","5.20%","92.12%","228","5.76%","7.88%","2,894","5.24%"
"Coffee County","221",".43%","94.04%","14",".35%","5.96%","235",".43%"
"Colquitt County","224",".44%","96.14%","9",".23%","3.86%","233",".42%"
"Columbia County","425",".83%","90.62%","44","1.11%","9.38%","469",".85%"
"Cook County","118",".23%","93.65%","8",".20%","6.35%","126",".23%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Coweta County","637","1.24%","93.27%","46","1.16%","6.73%","683","1.24%"
"Crawford County","24",".05%","96.00%","1",".03%","4.00%","25",".05%"
"Crisp County","350",".68%","93.83%","23",".58%","6.17%","373",".68%"
"Dade County","95",".19%","92.23%","8",".20%","7.77%","103",".19%"
"Dawson County","97",".19%","92.38%","8",".20%","7.62%","105",".19%"
"Decatur County","247",".48%","93.92%","16",".40%","6.08%","263",".48%"
"Dekalb County","2,910","5.68%","94.94%","155","3.92%","5.06%","3,065","5.55%"
"Dodge County","139",".27%","93.29%","10",".25%","6.71%","149",".27%"
"Dooly County","135",".26%","94.41%","8",".20%","5.59%","143",".26%"
"Dougherty County","828","1.62%","95.72%","37",".94%","4.28%","865","1.57%"
"Douglas County","1,010","1.97%","90.83%","102","2.58%","9.17%","1,112","2.01%"
"Early County","78",".15%","95.12%","4",".10%","4.88%","82",".15%"
"Echols County","12",".02%","85.71%","2",".05%","14.29%","14",".03%"
"Effingham County","265",".52%","88.63%","34",".86%","11.37%","299",".54%"
"Elbert County","137",".27%","93.20%","10",".25%","6.80%","147",".27%"
"Emanuel County","172",".34%","92.47%","14",".35%","7.53%","186",".34%"
"Evans County","92",".18%","95.83%","4",".10%","4.17%","96",".17%"
"Fannin County","98",".19%","88.29%","13",".33%","11.71%","111",".20%"
"Fayette County","343",".67%","91.71%","31",".78%","8.29%","374",".68%"
"Floyd County","897","1.75%","91.34%","85","2.15%","8.66%","982","1.78%"
"Forsyth County","373",".73%","92.33%","31",".78%","7.67%","404",".73%"
"Franklin County","150",".29%","85.71%","25",".63%","14.29%","175",".32%"
"Fulton County","5,022","9.80%","95.99%","210","5.31%","4.01%","5,232","9.47%"
"Gilmer County","101",".20%","91.82%","9",".23%","8.18%","110",".20%"
"Glascock County","9",".02%","100.00%","","","","9",".02%"
"Glynn County","551","1.07%","93.39%","39",".99%","6.61%","590","1.07%"
"Gordon County","405",".79%","89.01%","50","1.26%","10.99%","455",".82%"
"Grady County","150",".29%","96.15%","6",".15%","3.85%","156",".28%"
"Greene County","118",".23%","90.08%","13",".33%","9.92%","131",".24%"
"Gwinnett County","2,672","5.21%","93.20%","195","4.93%","6.80%","2,867","5.19%"
"Habersham County","131",".26%","90.34%","14",".35%","9.66%","145",".26%"
"Hall County","711","1.39%","92.34%","59","1.49%","7.66%","770","1.39%"
"Hancock County","41",".08%","91.11%","4",".10%","8.89%","45",".08%"
"Haralson County","112",".22%","89.60%","13",".33%","10.40%","125",".23%"
"Harris County","127",".25%","94.78%","7",".18%","5.22%","134",".24%"
"Hart County","177",".35%","92.67%","14",".35%","7.33%","191",".35%"
"Heard County","53",".10%","96.36%","2",".05%","3.64%","55",".10%"
