"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Appling","93",".19%","95.88%","4",".12%","4.12%","97",".19%"
"Atkinson","39",".08%","92.86%","3",".09%","7.14%","42",".08%"
"Bacon","53",".11%","100.00%","","","","53",".10%"
"Baker","14",".03%","93.33%","1",".03%","6.67%","15",".03%"
"Baldwin
1 2 3 4 5 6 7 8 9 1","367",".76%","94.59%","21",".61%","5.41%","388",".75%"
"Banks","73",".15%","92.41%","6",".18%","7.59%","79",".15%"
"Barrow","242",".50%","95.65%","11",".32%","4.35%","253",".49%"
"Bartow","525","1.09%","88.68%","67","1.96%","11.32%","592","1.15%"
"Ben Hill","233",".48%","93.57%","16",".47%","6.43%","249",".48%"
"Berrien","85",".18%","88.54%","11",".32%","11.46%","96",".19%"
"Bibb","1,009","2.10%","94.74%","56","1.64%","5.26%","1,065","2.07%"
"Bleckley","105",".22%","91.30%","10",".29%","8.70%","115",".22%"
"Brantley","56",".12%","94.92%","3",".09%","5.08%","59",".11%"
"Brooks","72",".15%","100.00%","","","","72",".14%"
"Bryan","102",".21%","89.47%","12",".35%","10.53%","114",".22%"
"Bulloch","453",".94%","93.79%","30",".88%","6.21%","483",".94%"
"Burke","202",".42%","94.84%","11",".32%","5.16%","213",".41%"
"Butts","149",".31%","95.51%","7",".20%","4.49%","156",".30%"
"Calhoun","36",".07%","90.00%","4",".12%","10.00%","40",".08%"
"Camden","131",".27%","94.93%","7",".20%","5.07%","138",".27%"
"Candler","78",".16%","96.30%","3",".09%","3.70%","81",".16%"
"Carroll","526","1.09%","91.16%","51","1.49%","8.84%","577","1.12%"
"Catoosa","258",".54%","92.14%","22",".64%","7.86%","280",".54%"
"Charlton","61",".13%","95.31%","3",".09%","4.69%","64",".12%"
"Chatham","2,349","4.88%","93.62%","160","4.67%","6.38%","2,509","4.87%"
"Chattahoochee","26",".05%","96.30%","1",".03%","3.70%","27",".05%"
"Chattooga","228",".47%","87.36%","33",".96%","12.64%","261",".51%"
"Cherokee","547","1.14%","90.56%","57","1.66%","9.44%","604","1.17%"
"Clarke","470",".98%","92.89%","36","1.05%","7.11%","506",".98%"
"Clay","28",".06%","96.55%","1",".03%","3.45%","29",".06%"
"Clayton","1,573","3.27%","91.88%","139","4.06%","8.12%","1,712","3.32%"
"Clinch","48",".10%","92.31%","4",".12%","7.69%","52",".10%"
"Cobb","2,581","5.36%","92.05%","223","6.51%","7.95%","2,804","5.44%"
"Coffee","227",".47%","90.80%","23",".67%","9.20%","250",".48%"
"Colquitt","307",".64%","96.54%","11",".32%","3.46%","318",".62%"
"Columbia","277",".58%","92.03%","24",".70%","7.97%","301",".58%"
"Cook","141",".29%","94.63%","8",".23%","5.37%","149",".29%"
"Coweta","520","1.08%","95.41%","25",".73%","4.59%","545","1.06%"
