"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","4",".01%","80.00%","1",".03%","20.00%","5",".01%"
"153
Wheeler County","26",".05%","96.30%","1",".03%","3.70%","27",".05%"
"154
White County","103",".20%","90.35%","11",".28%","9.65%","114",".21%"
"155
Whitfield County","797","1.57%","88.16%","107","2.72%","11.84%","904","1.65%"
"156
Wilcox County","46",".09%","93.88%","3",".08%","6.12%","49",".09%"
"157
Wilkes County","77",".15%","91.67%","7",".18%","8.33%","84",".15%"
"158
Wilkinson County","45",".09%","95.74%","2",".05%","4.26%","47",".09%"
"159
Worth County","132",".26%","91.67%","12",".31%","8.33%","144",".26%"
"Total Rported","50,833","100%","92.82%","3,931","100%","7.18%","54,764","100%"
