"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Unknown","181",".36%","94.27%","11",".29%","5.73%","192",".35%"
"Appling County","94",".19%","97.92%","2",".05%","2.08%","96",".18%"
"Atkinson County","46",".09%","90.20%","5",".13%","9.80%","51",".09%"
"Bacon County","74",".15%","91.36%","7",".19%","8.64%","81",".15%"
"Baker County","9",".02%","90.00%","1",".03%","10.00%","10",".02%"
"Baldwin County","294",".58%","93.33%","21",".56%","6.67%","315",".58%"
"Banks County","50",".10%","90.91%","5",".13%","9.09%","55",".10%"
"Barrow County","256",".51%","89.51%","30",".80%","10.49%","286",".53%"
"Bartow County","646","1.28%","88.49%","84","2.24%","11.51%","730","1.35%"
"Ben Hill County","254",".50%","92.70%","20",".53%","7.30%","274",".51%"
"Berrien County","93",".18%","95.88%","4",".11%","4.12%","97",".18%"
"Bibb County","1,128","2.24%","94.00%","72","1.92%","6.00%","1,200","2.22%"
"Bleckley County","62",".12%","92.54%","5",".13%","7.46%","67",".12%"
"Brantley County","52",".10%","91.23%","5",".13%","8.77%","57",".11%"
"Brooks County","63",".13%","95.45%","3",".08%","4.55%","66",".12%"
"Bryan County","75",".15%","97.40%","2",".05%","2.60%","77",".14%"
"Bulloch County","547","1.09%","94.15%","34",".91%","5.85%","581","1.07%"
"Burke County","200",".40%","96.62%","7",".19%","3.38%","207",".38%"
"Butts County","110",".22%","94.83%","6",".16%","5.17%","116",".21%"
"Calhoun County","28",".06%","96.55%","1",".03%","3.45%","29",".05%"
"Camden County","187",".37%","95.41%","9",".24%","4.59%","196",".36%"
"Candler County","108",".21%","93.91%","7",".19%","6.09%","115",".21%"
"Carroll County","548","1.09%","90.13%","60","1.60%","9.87%","608","1.12%"
"Catoosa County","353",".70%","89.37%","42","1.12%","10.63%","395",".73%"
"Charlton County","65",".13%","92.86%","5",".13%","7.14%","70",".13%"
"Chatham County","1,999","3.97%","95.97%","84","2.24%","4.03%","2,083","3.85%"
"Chattahoochee County","30",".06%","93.75%","2",".05%","6.25%","32",".06%"
"Chattooga County","257",".51%","87.71%","36",".96%","12.29%","293",".54%"
"Cherokee County","534","1.06%","89.75%","61","1.63%","10.25%","595","1.10%"
"Clarke County","523","1.04%","94.06%","33",".88%","5.94%","556","1.03%"
"Clay County","23",".05%","85.19%","4",".11%","14.81%","27",".05%"
"Clayton County","1,478","2.94%","94.02%","94","2.51%","5.98%","1,572","2.91%"
"Clinch County","39",".08%","95.12%","2",".05%","4.88%","41",".08%"
"Cobb County","2,543","5.05%","90.92%","254","6.77%","9.08%","2,797","5.17%"
"Coffee County","250",".50%","93.98%","16",".43%","6.02%","266",".49%"
"Colquitt County","219",".44%","96.48%","8",".21%","3.52%","227",".42%"
"Columbia County","409",".81%","90.29%","44","1.17%","9.71%","453",".84%"
"Cook County","122",".24%","93.85%","8",".21%","6.15%","130",".24%"
"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Coweta County","581","1.15%","93.56%","40","1.07%","6.44%","621","1.15%"
"Crawford County","23",".05%","100.00%","","","","23",".04%"
"Crisp County","284",".56%","93.42%","20",".53%","6.58%","304",".56%"
"Dade County","101",".20%","94.39%","6",".16%","5.61%","107",".20%"
"Dawson County","115",".23%","90.55%","12",".32%","9.45%","127",".23%"
"Decatur County","240",".48%","96.00%","10",".27%","4.00%","250",".46%"
"Dekalb County","3,082","6.12%","94.89%","166","4.43%","5.11%","3,248","6.00%"
"Dodge County","168",".33%","92.82%","13",".35%","7.18%","181",".33%"
"Dooly County","98",".19%","94.23%","6",".16%","5.77%","104",".19%"
"Dougherty County","958","1.90%","94.95%","51","1.36%","5.05%","1,009","1.87%"
