"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Unknown","173",".34%","92.51%","14",".36%","7.49%","187",".34%"
"Appling County","116",".23%","97.48%","3",".08%","2.52%","119",".22%"
"Atkinson County","57",".11%","90.48%","6",".15%","9.52%","63",".11%"
"Bacon County","83",".16%","91.21%","8",".20%","8.79%","91",".17%"
"Baker County","12",".02%","100.00%","","","","12",".02%"
"Baldwin County","298",".58%","93.42%","21",".53%","6.58%","319",".58%"
"Banks County","70",".14%","90.91%","7",".18%","9.09%","77",".14%"
"Barrow County","343",".67%","90.50%","36",".92%","9.50%","379",".69%"
"Bartow County","628","1.23%","88.33%","83","2.11%","11.67%","711","1.30%"
"Ben Hill County","258",".51%","93.48%","18",".46%","6.52%","276",".50%"
"Berrien County","89",".17%","97.80%","2",".05%","2.20%","91",".17%"
"Bibb County","1,117","2.19%","93.47%","78","1.98%","6.53%","1,195","2.18%"
"Bleckley County","69",".14%","89.61%","8",".20%","10.39%","77",".14%"
"Brantley County","83",".16%","85.57%","14",".36%","14.43%","97",".18%"
"Brooks County","56",".11%","98.25%","1",".03%","1.75%","57",".10%"
"Bryan County","60",".12%","96.77%","2",".05%","3.23%","62",".11%"
"Bulloch County","524","1.03%","93.74%","35",".89%","6.26%","559","1.02%"
"Burke County","226",".44%","96.17%","9",".23%","3.83%","235",".43%"
"Butts County","116",".23%","94.31%","7",".18%","5.69%","123",".22%"
"Calhoun County","31",".06%","91.18%","3",".08%","8.82%","34",".06%"
"Camden County","215",".42%","93.48%","15",".38%","6.52%","230",".42%"
"Candler County","114",".22%","92.68%","9",".23%","7.32%","123",".22%"
"Carroll County","661","1.30%","92.06%","57","1.45%","7.94%","718","1.31%"
"Catoosa County","382",".75%","88.84%","48","1.22%","11.16%","430",".78%"
"Charlton County","64",".13%","88.89%","8",".20%","11.11%","72",".13%"
"Chatham County","1,881","3.69%","95.05%","98","2.49%","4.95%","1,979","3.61%"
"Chattahoochee County","28",".05%","100.00%","","","","28",".05%"
"Chattooga County","225",".44%","88.93%","28",".71%","11.07%","253",".46%"
"Cherokee County","549","1.08%","91.50%","51","1.30%","8.50%","600","1.09%"
"Clarke County","568","1.11%","93.11%","42","1.07%","6.89%","610","1.11%"
"Clay County","27",".05%","84.38%","5",".13%","15.63%","32",".06%"
