"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"076
Houston County","690","1.31%","93.50%","48","1.23%","6.50%","738","1.30%"
"077
Irwin County","77",".15%","96.25%","3",".08%","3.75%","80",".14%"
"078
Jackson County","230",".44%","92.37%","19",".49%","7.63%","249",".44%"
"079
Jasper County","69",".13%","94.52%","4",".10%","5.48%","73",".13%"
"080
Jeff Davis County","70",".13%","89.74%","8",".21%","10.26%","78",".14%"
"081
Jefferson County","161",".31%","95.83%","7",".18%","4.17%","168",".30%"
"082
Jenkins County","62",".12%","93.94%","4",".10%","6.06%","66",".12%"
"083
Johnson County","53",".10%","92.98%","4",".10%","7.02%","57",".10%"
"084
Jones County","204",".39%","89.87%","23",".59%","10.13%","227",".40%"
"085
Lamar County","84",".16%","93.33%","6",".15%","6.67%","90",".16%"
"086
Lanier County","47",".09%","94.00%","3",".08%","6.00%","50",".09%"
"087
Laurens County","337",".64%","95.20%","17",".44%","4.80%","354",".63%"
"088
Lee County","68",".13%","91.89%","6",".15%","8.11%","74",".13%"
"089
Liberty County","301",".57%","93.19%","22",".56%","6.81%","323",".57%"
"090
Lincoln County","28",".05%","93.33%","2",".05%","6.67%","30",".05%"
"091
Long County","83",".16%","96.51%","3",".08%","3.49%","86",".15%"
"092
Lowndes County","557","1.06%","93.46%","39","1.00%","6.54%","596","1.05%"
"093
Lumpkin County","104",".20%","87.39%","15",".39%","12.61%","119",".21%"
"094
Macon County","76",".14%","97.44%","2",".05%","2.56%","78",".14%"
"095
Madison County","113",".21%","93.39%","8",".21%","6.61%","121",".21%"
"096
Marion County","36",".07%","94.74%","2",".05%","5.26%","38",".07%"
"097
Mcduffie County","201",".38%","92.20%","17",".44%","7.80%","218",".39%"
"098
Mcintosh County","80",".15%","98.77%","1",".03%","1.23%","81",".14%"
"099
Meriwether County","222",".42%","96.10%","9",".23%","3.90%","231",".41%"
"100
Miller County","38",".07%","100.00%","","","","38",".07%"
"101
Mitchell County","238",".45%","93.33%","17",".44%","6.67%","255",".45%"
"102
Monroe County","176",".33%","91.67%","16",".41%","8.33%","192",".34%"
"103
Montgomery County","45",".09%","97.83%","1",".03%","2.17%","46",".08%"
"104
Morgan County","146",".28%","91.82%","13",".33%","8.18%","159",".28%"
"105
Murray County","199",".38%","93.87%","13",".33%","6.13%","212",".37%"
"106
Muscogee County","1,569","2.98%","95.26%","78","2.00%","4.74%","1,647","2.91%"
"107
Newton County","675","1.28%","91.34%","64","1.64%","8.66%","739","1.31%"
"108
Oconee County","56",".11%","93.33%","4",".10%","6.67%","60",".11%"
"109
Oglethorpe County","65",".12%","94.20%","4",".10%","5.80%","69",".12%"
"110
Paulding County","300",".57%","92.59%","24",".62%","7.41%","324",".57%"
"111
Peach County","79",".15%","97.53%","2",".05%","2.47%","81",".14%"
"112
Pickens County","116",".22%","88.55%","15",".39%","11.45%","131",".23%"
"113
Pierce County","82",".16%","95.35%","4",".10%","4.65%","86",".15%"
