"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038 
Coweta County","610","1.28%","94.28%","37",".98%","5.72%","647","1.25%"
"039 
Crawford County","23",".05%","92.00%","2",".05%","8.00%","25",".05%"
"040 
Crisp County","395",".83%","91.22%","38","1.01%","8.78%","433",".84%"
"041 
Dade County","89",".19%","87.25%","13",".35%","12.75%","102",".20%"
"042 
Dawson County","144",".30%","87.80%","20",".53%","12.20%","164",".32%"
"043 
Decatur County","310",".65%","91.45%","29",".77%","8.55%","339",".66%"
"044 
Dekalb County","2,495","5.22%","95.63%","114","3.03%","4.37%","2,609","5.06%"
"045 
Dodge County","133",".28%","89.86%","15",".40%","10.14%","148",".29%"
"046 
Dooly County","130",".27%","88.44%","17",".45%","11.56%","147",".29%"
"047 
Dougherty County","742","1.55%","95.25%","37",".98%","4.75%","779","1.51%"
"048 
Douglas County","842","1.76%","90.73%","86","2.28%","9.27%","928","1.80%"
"049 
Early County","90",".19%","96.77%","3",".08%","3.23%","93",".18%"
"050 
Echols County","10",".02%","83.33%","2",".05%","16.67%","12",".02%"
"051 
Effingham County","365",".76%","90.12%","40","1.06%","9.88%","405",".79%"
"052 
Elbert County","143",".30%","91.67%","13",".35%","8.33%","156",".30%"
"053 
Emanuel County","204",".43%","94.44%","12",".32%","5.56%","216",".42%"
"054 
Evans County","85",".18%","93.41%","6",".16%","6.59%","91",".18%"
"055 
Fannin County","96",".20%","87.27%","14",".37%","12.73%","110",".21%"
"056 
Fayette County","371",".78%","88.97%","46","1.22%","11.03%","417",".81%"
"057 
Floyd County","890","1.86%","90.36%","95","2.52%","9.64%","985","1.91%"
"058 
Forsyth County","392",".82%","88.29%","52","1.38%","11.71%","444",".86%"
"059 
Franklin County","165",".35%","89.19%","20",".53%","10.81%","185",".36%"
"060 
Fulton County","4,446","9.30%","95.78%","196","5.21%","4.22%","4,642","9.00%"
"061 
Gilmer County","103",".22%","91.15%","10",".27%","8.85%","113",".22%"
"062 
Glascock County","14",".03%","100.00%","","","","14",".03%"
"063 
Glynn County","550","1.15%","94.18%","34",".90%","5.82%","584","1.13%"
"064 
Gordon County","391",".82%","88.06%","53","1.41%","11.94%","444",".86%"
"065 
Grady County","201",".42%","90.13%","22",".58%","9.87%","223",".43%"
"066 
Greene County","120",".25%","88.24%","16",".42%","11.76%","136",".26%"
"067 
Gwinnett County","2,389","5.00%","93.07%","178","4.73%","6.93%","2,567","4.98%"
"068 
Habersham County","128",".27%","87.67%","18",".48%","12.33%","146",".28%"
"069 
Hall County","700","1.46%","91.86%","62","1.65%","8.14%","762","1.48%"
"070 
Hancock County","42",".09%","95.45%","2",".05%","4.55%","44",".09%"
"071 
Haralson County","181",".38%","89.60%","21",".56%","10.40%","202",".39%"
"072 
Harris County","92",".19%","94.85%","5",".13%","5.15%","97",".19%"
"073 
Hart County","166",".35%","92.74%","13",".35%","7.26%","179",".35%"
"074 
Heard County","48",".10%","92.31%","4",".11%","7.69%","52",".10%"
"075 
Henry County","729","1.52%","92.05%","63","1.67%","7.95%","792","1.54%"
