"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","536","1.05%","93.54%","37","1.02%","6.46%","573","1.05%"
"039
Crawford County","18",".04%","100.00%","","","","18",".03%"
"040
Crisp County","270",".53%","96.09%","11",".30%","3.91%","281",".51%"
"041
Dade County","103",".20%","91.96%","9",".25%","8.04%","112",".21%"
"042
Dawson County","113",".22%","90.40%","12",".33%","9.60%","125",".23%"
"043
Decatur County","303",".59%","93.81%","20",".55%","6.19%","323",".59%"
"044
Dekalb County","3,166","6.21%","95.25%","158","4.37%","4.75%","3,324","6.09%"
"045
Dodge County","146",".29%","91.82%","13",".36%","8.18%","159",".29%"
"046
Dooly County","98",".19%","95.15%","5",".14%","4.85%","103",".19%"
"047
Dougherty County","987","1.94%","94.27%","60","1.66%","5.73%","1,047","1.92%"
"048
Douglas County","1,286","2.52%","90.69%","132","3.65%","9.31%","1,418","2.60%"
"049
Early County","100",".20%","97.09%","3",".08%","2.91%","103",".19%"
"050
Echols County","11",".02%","100.00%","","","","11",".02%"
"051
Effingham County","212",".42%","93.39%","15",".42%","6.61%","227",".42%"
"052
Elbert County","131",".26%","92.91%","10",".28%","7.09%","141",".26%"
"053
Emanuel County","176",".35%","93.62%","12",".33%","6.38%","188",".34%"
"054
Evans County","93",".18%","94.90%","5",".14%","5.10%","98",".18%"
"055
Fannin County","93",".18%","89.42%","11",".30%","10.58%","104",".19%"
"056
Fayette County","377",".74%","88.29%","50","1.38%","11.71%","427",".78%"
"057
Floyd County","794","1.56%","88.91%","99","2.74%","11.09%","893","1.64%"
"058
Forsyth County","330",".65%","88.71%","42","1.16%","11.29%","372",".68%"
"059
Franklin County","142",".28%","92.81%","11",".30%","7.19%","153",".28%"
"060
Fulton County","4,944","9.70%","95.80%","217","6.01%","4.20%","5,161","9.46%"
"061
Gilmer County","117",".23%","94.35%","7",".19%","5.65%","124",".23%"
"062
Glascock County","6",".01%","85.71%","1",".03%","14.29%","7",".01%"
"063
Glynn County","468",".92%","95.32%","23",".64%","4.68%","491",".90%"
"064
Gordon County","342",".67%","88.14%","46","1.27%","11.86%","388",".71%"
"065
Grady County","217",".43%","93.94%","14",".39%","6.06%","231",".42%"
"066
Greene County","125",".25%","93.28%","9",".25%","6.72%","134",".25%"
"067
Gwinnett County","2,458","4.82%","92.93%","187","5.18%","7.07%","2,645","4.85%"
"068
Habersham County","102",".20%","98.08%","2",".06%","1.92%","104",".19%"
"069
Hall County","720","1.41%","89.78%","82","2.27%","10.22%","802","1.47%"
"070
Hancock County","36",".07%","100.00%","","","","36",".07%"
"071
Haralson County","112",".22%","92.56%","9",".25%","7.44%","121",".22%"
"072
Harris County","109",".21%","95.61%","5",".14%","4.39%","114",".21%"
"073
Hart County","134",".26%","94.37%","8",".22%","5.63%","142",".26%"
"074
Heard County","48",".09%","90.57%","5",".14%","9.43%","53",".10%"
"075
Henry County","571","1.12%","91.36%","54","1.50%","8.64%","625","1.15%"
