"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","645","1.27%","92.67%","51","1.30%","7.33%","696","1.27%"
"039
Crawford County","26",".05%","96.30%","1",".03%","3.70%","27",".05%"
"040
Crisp County","300",".59%","93.46%","21",".53%","6.54%","321",".58%"
"041
Dade County","107",".21%","94.69%","6",".15%","5.31%","113",".21%"
"042
Dawson County","90",".18%","85.71%","15",".38%","14.29%","105",".19%"
"043
Decatur County","224",".44%","95.73%","10",".25%","4.27%","234",".43%"
"044
Dekalb County","3,048","5.98%","95.31%","150","3.81%","4.69%","3,198","5.83%"
"045
Dodge County","172",".34%","92.47%","14",".36%","7.53%","186",".34%"
"046
Dooly County","105",".21%","91.30%","10",".25%","8.70%","115",".21%"
"047
Dougherty County","887","1.74%","94.56%","51","1.30%","5.44%","938","1.71%"
"048
Douglas County","1,041","2.04%","90.76%","106","2.70%","9.24%","1,147","2.09%"
"049
Early County","86",".17%","96.63%","3",".08%","3.37%","89",".16%"
"050
Echols County","13",".03%","92.86%","1",".03%","7.14%","14",".03%"
"051
Effingham County","245",".48%","92.45%","20",".51%","7.55%","265",".48%"
"052
Elbert County","153",".30%","93.87%","10",".25%","6.13%","163",".30%"
"053
Emanuel County","167",".33%","88.83%","21",".53%","11.17%","188",".34%"
"054
Evans County","79",".16%","95.18%","4",".10%","4.82%","83",".15%"
"055
Fannin County","103",".20%","86.55%","16",".41%","13.45%","119",".22%"
"056
Fayette County","349",".69%","89.72%","40","1.02%","10.28%","389",".71%"
"057
Floyd County","870","1.71%","88.87%","109","2.77%","11.13%","979","1.78%"
"058
Forsyth County","351",".69%","91.17%","34",".86%","8.83%","385",".70%"
"059
Franklin County","172",".34%","89.58%","20",".51%","10.42%","192",".35%"
"060
Fulton County","4,993","9.80%","96.07%","204","5.19%","3.93%","5,197","9.47%"
"061
Gilmer County","100",".20%","93.46%","7",".18%","6.54%","107",".19%"
"062
Glascock County","9",".02%","100.00%","","","","9",".02%"
"063
Glynn County","562","1.10%","95.42%","27",".69%","4.58%","589","1.07%"
"064
Gordon County","372",".73%","87.94%","51","1.30%","12.06%","423",".77%"
"065
Grady County","135",".26%","97.83%","3",".08%","2.17%","138",".25%"
"066
Greene County","126",".25%","94.74%","7",".18%","5.26%","133",".24%"
"067
Gwinnett County","2,747","5.39%","93.34%","196","4.98%","6.66%","2,943","5.36%"
"068
Habersham County","132",".26%","88.59%","17",".43%","11.41%","149",".27%"
"069
Hall County","733","1.44%","91.40%","69","1.75%","8.60%","802","1.46%"
"070
Hancock County","37",".07%","97.37%","1",".03%","2.63%","38",".07%"
"071
Haralson County","104",".20%","88.89%","13",".33%","11.11%","117",".21%"
"072
Harris County","128",".25%","94.12%","8",".20%","5.88%","136",".25%"
"073
Hart County","181",".36%","90.95%","18",".46%","9.05%","199",".36%"
"074
Heard County","44",".09%","89.80%","5",".13%","10.20%","49",".09%"
"075
Henry County","605","1.19%","89.90%","68","1.73%","10.10%","673","1.23%"
