"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","8",".02%","100.00%","","","","8",".01%"
"153
Wheeler County","35",".07%","87.50%","5",".13%","12.50%","40",".07%"
"154
White County","112",".22%","88.19%","15",".40%","11.81%","127",".23%"
"155
Whitfield County","645","1.24%","90.08%","71","1.87%","9.92%","716","1.28%"
"156
Wilcox County","56",".11%","84.85%","10",".26%","15.15%","66",".12%"
"157
Wilkes County","65",".13%","91.55%","6",".16%","8.45%","71",".13%"
"158
Wilkinson County","53",".10%","96.36%","2",".05%","3.64%","55",".10%"
"159
Worth County","115",".22%","94.26%","7",".18%","5.74%","122",".22%"
"Total Rported","51,943","100%","93.2%","3,789","100%","6.8%","55,732","100%"
