"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Pike County","37",".08%","90.24%","4",".11%","9.76%","41",".08%"
"Polk County","206",".43%","91.96%","18",".48%","8.04%","224",".44%"
"Pulaski County","37",".08%","97.37%","1",".03%","2.63%","38",".07%"
"Putnam County","151",".32%","94.97%","8",".21%","5.03%","159",".31%"
"Quitman County","9",".02%","100.00%","","","","9",".02%"
"Rabun County","58",".12%","86.57%","9",".24%","13.43%","67",".13%"
"Randolph County","44",".09%","100.00%","","","","44",".09%"
"Richmond County","1,657","3.49%","93.51%","115","3.05%","6.49%","1,772","3.46%"
"Rockdale County","479","1.01%","91.59%","44","1.17%","8.41%","523","1.02%"
"Schley County","19",".04%","95.00%","1",".03%","5.00%","20",".04%"
"Screven County","105",".22%","94.59%","6",".16%","5.41%","111",".22%"
"Seminole County","68",".14%","93.15%","5",".13%","6.85%","73",".14%"
"Spalding County","480","1.01%","91.60%","44","1.17%","8.40%","524","1.02%"
"Stephens County","120",".25%","94.49%","7",".19%","5.51%","127",".25%"
"Stewart County","28",".06%","90.32%","3",".08%","9.68%","31",".06%"
"Sumter County","197",".41%","92.49%","16",".42%","7.51%","213",".42%"
"Talbot County","25",".05%","92.59%","2",".05%","7.41%","27",".05%"
"Taliaferro County","18",".04%","94.74%","1",".03%","5.26%","19",".04%"
"Tattnall County","205",".43%","89.13%","25",".66%","10.87%","230",".45%"
"Taylor County","54",".11%","94.74%","3",".08%","5.26%","57",".11%"
"Telfair County","99",".21%","91.67%","9",".24%","8.33%","108",".21%"
"Terrell County","58",".12%","93.55%","4",".11%","6.45%","62",".12%"
"Thomas County","223",".47%","96.12%","9",".24%","3.88%","232",".45%"
"Tift County","328",".69%","96.19%","13",".34%","3.81%","341",".67%"
"Toombs County","275",".58%","94.83%","15",".40%","5.17%","290",".57%"
"Towns County","62",".13%","78.48%","17",".45%","21.52%","79",".15%"
"Treutlen County","60",".13%","86.96%","9",".24%","13.04%","69",".13%"
"Troup County","609","1.28%","91.58%","56","1.49%","8.42%","665","1.30%"
"Turner County","59",".12%","96.72%","2",".05%","3.28%","61",".12%"
"Twiggs County","39",".08%","95.12%","2",".05%","4.88%","41",".08%"
"Union County","85",".18%","86.73%","13",".34%","13.27%","98",".19%"
"Upson County","182",".38%","90.10%","20",".53%","9.90%","202",".39%"
"Walker County","447",".94%","91.22%","43","1.14%","8.78%","490",".96%"
"Walton County","648","1.36%","91.40%","61","1.62%","8.60%","709","1.38%"
"Ware County","259",".55%","90.24%","28",".74%","9.76%","287",".56%"
"Warren County","30",".06%","93.75%","2",".05%","6.25%","32",".06%"
"Washington County","179",".38%","94.21%","11",".29%","5.79%","190",".37%"
"Wayne County","189",".40%","88.32%","25",".66%","11.68%","214",".42%"
