"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"000
Unknown","251",".47%","93.66%","17",".44%","6.34%","268",".47%"
"001
Appling County","100",".19%","95.24%","5",".13%","4.76%","105",".18%"
"002
Atkinson County","56",".11%","93.33%","4",".10%","6.67%","60",".11%"
"003
Bacon County","69",".13%","94.52%","4",".10%","5.48%","73",".13%"
"004
Baker County","14",".03%","100.00%","","","","14",".02%"
"005
Baldwin County","340",".64%","94.97%","18",".46%","5.03%","358",".63%"
"006
Banks County","66",".12%","97.06%","2",".05%","2.94%","68",".12%"
"007
Barrow County","261",".49%","91.58%","24",".62%","8.42%","285",".50%"
"008
Bartow County","693","1.31%","88.28%","92","2.36%","11.72%","785","1.38%"
"009
Ben Hill County","223",".42%","93.70%","15",".39%","6.30%","238",".42%"
"010
Berrien County","99",".19%","92.52%","8",".21%","7.48%","107",".19%"
"011
Bibb County","1,134","2.14%","94.97%","60","1.54%","5.03%","1,194","2.10%"
"012
Bleckley County","76",".14%","90.48%","8",".21%","9.52%","84",".15%"
"013
Brantley County","61",".11%","89.71%","7",".18%","10.29%","68",".12%"
"014
Brooks County","68",".13%","95.77%","3",".08%","4.23%","71",".12%"
"015
Bryan County","126",".24%","99.21%","1",".03%",".79%","127",".22%"
"016
Bulloch County","535","1.01%","91.92%","47","1.21%","8.08%","582","1.02%"
"017
Burke County","231",".44%","96.65%","8",".21%","3.35%","239",".42%"
"018
Butts County","169",".32%","96.57%","6",".15%","3.43%","175",".31%"
"019
Calhoun County","41",".08%","85.42%","7",".18%","14.58%","48",".08%"
"020
Camden County","158",".30%","92.40%","13",".33%","7.60%","171",".30%"
"021
Candler County","127",".24%","90.71%","13",".33%","9.29%","140",".25%"
"022
Carroll County","608","1.15%","90.34%","65","1.67%","9.66%","673","1.18%"
"023
Catoosa County","358",".67%","88.83%","45","1.16%","11.17%","403",".71%"
"024
Charlton County","52",".10%","92.86%","4",".10%","7.14%","56",".10%"
"025
Chatham County","2,345","4.42%","95.91%","100","2.57%","4.09%","2,445","4.29%"
"026
Chattahoochee County","34",".06%","91.89%","3",".08%","8.11%","37",".06%"
"027
Chattooga County","252",".47%","87.20%","37",".95%","12.80%","289",".51%"
"028
Cherokee County","549","1.03%","93.53%","38",".98%","6.47%","587","1.03%"
"029
Clarke County","478",".90%","95.79%","21",".54%","4.21%","499",".88%"
"030
Clay County","35",".07%","92.11%","3",".08%","7.89%","38",".07%"
"031
Clayton County","1,604","3.02%","93.86%","105","2.70%","6.14%","1,709","3.00%"
"032
Clinch County","64",".12%","96.97%","2",".05%","3.03%","66",".12%"
"033
Cobb County","2,674","5.04%","90.89%","268","6.88%","9.11%","2,942","5.17%"
"034
Coffee County","263",".50%","93.59%","18",".46%","6.41%","281",".49%"
"035
Colquitt County","275",".52%","94.18%","17",".44%","5.82%","292",".51%"
"036
Columbia County","365",".69%","91.02%","36",".92%","8.98%","401",".70%"
"037
Cook County","143",".27%","95.33%","7",".18%","4.67%","150",".26%"
