"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","6",".01%","75.00%","2",".07%","25.00%","8",".02%"
"153
Wheeler County","20",".05%","90.91%","2",".07%","9.09%","22",".05%"
"154
White County","72",".17%","93.51%","5",".17%","6.49%","77",".17%"
"155
Whitfield County","670","1.54%","88.62%","86","2.94%","11.38%","756","1.63%"
"156
Wilcox County","51",".12%","94.44%","3",".10%","5.56%","54",".12%"
"157
Wilkes County","61",".14%","96.83%","2",".07%","3.17%","63",".14%"
"158
Wilkinson County","41",".09%","97.62%","1",".03%","2.38%","42",".09%"
"159
Worth County","123",".28%","89.78%","14",".48%","10.22%","137",".30%"
"Total Rported","43,380","100%","93.69%","2,922","100%","6.31%","46,302","100%"
