"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Appling","87",".18%","93.55%","6",".18%","6.45%","93",".18%"
"Atkinson","39",".08%","95.12%","2",".06%","4.88%","41",".08%"
"Bacon","55",".12%","96.49%","2",".06%","3.51%","57",".11%"
"Baker","13",".03%","92.86%","1",".03%","7.14%","14",".03%"
"Baldwin","345",".73%","94.78%","19",".56%","5.22%","364",".72%"
"Banks","79",".17%","90.80%","8",".24%","9.20%","87",".17%"
"Barrow","256",".54%","95.52%","12",".35%","4.48%","268",".53%"
"Bartow","544","1.15%","89.47%","64","1.88%","10.53%","608","1.20%"
"Ben Hill","248",".52%","93.58%","17",".50%","6.42%","265",".52%"
"Berrien","77",".16%","85.56%","13",".38%","14.44%","90",".18%"
"Bibb","1,008","2.13%","95.09%","52","1.53%","4.91%","1,060","2.09%"
"Bleckley","98",".21%","86.73%","15",".44%","13.27%","113",".22%"
"Brantley","55",".12%","94.83%","3",".09%","5.17%","58",".11%"
"Brooks","67",".14%","100.00%","","","","67",".13%"
"Bryan","97",".21%","92.38%","8",".24%","7.62%","105",".21%"
"Bulloch","470",".99%","94.95%","25",".74%","5.05%","495",".98%"
"Burke","203",".43%","94.86%","11",".32%","5.14%","214",".42%"
"Butts","151",".32%","95.57%","7",".21%","4.43%","158",".31%"
"Calhoun","39",".08%","90.70%","4",".12%","9.30%","43",".08%"
"Camden","136",".29%","94.44%","8",".24%","5.56%","144",".28%"
"Candler","84",".18%","94.38%","5",".15%","5.62%","89",".18%"
"Carroll","536","1.13%","90.54%","56","1.65%","9.46%","592","1.17%"
"Catoosa","259",".55%","91.52%","24",".71%","8.48%","283",".56%"
"Charlton","55",".12%","93.22%","4",".12%","6.78%","59",".12%"
"Chatham","2,319","4.90%","94.73%","129","3.80%","5.27%","2,448","4.83%"
"Chattahoochee","22",".05%","95.65%","1",".03%","4.35%","23",".05%"
"Chattooga","227",".48%","88.67%","29",".85%","11.33%","256",".50%"
"Cherokee","557","1.18%","91.31%","53","1.56%","8.69%","610","1.20%"
"Clarke","461",".97%","94.66%","26",".77%","5.34%","487",".96%"
"Clay","24",".05%","92.31%","2",".06%","7.69%","26",".05%"
"Clayton","1,531","3.24%","92.68%","121","3.56%","7.32%","1,652","3.26%"
"Clinch","46",".10%","92.00%","4",".12%","8.00%","50",".10%"
"Cobb","2,476","5.23%","91.13%","241","7.09%","8.87%","2,717","5.36%"
"Coffee","216",".46%","90.76%","22",".65%","9.24%","238",".47%"
"Colquitt","303",".64%","95.58%","14",".41%","4.42%","317",".63%"
"Columbia","298",".63%","93.71%","20",".59%","6.29%","318",".63%"
"Cook","133",".28%","93.01%","10",".29%","6.99%","143",".28%"
"Coweta","510","1.08%","92.90%","39","1.15%","7.10%","549","1.08%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Crawford","18",".04%","81.82%","4",".12%","18.18%","22",".04%"
"Crisp","270",".57%","93.75%","18",".53%","6.25%","288",".57%"
"Dade","132",".28%","92.31%","11",".32%","7.69%","143",".28%"
"Dawson","90",".19%","92.78%","7",".21%","7.22%","97",".19%"
"Decatur","293",".62%","93.31%","21",".62%","6.69%","314",".62%"
"Dekalb","2,984","6.31%","94.82%","163","4.80%","5.18%","3,147","6.21%"
"Dodge","176",".37%","95.14%","9",".26%","4.86%","185",".36%"
"Dooly","104",".22%","97.20%","3",".09%","2.80%","107",".21%"
"Dougherty","966","2.04%","93.79%","64","1.88%","6.21%","1,030","2.03%"
"Douglas","1,082","2.29%","90.92%","108","3.18%","9.08%","1,190","2.35%"
"Early","78",".16%","98.73%","1",".03%","1.27%","79",".16%"
"Echols","11",".02%","100.00%","","","","11",".02%"
"Effingham","167",".35%","90.27%","18",".53%","9.73%","185",".36%"
"Elbert","154",".33%","93.90%","10",".29%","6.10%","164",".32%"
"Emanuel","151",".32%","95.57%","7",".21%","4.43%","158",".31%"
"Evans","83",".18%","96.51%","3",".09%","3.49%","86",".17%"
"Fannin","116",".25%","93.55%","8",".24%","6.45%","124",".24%"
"Fayette","258",".55%","89.90%","29",".85%","10.10%","287",".57%"
"Floyd","778","1.64%","89.22%","94","2.77%","10.78%","872","1.72%"
"Forsyth","261",".55%","90.63%","27",".79%","9.38%","288",".57%"
"Franklin","126",".27%","90.00%","14",".41%","10.00%","140",".28%"
"Fulton","4,144","8.76%","96.33%","158","4.65%","3.67%","4,302","8.48%"
"Gilmer","120",".25%","88.24%","16",".47%","11.76%","136",".27%"
"Glascock","5",".01%","83.33%","1",".03%","16.67%","6",".01%"
"Glynn","458",".97%","96.02%","19",".56%","3.98%","477",".94%"
"Gordon","296",".63%","89.43%","35","1.03%","10.57%","331",".65%"
"Grady","224",".47%","92.95%","17",".50%","7.05%","241",".48%"
"Greene","99",".21%","93.40%","7",".21%","6.60%","106",".21%"
"Gwinnett","1,552","3.28%","92.16%","132","3.89%","7.84%","1,684","3.32%"
"Habersham","113",".24%","91.13%","11",".32%","8.87%","124",".24%"
"Hall","740","1.56%","92.04%","64","1.88%","7.96%","804","1.59%"
"Hancock","39",".08%","95.12%","2",".06%","4.88%","41",".08%"
"Haralson","81",".17%","94.19%","5",".15%","5.81%","86",".17%"
"Harris","96",".20%","96.00%","4",".12%","4.00%","100",".20%"
"Hart","110",".23%","95.65%","5",".15%","4.35%","115",".23%"
"Heard","54",".11%","88.52%","7",".21%","11.48%","61",".12%"
"Henry","507","1.07%","91.02%","50","1.47%","8.98%","557","1.10%"
"Houston","588","1.24%","92.16%","50","1.47%","7.84%","638","1.26%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Irwin","64",".14%","96.97%","2",".06%","3.03%","66",".13%"
"Jackson","196",".41%","91.59%","18",".53%","8.41%","214",".42%"
"Jasper","63",".13%","95.45%","3",".09%","4.55%","66",".13%"
"Jeff Davis","79",".17%","96.34%","3",".09%","3.66%","82",".16%"
"Jefferson","93",".20%","96.88%","3",".09%","3.13%","96",".19%"
"Jenkins","73",".15%","93.59%","5",".15%","6.41%","78",".15%"
"Johnson","60",".13%","96.77%","2",".06%","3.23%","62",".12%"
"Jones","151",".32%","92.07%","13",".38%","7.93%","164",".32%"
"Lamar","80",".17%","91.95%","7",".21%","8.05%","87",".17%"
"Lanier","40",".08%","88.89%","5",".15%","11.11%","45",".09%"
"Laurens","274",".58%","91.95%","24",".71%","8.05%","298",".59%"
"Lee","72",".15%","96.00%","3",".09%","4.00%","75",".15%"
"Liberty","251",".53%","95.08%","13",".38%","4.92%","264",".52%"
"Lincoln","42",".09%","100.00%","","","","42",".08%"
"Long","92",".19%","96.84%","3",".09%","3.16%","95",".19%"
"Lowndes","586","1.24%","95.44%","28",".82%","4.56%","614","1.21%"
"Lumpkin","87",".18%","95.60%","4",".12%","4.40%","91",".18%"
"Macon","68",".14%","94.44%","4",".12%","5.56%","72",".14%"
"Madison","140",".30%","93.33%","10",".29%","6.67%","150",".30%"
"Marion","51",".11%","94.44%","3",".09%","5.56%","54",".11%"
"Mcduffie","189",".40%","94.97%","10",".29%","5.03%","199",".39%"
"Mcintosh","70",".15%","97.22%","2",".06%","2.78%","72",".14%"
"Meriwether","200",".42%","94.79%","11",".32%","5.21%","211",".42%"
"Miller","34",".07%","97.14%","1",".03%","2.86%","35",".07%"
"Mitchell","177",".37%","90.31%","19",".56%","9.69%","196",".39%"
"Monroe","181",".38%","89.16%","22",".65%","10.84%","203",".40%"
"Montgomery","46",".10%","93.88%","3",".09%","6.12%","49",".10%"
"Morgan","91",".19%","92.86%","7",".21%","7.14%","98",".19%"
"Murray","247",".52%","93.21%","18",".53%","6.79%","265",".52%"
"Muscogee","1,728","3.65%","93.25%","125","3.68%","6.75%","1,853","3.65%"
"Newton","505","1.07%","92.66%","40","1.18%","7.34%","545","1.07%"
"Oconee","56",".12%","94.92%","3",".09%","5.08%","59",".12%"
"Oglethorpe","57",".12%","95.00%","3",".09%","5.00%","60",".12%"
"Paulding","212",".45%","93.39%","15",".44%","6.61%","227",".45%"
"Peach","97",".21%","98.98%","1",".03%","1.02%","98",".19%"
"Pickens","81",".17%","94.19%","5",".15%","5.81%","86",".17%"
"Pierce","51",".11%","96.23%","2",".06%","3.77%","53",".10%"
"Pike","39",".08%","92.86%","3",".09%","7.14%","42",".08%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Polk","139",".29%","95.21%","7",".21%","4.79%","146",".29%"
"Pulaski","76",".16%","87.36%","11",".32%","12.64%","87",".17%"
"Putnam","123",".26%","96.09%","5",".15%","3.91%","128",".25%"
"Quitman","14",".03%","93.33%","1",".03%","6.67%","15",".03%"
"Rabun","69",".15%","90.79%","7",".21%","9.21%","76",".15%"
"Randolph","52",".11%","100.00%","","","","52",".10%"
"Richmond","1,834","3.88%","94.49%","107","3.15%","5.51%","1,941","3.83%"
"Rockdale","408",".86%","93.15%","30",".88%","6.85%","438",".86%"
"Schley","21",".04%","100.00%","","","","21",".04%"
"Screven","134",".28%","95.04%","7",".21%","4.96%","141",".28%"
"Seminole","63",".13%","90.00%","7",".21%","10.00%","70",".14%"
"Spalding","568","1.20%","91.76%","51","1.50%","8.24%","619","1.22%"
"Stephens","174",".37%","89.69%","20",".59%","10.31%","194",".38%"
"Stewart","29",".06%","90.63%","3",".09%","9.38%","32",".06%"
"Sumter","234",".49%","94.35%","14",".41%","5.65%","248",".49%"
"Talbot","42",".09%","91.30%","4",".12%","8.70%","46",".09%"
"Taliaferro","15",".03%","88.24%","2",".06%","11.76%","17",".03%"
"Tattnall","169",".36%","96.02%","7",".21%","3.98%","176",".35%"
"Taylor","76",".16%","95.00%","4",".12%","5.00%","80",".16%"
"Telfair","145",".31%","90.06%","16",".47%","9.94%","161",".32%"
"Terrell","75",".16%","97.40%","2",".06%","2.60%","77",".15%"
"Thomas","306",".65%","94.15%","19",".56%","5.85%","325",".64%"
"Tift","326",".69%","95.60%","15",".44%","4.40%","341",".67%"
"Toombs","248",".52%","93.23%","18",".53%","6.77%","266",".52%"
"Towns","29",".06%","85.29%","5",".15%","14.71%","34",".07%"
"Treutlen","65",".14%","95.59%","3",".09%","4.41%","68",".13%"
"Troup","670","1.42%","92.29%","56","1.65%","7.71%","726","1.43%"
"Turner","76",".16%","95.00%","4",".12%","5.00%","80",".16%"
