"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","13",".03%","100.00%","","","","13",".03%"
"153
Wheeler County","29",".06%","85.29%","5",".14%","14.71%","34",".07%"
"154
White County","87",".18%","92.55%","7",".19%","7.45%","94",".19%"
"155
Whitfield County","815","1.73%","85.97%","133","3.59%","14.03%","948","1.87%"
"156
Wilcox County","65",".14%","89.04%","8",".22%","10.96%","73",".14%"
"157
Wilkes County","67",".14%","97.10%","2",".05%","2.90%","69",".14%"
"158
Wilkinson County","40",".08%","95.24%","2",".05%","4.76%","42",".08%"
"159
Worth County","135",".29%","91.84%","12",".32%","8.16%","147",".29%"
"Total Rported","47,078","100%","92.71%","3,701","100%","7.29%","50,779","100%"
