"County of Conviction","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"054   Evans County","83","0.17%","92.22%","7","0.17%","7.78%","90","0.17%"
"055   Fannin County","108","0.22%","85.04%","19","0.47%","14.96%","127","0.24%"
"056   Fayette County","372","0.75%","89.42%","44","1.08%","10.58%","416","0.78%"
"057   Floyd County","939","1.9%","91.08%","92","2.25%","8.92%","1,031","1.93%"
"058   Forsyth County","404","0.82%","87.64%","57","1.4%","12.36%","461","0.86%"
"059   Franklin County","174","0.35%","90.63%","18","0.44%","9.38%","192","0.36%"
"060   Fulton County","4,761","9.65%","94.92%","255","6.25%","5.08%","5,016","9.39%"
"061   Gilmer County","118","0.24%","92.19%","10","0.24%","7.81%","128","0.24%"
"062   Glascock County","12","0.02%","100.0%","","","","12","0.02%"
"063   Glynn County","548","1.11%","94.32%","33","0.81%","5.68%","581","1.09%"
"064   Gordon County","346","0.7%","88.49%","45","1.1%","11.51%","391","0.73%"
"065   Grady County","214","0.43%","89.92%","24","0.59%","10.08%","238","0.45%"
"066   Greene County","122","0.25%","90.37%","13","0.32%","9.63%","135","0.25%"
"067   Gwinnett County","2,445","4.95%","93.14%","180","4.41%","6.86%","2,625","4.91%"
"068   Habersham County","127","0.26%","87.59%","18","0.44%","12.41%","145","0.27%"
"069   Hall County","758","1.54%","91.11%","74","1.81%","8.89%","832","1.56%"
"070   Hancock County","46","0.09%","92.0%","4","0.1%","8.0%","50","0.09%"
"071   Haralson County","172","0.35%","89.58%","20","0.49%","10.42%","192","0.36%"
"072   Harris County","105","0.21%","92.92%","8","0.2%","7.08%","113","0.21%"
"073   Hart County","153","0.31%","93.87%","10","0.24%","6.13%","163","0.31%"
"074   Heard County","53","0.11%","91.38%","5","0.12%","8.62%","58","0.11%"
"075   Henry County","690","1.4%","89.38%","82","2.01%","10.62%","772","1.44%"
"076   Houston County","941","1.91%","91.98%","82","2.01%","8.02%","1,023","1.91%"
"077   Irwin County","71","0.14%","91.03%","7","0.17%","8.97%","78","0.15%"
"078   Jackson County","272","0.55%","90.37%","29","0.71%","9.63%","301","0.56%"
"079   Jasper County","58","0.12%","95.08%","3","0.07%","4.92%","61","0.11%"
"080   Jeff Davis County","94","0.19%","91.26%","9","0.22%","8.74%","103","0.19%"
