"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"39
Crawford","20",".04%","86.96%","3",".08%","13.04%","23",".04%"
"40
Crisp","277",".56%","94.86%","15",".41%","5.14%","292",".55%"
"41
Dade","132",".27%","96.35%","5",".14%","3.65%","137",".26%"
"42
Dawson","98",".20%","90.74%","10",".27%","9.26%","108",".20%"
"43
Decatur","328",".66%","91.36%","31",".84%","8.64%","359",".67%"
"44
Dekalb","2,898","5.85%","94.86%","157","4.26%","5.14%","3,055","5.74%"
"45
Dodge","172",".35%","93.48%","12",".33%","6.52%","184",".35%"
"46
Dooly","118",".24%","95.16%","6",".16%","4.84%","124",".23%"
"47
Dougherty","947","1.91%","93.95%","61","1.65%","6.05%","1,008","1.89%"
"48
Douglas","1,091","2.20%","91.22%","105","2.85%","8.78%","1,196","2.25%"
"49
Early","79",".16%","98.75%","1",".03%","1.25%","80",".15%"
"50
Echols","8",".02%","100.00%","","","","8",".02%"
"51
Effingham","152",".31%","95.00%","8",".22%","5.00%","160",".30%"
"52
Elbert","144",".29%","97.30%","4",".11%","2.70%","148",".28%"
"53
Emanuel","166",".33%","95.95%","7",".19%","4.05%","173",".32%"
"54
Evans","91",".18%","98.91%","1",".03%","1.09%","92",".17%"
"55
Fannin","100",".20%","90.91%","10",".27%","9.09%","110",".21%"
"56
Fayette","383",".77%","90.54%","40","1.08%","9.46%","423",".79%"
"57
Floyd","850","1.71%","88.73%","108","2.93%","11.27%","958","1.80%"
"58
Forsyth","276",".56%","86.25%","44","1.19%","13.75%","320",".60%"
"59
Franklin","153",".31%","93.29%","11",".30%","6.71%","164",".31%"
"60
Fulton","4,445","8.97%","96.38%","167","4.53%","3.62%","4,612","8.66%"
"61
Gilmer","117",".24%","92.86%","9",".24%","7.14%","126",".24%"
"62
Glascock","10",".02%","83.33%","2",".05%","16.67%","12",".02%"
"63
Glynn","414",".84%","94.74%","23",".62%","5.26%","437",".82%"
"64
Gordon","266",".54%","89.86%","30",".81%","10.14%","296",".56%"
"65
Grady","232",".47%","95.08%","12",".33%","4.92%","244",".46%"
"66
Greene","149",".30%","96.13%","6",".16%","3.87%","155",".29%"
"67
Gwinnett","1,909","3.85%","92.81%","148","4.01%","7.19%","2,057","3.86%"
"68
Habersham","114",".23%","93.44%","8",".22%","6.56%","122",".23%"
"69
Hall","731","1.47%","91.83%","65","1.76%","8.17%","796","1.49%"
"70
Hancock","28",".06%","96.55%","1",".03%","3.45%","29",".05%"
"71
Haralson","88",".18%","96.70%","3",".08%","3.30%","91",".17%"
"72
Harris","117",".24%","95.90%","5",".14%","4.10%","122",".23%"
"73
Hart","131",".26%","94.93%","7",".19%","5.07%","138",".26%"
"74
Heard","61",".12%","84.72%","11",".30%","15.28%","72",".14%"
"75
Henry","545","1.10%","90.08%","60","1.63%","9.92%","605","1.14%"
"76
Houston","622","1.25%","92.56%","50","1.36%","7.44%","672","1.26%"
