"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Appling","87",".18%","95.60%","4",".12%","4.40%","91",".18%"
"Atkinson","38",".08%","92.68%","3",".09%","7.32%","41",".08%"
"Bacon","52",".11%","100.00%","","","","52",".10%"
"Baker","14",".03%","93.33%","1",".03%","6.67%","15",".03%"
"Baldwin
1 2 3 4 5 6 7 8 9 1","349",".74%","94.58%","20",".59%","5.42%","369",".73%"
"Banks","74",".16%","91.36%","7",".21%","8.64%","81",".16%"
"Barrow","241",".51%","95.26%","12",".35%","4.74%","253",".50%"
"Bartow","520","1.10%","88.29%","69","2.02%","11.71%","589","1.16%"
"Ben Hill","234",".49%","94.35%","14",".41%","5.65%","248",".49%"
"Berrien","76",".16%","87.36%","11",".32%","12.64%","87",".17%"
"Bibb","999","2.11%","94.69%","56","1.64%","5.31%","1,055","2.08%"
"Bleckley","104",".22%","92.04%","9",".26%","7.96%","113",".22%"
"Brantley","52",".11%","94.55%","3",".09%","5.45%","55",".11%"
"Brooks","70",".15%","100.00%","","","","70",".14%"
"Bryan","104",".22%","88.89%","13",".38%","11.11%","117",".23%"
"Bulloch","451",".95%","94.35%","27",".79%","5.65%","478",".94%"
"Burke","200",".42%","95.69%","9",".26%","4.31%","209",".41%"
"Butts","138",".29%","95.17%","7",".21%","4.83%","145",".29%"
"Calhoun","32",".07%","88.89%","4",".12%","11.11%","36",".07%"
"Camden","126",".27%","94.74%","7",".21%","5.26%","133",".26%"
"Candler","81",".17%","96.43%","3",".09%","3.57%","84",".17%"
"Carroll","521","1.10%","91.40%","49","1.44%","8.60%","570","1.12%"
"Catoosa","250",".53%","91.58%","23",".67%","8.42%","273",".54%"
"Charlton","58",".12%","93.55%","4",".12%","6.45%","62",".12%"
"Chatham","2,291","4.83%","93.93%","148","4.34%","6.07%","2,439","4.80%"
"Chattahoochee","29",".06%","96.67%","1",".03%","3.33%","30",".06%"
"Chattooga","203",".43%","88.65%","26",".76%","11.35%","229",".45%"
"Cherokee","533","1.12%","91.74%","48","1.41%","8.26%","581","1.14%"
"Clarke","480","1.01%","93.39%","34","1.00%","6.61%","514","1.01%"
"Clay","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"Clayton","1,557","3.29%","92.46%","127","3.72%","7.54%","1,684","3.32%"
"Clinch","47",".10%","92.16%","4",".12%","7.84%","51",".10%"
"Cobb","2,549","5.38%","91.30%","243","7.12%","8.70%","2,792","5.50%"
"Coffee","223",".47%","91.77%","20",".59%","8.23%","243",".48%"
"Colquitt","293",".62%","96.70%","10",".29%","3.30%","303",".60%"
"Columbia","276",".58%","92.31%","23",".67%","7.69%","299",".59%"
"Cook","134",".28%","94.37%","8",".23%","5.63%","142",".28%"
"Coweta","503","1.06%","94.91%","27",".79%","5.09%","530","1.04%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Crawford","18",".04%","85.71%","3",".09%","14.29%","21",".04%"
"Crisp","282",".60%","90.68%","29",".85%","9.32%","311",".61%"
"Dade","131",".28%","92.25%","11",".32%","7.75%","142",".28%"
"Dawson","89",".19%","91.75%","8",".23%","8.25%","97",".19%"
"Decatur","260",".55%","93.53%","18",".53%","6.47%","278",".55%"
"Dekalb","3,042","6.42%","95.30%","150","4.39%","4.70%","3,192","6.28%"
"Dodge","163",".34%","93.68%","11",".32%","6.32%","174",".34%"
"Dooly","102",".22%","95.33%","5",".15%","4.67%","107",".21%"
"Dougherty","954","2.01%","93.99%","61","1.79%","6.01%","1,015","2.00%"
"Douglas","1,044","2.20%","89.77%","119","3.49%","10.23%","1,163","2.29%"
"Early","78",".16%","96.30%","3",".09%","3.70%","81",".16%"
"Echols","12",".03%","100.00%","","","","12",".02%"
"Effingham","158",".33%","89.27%","19",".56%","10.73%","177",".35%"
"Elbert","162",".34%","93.10%","12",".35%","6.90%","174",".34%"
"Emanuel","168",".35%","96.00%","7",".21%","4.00%","175",".34%"
"Evans","78",".16%","92.86%","6",".18%","7.14%","84",".17%"
"Fannin","108",".23%","93.10%","8",".23%","6.90%","116",".23%"
"Fayette","271",".57%","90.94%","27",".79%","9.06%","298",".59%"
"Floyd","775","1.64%","89.39%","92","2.69%","10.61%","867","1.71%"
"Forsyth","242",".51%","89.96%","27",".79%","10.04%","269",".53%"
"Franklin","130",".27%","90.28%","14",".41%","9.72%","144",".28%"
"Fulton","4,367","9.22%","96.23%","171","5.01%","3.77%","4,538","8.93%"
"Gilmer","131",".28%","88.51%","17",".50%","11.49%","148",".29%"
"Glascock","8",".02%","88.89%","1",".03%","11.11%","9",".02%"
"Glynn","450",".95%","95.74%","20",".59%","4.26%","470",".93%"
"Gordon","286",".60%","88.82%","36","1.05%","11.18%","322",".63%"
"Grady","214",".45%","92.24%","18",".53%","7.76%","232",".46%"
"Greene","94",".20%","96.91%","3",".09%","3.09%","97",".19%"
"Gwinnett","1,484","3.13%","92.63%","118","3.46%","7.37%","1,602","3.15%"
"Habersham","122",".26%","89.71%","14",".41%","10.29%","136",".27%"
"Hall","714","1.51%","92.13%","61","1.79%","7.87%","775","1.53%"
"Hancock","42",".09%","95.45%","2",".06%","4.55%","44",".09%"
"Haralson","78",".16%","95.12%","4",".12%","4.88%","82",".16%"
"Harris","96",".20%","96.00%","4",".12%","4.00%","100",".20%"
"Hart","114",".24%","95.80%","5",".15%","4.20%","119",".23%"
"Heard","57",".12%","89.06%","7",".21%","10.94%","64",".13%"
"Henry","467",".99%","90.68%","48","1.41%","9.32%","515","1.01%"
"Houston","589","1.24%","93.49%","41","1.20%","6.51%","630","1.24%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Irwin","64",".14%","96.97%","2",".06%","3.03%","66",".13%"
"Jackson","213",".45%","92.61%","17",".50%","7.39%","230",".45%"
"Jasper","68",".14%","95.77%","3",".09%","4.23%","71",".14%"
"Jeff Davis","62",".13%","96.88%","2",".06%","3.13%","64",".13%"
"Jefferson","106",".22%","99.07%","1",".03%",".93%","107",".21%"
"Jenkins","71",".15%","93.42%","5",".15%","6.58%","76",".15%"
"Johnson","68",".14%","98.55%","1",".03%","1.45%","69",".14%"
"Jones","141",".30%","90.97%","14",".41%","9.03%","155",".31%"
"Lamar","81",".17%","94.19%","5",".15%","5.81%","86",".17%"
"Lanier","42",".09%","91.30%","4",".12%","8.70%","46",".09%"
"Laurens","287",".61%","92.58%","23",".67%","7.42%","310",".61%"
"Lee","70",".15%","95.89%","3",".09%","4.11%","73",".14%"
"Liberty","233",".49%","95.49%","11",".32%","4.51%","244",".48%"
"Lincoln","42",".09%","100.00%","","","","42",".08%"
"Long","83",".18%","93.26%","6",".18%","6.74%","89",".18%"
"Lowndes","573","1.21%","95.34%","28",".82%","4.66%","601","1.18%"
"Lumpkin","89",".19%","90.82%","9",".26%","9.18%","98",".19%"
"Macon","65",".14%","94.20%","4",".12%","5.80%","69",".14%"
"Madison","145",".31%","93.55%","10",".29%","6.45%","155",".31%"
"Marion","52",".11%","94.55%","3",".09%","5.45%","55",".11%"
"Mcduffie","211",".45%","95.05%","11",".32%","4.95%","222",".44%"
"Mcintosh","66",".14%","97.06%","2",".06%","2.94%","68",".13%"
"Meriwether","187",".39%","94.44%","11",".32%","5.56%","198",".39%"
"Miller","32",".07%","96.97%","1",".03%","3.03%","33",".06%"
"Mitchell","197",".42%","93.36%","14",".41%","6.64%","211",".42%"
"Monroe","163",".34%","89.07%","20",".59%","10.93%","183",".36%"
"Montgomery","46",".10%","95.83%","2",".06%","4.17%","48",".09%"
"Morgan","85",".18%","90.43%","9",".26%","9.57%","94",".19%"
"Murray","233",".49%","92.09%","20",".59%","7.91%","253",".50%"
"Muscogee","1,682","3.55%","93.24%","122","3.57%","6.76%","1,804","3.55%"
"Newton","486","1.03%","91.53%","45","1.32%","8.47%","531","1.05%"
"Oconee","60",".13%","96.77%","2",".06%","3.23%","62",".12%"
"Oglethorpe","62",".13%","93.94%","4",".12%","6.06%","66",".13%"
"Paulding","190",".40%","94.06%","12",".35%","5.94%","202",".40%"
"Peach","86",".18%","97.73%","2",".06%","2.27%","88",".17%"
"Pickens","85",".18%","95.51%","4",".12%","4.49%","89",".18%"
"Pierce","50",".11%","96.15%","2",".06%","3.85%","52",".10%"
"Pike","47",".10%","92.16%","4",".12%","7.84%","51",".10%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Polk","146",".31%","95.42%","7",".21%","4.58%","153",".30%"
"Pulaski","85",".18%","87.63%","12",".35%","12.37%","97",".19%"
"Putnam","116",".24%","97.48%","3",".09%","2.52%","119",".23%"
"Quitman","16",".03%","100.00%","","","","16",".03%"
"Rabun","77",".16%","93.90%","5",".15%","6.10%","82",".16%"
"Randolph","66",".14%","100.00%","","","","66",".13%"
"Richmond","1,859","3.92%","93.79%","123","3.60%","6.21%","1,982","3.90%"
"Rockdale","403",".85%","93.07%","30",".88%","6.93%","433",".85%"
"Schley","17",".04%","100.00%","","","","17",".03%"
"Screven","139",".29%","95.86%","6",".18%","4.14%","145",".29%"
"Seminole","72",".15%","92.31%","6",".18%","7.69%","78",".15%"
"Spalding","623","1.31%","90.16%","68","1.99%","9.84%","691","1.36%"
"Stephens","163",".34%","92.09%","14",".41%","7.91%","177",".35%"
"Stewart","35",".07%","94.59%","2",".06%","5.41%","37",".07%"
"Sumter","248",".52%","95.02%","13",".38%","4.98%","261",".51%"
"Talbot","40",".08%","90.91%","4",".12%","9.09%","44",".09%"
"Taliaferro","15",".03%","88.24%","2",".06%","11.76%","17",".03%"
"Tattnall","172",".36%","96.09%","7",".21%","3.91%","179",".35%"
"Taylor","79",".17%","95.18%","4",".12%","4.82%","83",".16%"
"Telfair","145",".31%","88.96%","18",".53%","11.04%","163",".32%"
"Terrell","84",".18%","97.67%","2",".06%","2.33%","86",".17%"
"Thomas","329",".69%","96.76%","11",".32%","3.24%","340",".67%"
"Tift","330",".70%","94.56%","19",".56%","5.44%","349",".69%"
"Toombs","263",".56%","93.93%","17",".50%","6.07%","280",".55%"
"Towns","29",".06%","87.88%","4",".12%","12.12%","33",".06%"
"Treutlen","61",".13%","92.42%","5",".15%","7.58%","66",".13%"
"Troup","690","1.46%","91.51%","64","1.87%","8.49%","754","1.48%"
"Turner","76",".16%","95.00%","4",".12%","5.00%","80",".16%"
"Twiggs","44",".09%","91.67%","4",".12%","8.33%","48",".09%"
"Union","46",".10%","95.83%","2",".06%","4.17%","48",".09%"
"Upson","240",".51%","91.60%","22",".64%","8.40%","262",".52%"
"Walker","387",".82%","89.38%","46","1.35%","10.62%","433",".85%"
"Walton","317",".67%","93.51%","22",".64%","6.49%","339",".67%"
"Ware","344",".73%","94.25%","21",".62%","5.75%","365",".72%"
"Warren","44",".09%","95.65%","2",".06%","4.35%","46",".09%"
"Washington","116",".24%","95.08%","6",".18%","4.92%","122",".24%"
"Wayne","165",".35%","90.66%","17",".50%","9.34%","182",".36%"
"Webster","14",".03%","93.33%","1",".03%","6.67%","15",".03%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Wheeler","30",".06%","93.75%","2",".06%","6.25%","32",".06%"
"White","77",".16%","92.77%","6",".18%","7.23%","83",".16%"
"Whitfield","702","1.48%","89.66%","81","2.37%","10.34%","783","1.54%"
"Wilcox","76",".16%","96.20%","3",".09%","3.80%","79",".16%"
"Wilkes","82",".17%","92.13%","7",".21%","7.87%","89",".18%"
"Wilkinson","59",".12%","96.72%","2",".06%","3.28%","61",".12%"
"Worth","147",".31%","95.45%","7",".21%","4.55%","154",".30%"
"Total Rported","47,385","100%","93.28%","3,414","100%","6.72%","50,799","100%"
