"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"000
Unknown","198",".38%","93.84%","13",".32%","6.16%","211",".38%"
"001
Appling County","121",".23%","95.28%","6",".15%","4.72%","127",".23%"
"002
Atkinson County","55",".11%","87.30%","8",".20%","12.70%","63",".11%"
"003
Bacon County","93",".18%","92.08%","8",".20%","7.92%","101",".18%"
"004
Baker County","11",".02%","84.62%","2",".05%","15.38%","13",".02%"
"005
Baldwin County","311",".60%","92.56%","25",".62%","7.44%","336",".60%"
"006
Banks County","76",".15%","93.83%","5",".12%","6.17%","81",".15%"
"007
Barrow County","355",".69%","90.56%","37",".91%","9.44%","392",".70%"
"008
Bartow County","632","1.22%","87.17%","93","2.29%","12.83%","725","1.30%"
"009
Ben Hill County","255",".49%","94.80%","14",".34%","5.20%","269",".48%"
"010
Berrien County","101",".20%","95.28%","5",".12%","4.72%","106",".19%"
"011
Bibb County","1,182","2.28%","93.96%","76","1.87%","6.04%","1,258","2.25%"
"012
Bleckley County","70",".14%","93.33%","5",".12%","6.67%","75",".13%"
"013
Brantley County","97",".19%","86.61%","15",".37%","13.39%","112",".20%"
"014
Brooks County","52",".10%","96.30%","2",".05%","3.70%","54",".10%"
"015
Bryan County","57",".11%","98.28%","1",".02%","1.72%","58",".10%"
"016
Bulloch County","542","1.05%","92.33%","45","1.11%","7.67%","587","1.05%"
"017
Burke County","228",".44%","97.02%","7",".17%","2.98%","235",".42%"
"018
Butts County","123",".24%","91.11%","12",".30%","8.89%","135",".24%"
"019
Calhoun County","29",".06%","87.88%","4",".10%","12.12%","33",".06%"
"020
Camden County","196",".38%","92.45%","16",".39%","7.55%","212",".38%"
"021
Candler County","113",".22%","94.17%","7",".17%","5.83%","120",".21%"
"022
Carroll County","645","1.25%","91.10%","63","1.55%","8.90%","708","1.27%"
"023
Catoosa County","351",".68%","89.77%","40",".98%","10.23%","391",".70%"
"024
Charlton County","74",".14%","91.36%","7",".17%","8.64%","81",".15%"
"025
Chatham County","1,981","3.83%","95.19%","100","2.46%","4.81%","2,081","3.73%"
"026
Chattahoochee County","24",".05%","100.00%","","","","24",".04%"
"027
Chattooga County","239",".46%","87.87%","33",".81%","12.13%","272",".49%"
"028
Cherokee County","566","1.09%","90.56%","59","1.45%","9.44%","625","1.12%"
"029
Clarke County","577","1.11%","92.62%","46","1.13%","7.38%","623","1.12%"
"030
Clay County","21",".04%","84.00%","4",".10%","16.00%","25",".04%"
"031
Clayton County","1,382","2.67%","93.63%","94","2.31%","6.37%","1,476","2.64%"
"032
Clinch County","45",".09%","91.84%","4",".10%","8.16%","49",".09%"
"033
Cobb County","2,651","5.12%","91.92%","233","5.74%","8.08%","2,884","5.17%"
"034
Coffee County","223",".43%","94.49%","13",".32%","5.51%","236",".42%"
"035
Colquitt County","235",".45%","96.71%","8",".20%","3.29%","243",".44%"
"036
Columbia County","433",".84%","90.21%","47","1.16%","9.79%","480",".86%"
"037
Cook County","114",".22%","92.68%","9",".22%","7.32%","123",".22%"
