"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Pike County","41",".08%","91.11%","4",".11%","8.89%","45",".08%"
"Polk County","171",".34%","95.00%","9",".24%","5.00%","180",".33%"
"Pulaski County","45",".09%","93.75%","3",".08%","6.25%","48",".09%"
"Putnam County","156",".31%","93.41%","11",".29%","6.59%","167",".31%"
"Quitman County","13",".03%","100.00%","","","","13",".02%"
"Rabun County","55",".11%","87.30%","8",".21%","12.70%","63",".12%"
"Randolph County","68",".14%","97.14%","2",".05%","2.86%","70",".13%"
"Richmond County","2,001","3.97%","94.30%","121","3.23%","5.70%","2,122","3.92%"
"Rockdale County","471",".94%","91.99%","41","1.09%","8.01%","512",".95%"
"Schley County","14",".03%","100.00%","","","","14",".03%"
"Screven County","135",".27%","95.74%","6",".16%","4.26%","141",".26%"
"Seminole County","77",".15%","83.70%","15",".40%","16.30%","92",".17%"
"Spalding County","515","1.02%","91.80%","46","1.23%","8.20%","561","1.04%"
"Stephens County","161",".32%","91.48%","15",".40%","8.52%","176",".33%"
"Stewart County","33",".07%","97.06%","1",".03%","2.94%","34",".06%"
"Sumter County","200",".40%","94.79%","11",".29%","5.21%","211",".39%"
"Talbot County","41",".08%","95.35%","2",".05%","4.65%","43",".08%"
"Taliaferro County","16",".03%","94.12%","1",".03%","5.88%","17",".03%"
"Tattnall County","184",".37%","92.46%","15",".40%","7.54%","199",".37%"
"Taylor County","71",".14%","95.95%","3",".08%","4.05%","74",".14%"
"Telfair County","103",".20%","91.15%","10",".27%","8.85%","113",".21%"
"Terrell County","95",".19%","95.00%","5",".13%","5.00%","100",".18%"
"Thomas County","230",".46%","93.50%","16",".43%","6.50%","246",".45%"
"Tift County","358",".71%","94.71%","20",".53%","5.29%","378",".70%"
"Toombs County","330",".66%","92.18%","28",".75%","7.82%","358",".66%"
"Towns County","30",".06%","68.18%","14",".37%","31.82%","44",".08%"
"Treutlen County","77",".15%","95.06%","4",".11%","4.94%","81",".15%"
"Troup County","586","1.16%","92.87%","45","1.20%","7.13%","631","1.17%"
"Turner County","68",".14%","97.14%","2",".05%","2.86%","70",".13%"
"Twiggs County","57",".11%","95.00%","3",".08%","5.00%","60",".11%"
"Union County","73",".15%","93.59%","5",".13%","6.41%","78",".14%"
"Upson County","163",".32%","93.68%","11",".29%","6.32%","174",".32%"
"Walker County","431",".86%","89.23%","52","1.39%","10.77%","483",".89%"
"Walton County","520","1.03%","90.75%","53","1.41%","9.25%","573","1.06%"
"Ware County","362",".72%","90.50%","38","1.01%","9.50%","400",".74%"
"Warren County","36",".07%","94.74%","2",".05%","5.26%","38",".07%"
"Washington County","187",".37%","90.78%","19",".51%","9.22%","206",".38%"
"Wayne County","144",".29%","91.14%","14",".37%","8.86%","158",".29%"
