"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Appling","98",".20%","91.59%","9",".25%","8.41%","107",".20%"
"Atkinson","44",".09%","97.78%","1",".03%","2.22%","45",".08%"
"Bacon","53",".11%","96.36%","2",".05%","3.64%","55",".10%"
"Baker","12",".02%","92.31%","1",".03%","7.69%","13",".02%"
"Baldwin
1 2 3 4 5 6 7 8 9","306",".62%","94.15%","19",".52%","5.85%","325",".61%"
"Banks","56",".11%","93.33%","4",".11%","6.67%","60",".11%"
"Barrow","265",".53%","93.64%","18",".49%","6.36%","283",".53%"
"Bartow","609","1.23%","89.69%","70","1.91%","10.31%","679","1.28%"
"Ben Hill","259",".52%","93.84%","17",".46%","6.16%","276",".52%"
"10
Berrien","86",".17%","96.63%","3",".08%","3.37%","89",".17%"
"11
Bibb","1,021","2.06%","95.60%","47","1.29%","4.40%","1,068","2.01%"
"12
Bleckley","75",".15%","87.21%","11",".30%","12.79%","86",".16%"
"13
Brantley","57",".11%","95.00%","3",".08%","5.00%","60",".11%"
"14
Brooks","58",".12%","92.06%","5",".14%","7.94%","63",".12%"
"15
Bryan","85",".17%","93.41%","6",".16%","6.59%","91",".17%"
"16
Bulloch","488",".98%","92.08%","42","1.15%","7.92%","530","1.00%"
"17
Burke","198",".40%","96.12%","8",".22%","3.88%","206",".39%"
"18
Butts","166",".33%","95.95%","7",".19%","4.05%","173",".32%"
"19
Calhoun","35",".07%","89.74%","4",".11%","10.26%","39",".07%"
"20
Camden","151",".30%","92.64%","12",".33%","7.36%","163",".31%"
"21
Candler","92",".19%","87.62%","13",".36%","12.38%","105",".20%"
"22
Carroll","601","1.21%","90.38%","64","1.75%","9.62%","665","1.25%"
"23
Catoosa","303",".61%","92.10%","26",".71%","7.90%","329",".62%"
"24
Charlton","55",".11%","93.22%","4",".11%","6.78%","59",".11%"
"25
Chatham","2,423","4.89%","95.28%","120","3.28%","4.72%","2,543","4.78%"
"26
Chattahoochee","27",".05%","93.10%","2",".05%","6.90%","29",".05%"
"27
Chattooga","244",".49%","90.04%","27",".74%","9.96%","271",".51%"
"28
Cherokee","607","1.22%","90.46%","64","1.75%","9.54%","671","1.26%"
"29
Clarke","380",".77%","93.60%","26",".71%","6.40%","406",".76%"
"30
Clay","33",".07%","89.19%","4",".11%","10.81%","37",".07%"
"31
Clayton","1,563","3.15%","92.76%","122","3.34%","7.24%","1,685","3.16%"
"32
Clinch","59",".12%","95.16%","3",".08%","4.84%","62",".12%"
"33
Cobb","2,775","5.60%","90.78%","282","7.71%","9.22%","3,057","5.74%"
"34
Coffee","261",".53%","93.21%","19",".52%","6.79%","280",".53%"
"35
Colquitt","299",".60%","95.53%","14",".38%","4.47%","313",".59%"
"36
Columbia","278",".56%","94.24%","17",".46%","5.76%","295",".55%"
"37
Cook","136",".27%","95.77%","6",".16%","4.23%","142",".27%"
"38
Coweta","496","1.00%","92.71%","39","1.07%","7.29%","535","1.00%"
