"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"076
Houston County","702","1.60%","91.76%","63","2.08%","8.24%","765","1.63%"
"077
Irwin County","56",".13%","98.25%","1",".03%","1.75%","57",".12%"
"078
Jackson County","255",".58%","91.73%","23",".76%","8.27%","278",".59%"
"079
Jasper County","52",".12%","94.55%","3",".10%","5.45%","55",".12%"
"080
Jeff Davis County","78",".18%","93.98%","5",".16%","6.02%","83",".18%"
"081
Jefferson County","133",".30%","92.36%","11",".36%","7.64%","144",".31%"
"082
Jenkins County","60",".14%","93.75%","4",".13%","6.25%","64",".14%"
"083
Johnson County","38",".09%","97.44%","1",".03%","2.56%","39",".08%"
"084
Jones County","167",".38%","86.53%","26",".86%","13.47%","193",".41%"
"085
Lamar County","73",".17%","85.88%","12",".40%","14.12%","85",".18%"
"086
Lanier County","48",".11%","88.89%","6",".20%","11.11%","54",".12%"
"087
Laurens County","261",".60%","93.55%","18",".59%","6.45%","279",".59%"
"088
Lee County","67",".15%","90.54%","7",".23%","9.46%","74",".16%"
"089
Liberty County","180",".41%","92.78%","14",".46%","7.22%","194",".41%"
"090
Lincoln County","32",".07%","88.89%","4",".13%","11.11%","36",".08%"
"091
Long County","64",".15%","94.12%","4",".13%","5.88%","68",".15%"
"092
Lowndes County","429",".98%","95.55%","20",".66%","4.45%","449",".96%"
"093
Lumpkin County","72",".16%","92.31%","6",".20%","7.69%","78",".17%"
"094
Macon County","41",".09%","95.35%","2",".07%","4.65%","43",".09%"
"095
Madison County","136",".31%","91.89%","12",".40%","8.11%","148",".32%"
"096
Marion County","24",".05%","96.00%","1",".03%","4.00%","25",".05%"
"097
Mcduffie County","161",".37%","94.15%","10",".33%","5.85%","171",".36%"
"098
Mcintosh County","57",".13%","90.48%","6",".20%","9.52%","63",".13%"
"099
Meriwether County","151",".34%","92.07%","13",".43%","7.93%","164",".35%"
"100
Miller County","27",".06%","100.00%","","","","27",".06%"
"101
Mitchell County","137",".31%","93.20%","10",".33%","6.80%","147",".31%"
"102
Monroe County","151",".34%","89.88%","17",".56%","10.12%","168",".36%"
"103
Montgomery County","24",".05%","96.00%","1",".03%","4.00%","25",".05%"
"104
Morgan County","146",".33%","91.25%","14",".46%","8.75%","160",".34%"
"105
Murray County","206",".47%","89.18%","25",".82%","10.82%","231",".49%"
"106
Muscogee County","981","2.24%","95.06%","51","1.68%","4.94%","1,032","2.20%"
"107
Newton County","643","1.47%","91.86%","57","1.88%","8.14%","700","1.49%"
"108
Oconee County","44",".10%","100.00%","","","","44",".09%"
"109
Oglethorpe County","61",".14%","100.00%","","","","61",".13%"
"110
Paulding County","223",".51%","93.31%","16",".53%","6.69%","239",".51%"
"111
Peach County","59",".13%","93.65%","4",".13%","6.35%","63",".13%"
"112
Pickens County","99",".23%","89.19%","12",".40%","10.81%","111",".24%"
"113
Pierce County","101",".23%","94.39%","6",".20%","5.61%","107",".23%"
