"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114 
Pike County","33",".07%","86.84%","5",".13%","13.16%","38",".07%"
"115 
Polk County","190",".39%","91.79%","17",".44%","8.21%","207",".40%"
"116 
Pulaski County","43",".09%","97.73%","1",".03%","2.27%","44",".08%"
"117 
Putnam County","138",".29%","93.88%","9",".23%","6.12%","147",".28%"
"118 
Quitman County","12",".02%","100.00%","","","","12",".02%"
"119 
Rabun County","60",".12%","88.24%","8",".21%","11.76%","68",".13%"
"120 
Randolph County","39",".08%","95.12%","2",".05%","4.88%","41",".08%"
"121 
Richmond County","1,661","3.44%","94.27%","101","2.60%","5.73%","1,762","3.37%"
"122 
Rockdale County","435",".90%","92.75%","34",".88%","7.25%","469",".90%"
"123 
Schley County","20",".04%","95.24%","1",".03%","4.76%","21",".04%"
"124 
Screven County","87",".18%","91.58%","8",".21%","8.42%","95",".18%"
"125 
Seminole County","67",".14%","89.33%","8",".21%","10.67%","75",".14%"
"126 
Spalding County","483","1.00%","89.78%","55","1.42%","10.22%","538","1.03%"
"127 
Stephens County","117",".24%","94.35%","7",".18%","5.65%","124",".24%"
"128 
Stewart County","26",".05%","89.66%","3",".08%","10.34%","29",".06%"
"129 
Sumter County","195",".40%","96.06%","8",".21%","3.94%","203",".39%"
"130 
Talbot County","27",".06%","90.00%","3",".08%","10.00%","30",".06%"
"131 
Taliaferro County","18",".04%","85.71%","3",".08%","14.29%","21",".04%"
"132 
Tattnall County","220",".46%","89.43%","26",".67%","10.57%","246",".47%"
"133 
Taylor County","52",".11%","89.66%","6",".15%","10.34%","58",".11%"
"134 
Telfair County","112",".23%","92.56%","9",".23%","7.44%","121",".23%"
"135 
Terrell County","49",".10%","94.23%","3",".08%","5.77%","52",".10%"
"136 
Thomas County","226",".47%","95.76%","10",".26%","4.24%","236",".45%"
"137 
Tift County","314",".65%","95.15%","16",".41%","4.85%","330",".63%"
"138 
Toombs County","293",".61%","95.44%","14",".36%","4.56%","307",".59%"
"139 
Towns County","61",".13%","81.33%","14",".36%","18.67%","75",".14%"
"140 
Treutlen County","60",".12%","95.24%","3",".08%","4.76%","63",".12%"
"141 
Troup County","580","1.20%","92.50%","47","1.21%","7.50%","627","1.20%"
"142 
Turner County","51",".11%","92.73%","4",".10%","7.27%","55",".11%"
"143 
Twiggs County","43",".09%","91.49%","4",".10%","8.51%","47",".09%"
"144 
Union County","75",".16%","87.21%","11",".28%","12.79%","86",".16%"
"145 
Upson County","196",".41%","91.16%","19",".49%","8.84%","215",".41%"
"146 
Walker County","393",".81%","91.18%","38",".98%","8.82%","431",".83%"
"147 
Walton County","663","1.37%","91.57%","61","1.57%","8.43%","724","1.39%"
"148 
Ware County","251",".52%","89.32%","30",".77%","10.68%","281",".54%"
"149 
Warren County","29",".06%","93.55%","2",".05%","6.45%","31",".06%"
"150 
Washington County","178",".37%","95.19%","9",".23%","4.81%","187",".36%"
"151 
Wayne County","192",".40%","90.14%","21",".54%","9.86%","213",".41%"
