"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Unknown","188",".37%","94.47%","11",".28%","5.53%","199",".36%"
"Appling County","117",".23%","95.90%","5",".13%","4.10%","122",".22%"
"Atkinson County","54",".11%","88.52%","7",".18%","11.48%","61",".11%"
"Bacon County","89",".17%","93.68%","6",".15%","6.32%","95",".17%"
"Baker County","12",".02%","85.71%","2",".05%","14.29%","14",".03%"
"Baldwin County","306",".60%","92.45%","25",".63%","7.55%","331",".60%"
"Banks County","72",".14%","93.51%","5",".13%","6.49%","77",".14%"
"Barrow County","346",".68%","90.34%","37",".93%","9.66%","383",".69%"
"Bartow County","607","1.18%","87.34%","88","2.21%","12.66%","695","1.26%"
"Ben Hill County","247",".48%","95.00%","13",".33%","5.00%","260",".47%"
"Berrien County","100",".20%","95.24%","5",".13%","4.76%","105",".19%"
"Bibb County","1,179","2.30%","94.24%","72","1.80%","5.76%","1,251","2.27%"
"Bleckley County","63",".12%","92.65%","5",".13%","7.35%","68",".12%"
"Brantley County","88",".17%","87.13%","13",".33%","12.87%","101",".18%"
"Brooks County","52",".10%","98.11%","1",".03%","1.89%","53",".10%"
"Bryan County","54",".11%","100.00%","","","","54",".10%"
"Bulloch County","531","1.04%","92.35%","44","1.10%","7.65%","575","1.04%"
"Burke County","227",".44%","96.19%","9",".23%","3.81%","236",".43%"
"Butts County","127",".25%","90.71%","13",".33%","9.29%","140",".25%"
"Calhoun County","29",".06%","87.88%","4",".10%","12.12%","33",".06%"
"Camden County","196",".38%","92.02%","17",".43%","7.98%","213",".39%"
"Candler County","118",".23%","93.65%","8",".20%","6.35%","126",".23%"
"Carroll County","611","1.19%","90.52%","64","1.60%","9.48%","675","1.22%"
"Catoosa County","339",".66%","89.45%","40","1.00%","10.55%","379",".69%"
"Charlton County","79",".15%","88.76%","10",".25%","11.24%","89",".16%"
"Chatham County","1,951","3.81%","95.45%","93","2.33%","4.55%","2,044","3.70%"
"Chattahoochee County","24",".05%","100.00%","","","","24",".04%"
"Chattooga County","233",".45%","88.59%","30",".75%","11.41%","263",".48%"
"Cherokee County","585","1.14%","91.12%","57","1.43%","8.88%","642","1.16%"
"Clarke County","566","1.10%","92.64%","45","1.13%","7.36%","611","1.11%"
"Clay County","23",".04%","85.19%","4",".10%","14.81%","27",".05%"
"Clayton County","1,334","2.60%","93.09%","99","2.48%","6.91%","1,433","2.60%"
"Clinch County","48",".09%","92.31%","4",".10%","7.69%","52",".09%"
"Cobb County","2,684","5.24%","91.92%","236","5.91%","8.08%","2,920","5.29%"
"Coffee County","214",".42%","93.45%","15",".38%","6.55%","229",".41%"
"Colquitt County","224",".44%","96.14%","9",".23%","3.86%","233",".42%"
"Columbia County","430",".84%","91.10%","42","1.05%","8.90%","472",".85%"
"Cook County","109",".21%","93.16%","8",".20%","6.84%","117",".21%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Coweta County","633","1.24%","92.95%","48","1.20%","7.05%","681","1.23%"
"Crawford County","24",".05%","96.00%","1",".03%","4.00%","25",".05%"
"Crisp County","351",".69%","93.85%","23",".58%","6.15%","374",".68%"
"Dade County","98",".19%","94.23%","6",".15%","5.77%","104",".19%"
"Dawson County","100",".20%","93.46%","7",".18%","6.54%","107",".19%"
"Decatur County","245",".48%","94.59%","14",".35%","5.41%","259",".47%"
"Dekalb County","2,898","5.66%","95.05%","151","3.78%","4.95%","3,049","5.52%"
"Dodge County","139",".27%","93.29%","10",".25%","6.71%","149",".27%"
"Dooly County","133",".26%","94.33%","8",".20%","5.67%","141",".26%"
"Dougherty County","835","1.63%","95.65%","38",".95%","4.35%","873","1.58%"
"Douglas County","1,017","1.99%","91.37%","96","2.41%","8.63%","1,113","2.02%"
"Early County","80",".16%","95.24%","4",".10%","4.76%","84",".15%"
"Echols County","11",".02%","84.62%","2",".05%","15.38%","13",".02%"
"Effingham County","262",".51%","89.42%","31",".78%","10.58%","293",".53%"
"Elbert County","142",".28%","92.81%","11",".28%","7.19%","153",".28%"
"Emanuel County","166",".32%","92.22%","14",".35%","7.78%","180",".33%"
"Evans County","95",".19%","95.96%","4",".10%","4.04%","99",".18%"
"Fannin County","97",".19%","87.39%","14",".35%","12.61%","111",".20%"
"Fayette County","342",".67%","91.44%","32",".80%","8.56%","374",".68%"
"Floyd County","891","1.74%","91.29%","85","2.13%","8.71%","976","1.77%"
"Forsyth County","365",".71%","91.94%","32",".80%","8.06%","397",".72%"
"Franklin County","161",".31%","86.56%","25",".63%","13.44%","186",".34%"
"Fulton County","5,018","9.80%","95.95%","212","5.31%","4.05%","5,230","9.47%"
"Gilmer County","99",".19%","91.67%","9",".23%","8.33%","108",".20%"
"Glascock County","8",".02%","100.00%","","","","8",".01%"
"Glynn County","556","1.09%","93.29%","40","1.00%","6.71%","596","1.08%"
"Gordon County","406",".79%","88.65%","52","1.30%","11.35%","458",".83%"
"Grady County","150",".29%","96.77%","5",".13%","3.23%","155",".28%"
"Greene County","115",".22%","89.15%","14",".35%","10.85%","129",".23%"
"Gwinnett County","2,653","5.18%","93.06%","198","4.96%","6.94%","2,851","5.16%"
"Habersham County","130",".25%","90.28%","14",".35%","9.72%","144",".26%"
"Hall County","705","1.38%","91.80%","63","1.58%","8.20%","768","1.39%"
"Hancock County","40",".08%","93.02%","3",".08%","6.98%","43",".08%"
"Haralson County","111",".22%","88.10%","15",".38%","11.90%","126",".23%"
"Harris County","135",".26%","95.07%","7",".18%","4.93%","142",".26%"
"Hart County","178",".35%","92.71%","14",".35%","7.29%","192",".35%"
"Heard County","53",".10%","96.36%","2",".05%","3.64%","55",".10%"
"Henry County","752","1.47%","89.21%","91","2.28%","10.79%","843","1.53%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Houston County","701","1.37%","92.97%","53","1.33%","7.03%","754","1.37%"
"Irwin County","65",".13%","94.20%","4",".10%","5.80%","69",".12%"
"Jackson County","293",".57%","93.61%","20",".50%","6.39%","313",".57%"
"Jasper County","64",".12%","86.49%","10",".25%","13.51%","74",".13%"
"Jeff Davis County","89",".17%","94.68%","5",".13%","5.32%","94",".17%"
"Jefferson County","164",".32%","93.71%","11",".28%","6.29%","175",".32%"
"Jenkins County","84",".16%","95.45%","4",".10%","4.55%","88",".16%"
"Johnson County","42",".08%","93.33%","3",".08%","6.67%","45",".08%"
"Jones County","199",".39%","88.05%","27",".68%","11.95%","226",".41%"
"Lamar County","68",".13%","89.47%","8",".20%","10.53%","76",".14%"
"Lanier County","39",".08%","95.12%","2",".05%","4.88%","41",".07%"
"Laurens County","303",".59%","91.82%","27",".68%","8.18%","330",".60%"
"Lee County","69",".13%","87.34%","10",".25%","12.66%","79",".14%"
"Liberty County","225",".44%","94.94%","12",".30%","5.06%","237",".43%"
"Lincoln County","37",".07%","94.87%","2",".05%","5.13%","39",".07%"
"Long County","60",".12%","93.75%","4",".10%","6.25%","64",".12%"
"Lowndes County","449",".88%","95.33%","22",".55%","4.67%","471",".85%"
"Lumpkin County","95",".19%","90.48%","10",".25%","9.52%","105",".19%"
"Macon County","48",".09%","96.00%","2",".05%","4.00%","50",".09%"
"Madison County","146",".29%","90.12%","16",".40%","9.88%","162",".29%"
"Marion County","33",".06%","94.29%","2",".05%","5.71%","35",".06%"
"Mcduffie County","192",".37%","96.00%","8",".20%","4.00%","200",".36%"
"Mcintosh County","64",".12%","88.89%","8",".20%","11.11%","72",".13%"
"Meriwether County","190",".37%","91.79%","17",".43%","8.21%","207",".37%"
"Miller County","34",".07%","100.00%","","","","34",".06%"
"Mitchell County","146",".29%","94.19%","9",".23%","5.81%","155",".28%"
"Monroe County","157",".31%","93.45%","11",".28%","6.55%","168",".30%"
"Montgomery County","33",".06%","86.84%","5",".13%","13.16%","38",".07%"
"Morgan County","134",".26%","91.78%","12",".30%","8.22%","146",".26%"
"Murray County","221",".43%","91.32%","21",".53%","8.68%","242",".44%"
"Muscogee County","1,254","2.45%","94.78%","69","1.73%","5.22%","1,323","2.40%"
