"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"076
Houston County","707","1.58%","92.30%","59","1.81%","7.70%","766","1.60%"
"077
Irwin County","60",".13%","98.36%","1",".03%","1.64%","61",".13%"
"078
Jackson County","232",".52%","92.43%","19",".58%","7.57%","251",".52%"
"079
Jasper County","60",".13%","93.75%","4",".12%","6.25%","64",".13%"
"080
Jeff Davis County","76",".17%","92.68%","6",".18%","7.32%","82",".17%"
"081
Jefferson County","132",".30%","93.62%","9",".28%","6.38%","141",".29%"
"082
Jenkins County","58",".13%","95.08%","3",".09%","4.92%","61",".13%"
"083
Johnson County","39",".09%","97.50%","1",".03%","2.50%","40",".08%"
"084
Jones County","165",".37%","89.67%","19",".58%","10.33%","184",".38%"
"085
Lamar County","77",".17%","87.50%","11",".34%","12.50%","88",".18%"
"086
Lanier County","54",".12%","94.74%","3",".09%","5.26%","57",".12%"
"087
Laurens County","259",".58%","90.24%","28",".86%","9.76%","287",".60%"
"088
Lee County","84",".19%","94.38%","5",".15%","5.62%","89",".19%"
"089
Liberty County","194",".43%","91.51%","18",".55%","8.49%","212",".44%"
"090
Lincoln County","32",".07%","91.43%","3",".09%","8.57%","35",".07%"
"091
Long County","64",".14%","92.75%","5",".15%","7.25%","69",".14%"
"092
Lowndes County","440",".99%","96.07%","18",".55%","3.93%","458",".96%"
"093
Lumpkin County","80",".18%","91.95%","7",".21%","8.05%","87",".18%"
"094
Macon County","39",".09%","92.86%","3",".09%","7.14%","42",".09%"
"095
Madison County","140",".31%","92.72%","11",".34%","7.28%","151",".32%"
"096
Marion County","22",".05%","95.65%","1",".03%","4.35%","23",".05%"
"097
Mcduffie County","161",".36%","95.27%","8",".24%","4.73%","169",".35%"
"098
Mcintosh County","51",".11%","91.07%","5",".15%","8.93%","56",".12%"
"099
Meriwether County","139",".31%","93.92%","9",".28%","6.08%","148",".31%"
"100
Miller County","32",".07%","96.97%","1",".03%","3.03%","33",".07%"
"101
Mitchell County","155",".35%","92.81%","12",".37%","7.19%","167",".35%"
"102
Monroe County","181",".41%","86.60%","28",".86%","13.40%","209",".44%"
"103
Montgomery County","28",".06%","96.55%","1",".03%","3.45%","29",".06%"
"104
Morgan County","147",".33%","91.88%","13",".40%","8.13%","160",".33%"
"105
Murray County","264",".59%","86.84%","40","1.22%","13.16%","304",".63%"
"106
Muscogee County","981","2.20%","95.15%","50","1.53%","4.85%","1,031","2.15%"
"107
Newton County","648","1.45%","92.31%","54","1.65%","7.69%","702","1.47%"
"108
Oconee County","51",".11%","96.23%","2",".06%","3.77%","53",".11%"
"109
Oglethorpe County","68",".15%","95.77%","3",".09%","4.23%","71",".15%"
"110
Paulding County","233",".52%","92.46%","19",".58%","7.54%","252",".53%"
"111
Peach County","61",".14%","95.31%","3",".09%","4.69%","64",".13%"
"112
Pickens County","100",".22%","88.50%","13",".40%","11.50%","113",".24%"
"113
Pierce County","102",".23%","95.33%","5",".15%","4.67%","107",".22%"
