"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"076
Houston County","729","1.47%","93.70%","49","1.38%","6.30%","778","1.46%"
"077
Irwin County","72",".14%","93.51%","5",".14%","6.49%","77",".14%"
"078
Jackson County","244",".49%","92.08%","21",".59%","7.92%","265",".50%"
"079
Jasper County","55",".11%","91.67%","5",".14%","8.33%","60",".11%"
"080
Jeff Davis County","95",".19%","94.06%","6",".17%","5.94%","101",".19%"
"081
Jefferson County","152",".31%","97.44%","4",".11%","2.56%","156",".29%"
"082
Jenkins County","66",".13%","94.29%","4",".11%","5.71%","70",".13%"
"083
Johnson County","49",".10%","94.23%","3",".08%","5.77%","52",".10%"
"084
Jones County","202",".41%","87.83%","28",".79%","12.17%","230",".43%"
"085
Lamar County","82",".16%","92.13%","7",".20%","7.87%","89",".17%"
"086
Lanier County","42",".08%","97.67%","1",".03%","2.33%","43",".08%"
"087
Laurens County","287",".58%","94.72%","16",".45%","5.28%","303",".57%"
"088
Lee County","61",".12%","95.31%","3",".08%","4.69%","64",".12%"
"089
Liberty County","269",".54%","91.19%","26",".73%","8.81%","295",".55%"
"090
Lincoln County","27",".05%","100.00%","","","","27",".05%"
"091
Long County","84",".17%","93.33%","6",".17%","6.67%","90",".17%"
"092
Lowndes County","561","1.13%","96.06%","23",".65%","3.94%","584","1.10%"
"093
Lumpkin County","90",".18%","93.75%","6",".17%","6.25%","96",".18%"
"094
Macon County","53",".11%","98.15%","1",".03%","1.85%","54",".10%"
"095
Madison County","118",".24%","92.19%","10",".28%","7.81%","128",".24%"
"096
Marion County","25",".05%","92.59%","2",".06%","7.41%","27",".05%"
"097
Mcduffie County","196",".39%","94.69%","11",".31%","5.31%","207",".39%"
"098
Mcintosh County","76",".15%","98.70%","1",".03%","1.30%","77",".14%"
"099
Meriwether County","166",".33%","92.74%","13",".37%","7.26%","179",".34%"
"100
Miller County","34",".07%","100.00%","","","","34",".06%"
"101
Mitchell County","175",".35%","92.59%","14",".39%","7.41%","189",".35%"
"102
Monroe County","158",".32%","87.78%","22",".62%","12.22%","180",".34%"
"103
Montgomery County","32",".06%","100.00%","","","","32",".06%"
"104
Morgan County","156",".31%","89.14%","19",".53%","10.86%","175",".33%"
"105
Murray County","145",".29%","94.77%","8",".22%","5.23%","153",".29%"
"106
Muscogee County","1,216","2.45%","95.30%","60","1.69%","4.70%","1,276","2.39%"
"107
Newton County","664","1.34%","92.48%","54","1.52%","7.52%","718","1.35%"
"108
Oconee County","53",".11%","98.15%","1",".03%","1.85%","54",".10%"
"109
Oglethorpe County","55",".11%","94.83%","3",".08%","5.17%","58",".11%"
"110
Paulding County","237",".48%","91.15%","23",".65%","8.85%","260",".49%"
"111
Peach County","79",".16%","95.18%","4",".11%","4.82%","83",".16%"
"112
Pickens County","91",".18%","91.00%","9",".25%","9.00%","100",".19%"
"113
Pierce County","86",".17%","96.63%","3",".08%","3.37%","89",".17%"
