"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Appling","98",".19%","95.15%","5",".14%","4.85%","103",".19%"
"Atkinson","45",".09%","93.75%","3",".09%","6.25%","48",".09%"
"Bacon","66",".13%","95.65%","3",".09%","4.35%","69",".13%"
"Baker","9",".02%","100.00%","","","","9",".02%"
"Baldwin
1 2 3 4 5 6 7 8 9 1","351",".69%","94.86%","19",".55%","5.14%","370",".68%"
"Banks","67",".13%","90.54%","7",".20%","9.46%","74",".14%"
"Barrow","266",".52%","93.66%","18",".52%","6.34%","284",".52%"
"Bartow","620","1.22%","89.99%","69","1.98%","10.01%","689","1.27%"
"Ben Hill","261",".51%","93.55%","18",".52%","6.45%","279",".51%"
"0
Berrien","92",".18%","87.62%","13",".37%","12.38%","105",".19%"
"11
Bibb","1,068","2.10%","95.02%","56","1.61%","4.98%","1,124","2.07%"
"12
Bleckley","82",".16%","87.23%","12",".34%","12.77%","94",".17%"
"13
Brantley","54",".11%","88.52%","7",".20%","11.48%","61",".11%"
"14
Brooks","79",".16%","97.53%","2",".06%","2.47%","81",".15%"
"15
Bryan","104",".20%","96.30%","4",".11%","3.70%","108",".20%"
"16
Bulloch","489",".96%","94.40%","29",".83%","5.60%","518",".96%"
"17
Burke","223",".44%","94.89%","12",".34%","5.11%","235",".43%"
"18
Butts","144",".28%","94.74%","8",".23%","5.26%","152",".28%"
"19
Calhoun","43",".08%","91.49%","4",".11%","8.51%","47",".09%"
"20
Camden","151",".30%","94.38%","9",".26%","5.63%","160",".29%"
"21
Candler","93",".18%","94.90%","5",".14%","5.10%","98",".18%"
"22
Carroll","588","1.16%","91.88%","52","1.49%","8.13%","640","1.18%"
"23
Catoosa","277",".55%","89.64%","32",".92%","10.36%","309",".57%"
"24
Charlton","61",".12%","95.31%","3",".09%","4.69%","64",".12%"
"25
Chatham","2,452","4.83%","95.00%","129","3.70%","5.00%","2,581","4.76%"
"26
Chattahoochee","24",".05%","92.31%","2",".06%","7.69%","26",".05%"
"27
Chattooga","239",".47%","90.53%","25",".72%","9.47%","264",".49%"
"28
Cherokee","571","1.13%","89.64%","66","1.89%","10.36%","637","1.17%"
"29
Clarke","455",".90%","93.43%","32",".92%","6.57%","487",".90%"
"30
Clay","31",".06%","91.18%","3",".09%","8.82%","34",".06%"
"31
Clayton","1,588","3.13%","92.65%","126","3.61%","7.35%","1,714","3.16%"
"32
Clinch","55",".11%","94.83%","3",".09%","5.17%","58",".11%"
"33
Cobb","2,845","5.61%","91.77%","255","7.31%","8.23%","3,100","5.72%"
"34
Coffee","234",".46%","93.60%","16",".46%","6.40%","250",".46%"
"35
Colquitt","335",".66%","94.90%","18",".52%","5.10%","353",".65%"
"36
Columbia","310",".61%","92.26%","26",".75%","7.74%","336",".62%"
"37
Cook","141",".28%","93.38%","10",".29%","6.62%","151",".28%"
"38
Coweta","572","1.13%","92.56%","46","1.32%","7.44%","618","1.14%"
