"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"000
Unknown","182",".41%","94.30%","11",".34%","5.70%","193",".40%"
"001
Appling County","108",".24%","97.30%","3",".09%","2.70%","111",".23%"
"002
Atkinson County","40",".09%","93.02%","3",".09%","6.98%","43",".09%"
"003
Bacon County","73",".16%","94.81%","4",".12%","5.19%","77",".16%"
"004
Baker County","13",".03%","86.67%","2",".06%","13.33%","15",".03%"
"005
Baldwin County","275",".61%","92.28%","23",".70%","7.72%","298",".62%"
"006
Banks County","47",".11%","83.93%","9",".28%","16.07%","56",".12%"
"007
Barrow County","350",".78%","92.11%","30",".92%","7.89%","380",".79%"
"008
Bartow County","615","1.38%","88.36%","81","2.48%","11.64%","696","1.45%"
"009
Ben Hill County","236",".53%","93.28%","17",".52%","6.72%","253",".53%"
"010
Berrien County","99",".22%","94.29%","6",".18%","5.71%","105",".22%"
"011
Bibb County","938","2.10%","95.91%","40","1.22%","4.09%","978","2.04%"
"012
Bleckley County","62",".14%","95.38%","3",".09%","4.62%","65",".14%"
"013
Brantley County","75",".17%","87.21%","11",".34%","12.79%","86",".18%"
"014
Brooks County","46",".10%","97.87%","1",".03%","2.13%","47",".10%"
"015
Bryan County","47",".11%","94.00%","3",".09%","6.00%","50",".10%"
"016
Bulloch County","454","1.02%","94.00%","29",".89%","6.00%","483","1.01%"
"017
Burke County","201",".45%","97.10%","6",".18%","2.90%","207",".43%"
"018
Butts County","141",".32%","92.76%","11",".34%","7.24%","152",".32%"
"019
Calhoun County","26",".06%","89.66%","3",".09%","10.34%","29",".06%"
"020
Camden County","183",".41%","94.33%","11",".34%","5.67%","194",".40%"
"021
Candler County","85",".19%","93.41%","6",".18%","6.59%","91",".19%"
"022
Carroll County","589","1.32%","93.34%","42","1.28%","6.66%","631","1.31%"
"023
Catoosa County","336",".75%","90.57%","35","1.07%","9.43%","371",".77%"
"024
Charlton County","64",".14%","90.14%","7",".21%","9.86%","71",".15%"
"025
Chatham County","1,537","3.44%","95.88%","66","2.02%","4.12%","1,603","3.34%"
"026
Chattahoochee County","17",".04%","100.00%","","","","17",".04%"
"027
Chattooga County","162",".36%","89.50%","19",".58%","10.50%","181",".38%"
"028
Cherokee County","542","1.21%","92.49%","44","1.35%","7.51%","586","1.22%"
"029
Clarke County","455","1.02%","95.19%","23",".70%","4.81%","478","1.00%"
"030
Clay County","15",".03%","88.24%","2",".06%","11.76%","17",".04%"
"031
Clayton County","1,082","2.42%","94.33%","65","1.99%","5.67%","1,147","2.39%"
"032
Clinch County","39",".09%","92.86%","3",".09%","7.14%","42",".09%"
"033
Cobb County","2,121","4.74%","93.11%","157","4.80%","6.89%","2,278","4.75%"
"034
Coffee County","284",".63%","93.11%","21",".64%","6.89%","305",".64%"
"035
Colquitt County","232",".52%","94.69%","13",".40%","5.31%","245",".51%"
"036
Columbia County","357",".80%","89.70%","41","1.25%","10.30%","398",".83%"
"037
Cook County","111",".25%","90.98%","11",".34%","9.02%","122",".25%"
