"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"076
Houston County","669","1.42%","92.53%","54","1.59%","7.47%","723","1.43%"
"077
Irwin County","54",".11%","94.74%","3",".09%","5.26%","57",".11%"
"078
Jackson County","264",".56%","93.62%","18",".53%","6.38%","282",".56%"
"079
Jasper County","60",".13%","95.24%","3",".09%","4.76%","63",".12%"
"080
Jeff Davis County","90",".19%","95.74%","4",".12%","4.26%","94",".19%"
"081
Jefferson County","149",".32%","94.30%","9",".27%","5.70%","158",".31%"
"082
Jenkins County","72",".15%","94.74%","4",".12%","5.26%","76",".15%"
"083
Johnson County","41",".09%","95.35%","2",".06%","4.65%","43",".09%"
"084
Jones County","165",".35%","89.19%","20",".59%","10.81%","185",".37%"
"085
Lamar County","71",".15%","92.21%","6",".18%","7.79%","77",".15%"
"086
Lanier County","38",".08%","97.44%","1",".03%","2.56%","39",".08%"
"087
Laurens County","291",".62%","93.87%","19",".56%","6.13%","310",".61%"
"088
Lee County","61",".13%","89.71%","7",".21%","10.29%","68",".13%"
"089
Liberty County","203",".43%","94.86%","11",".32%","5.14%","214",".42%"
"090
Lincoln County","32",".07%","96.97%","1",".03%","3.03%","33",".07%"
"091
Long County","65",".14%","92.86%","5",".15%","7.14%","70",".14%"
"092
Lowndes County","446",".95%","95.30%","22",".65%","4.70%","468",".93%"
"093
Lumpkin County","91",".19%","91.00%","9",".27%","9.00%","100",".20%"
"094
Macon County","49",".10%","96.08%","2",".06%","3.92%","51",".10%"
"095
Madison County","124",".26%","88.57%","16",".47%","11.43%","140",".28%"
"096
Marion County","30",".06%","90.91%","3",".09%","9.09%","33",".07%"
"097
Mcduffie County","174",".37%","94.57%","10",".30%","5.43%","184",".36%"
"098
Mcintosh County","56",".12%","90.32%","6",".18%","9.68%","62",".12%"
"099
Meriwether County","160",".34%","93.02%","12",".35%","6.98%","172",".34%"
"100
Miller County","29",".06%","93.55%","2",".06%","6.45%","31",".06%"
"101
Mitchell County","140",".30%","95.89%","6",".18%","4.11%","146",".29%"
"102
Monroe County","138",".29%","90.20%","15",".44%","9.80%","153",".30%"
"103
Montgomery County","23",".05%","88.46%","3",".09%","11.54%","26",".05%"
"104
Morgan County","138",".29%","92.00%","12",".35%","8.00%","150",".30%"
"105
Murray County","208",".44%","92.44%","17",".50%","7.56%","225",".45%"
"106
Muscogee County","1,149","2.44%","94.96%","61","1.80%","5.04%","1,210","2.40%"
"107
Newton County","654","1.39%","90.58%","68","2.01%","9.42%","722","1.43%"
"108
Oconee County","51",".11%","100.00%","","","","51",".10%"
"109
Oglethorpe County","59",".13%","95.16%","3",".09%","4.84%","62",".12%"
"110
Paulding County","212",".45%","92.98%","16",".47%","7.02%","228",".45%"
"111
Peach County","74",".16%","93.67%","5",".15%","6.33%","79",".16%"
"112
Pickens County","101",".21%","92.66%","8",".24%","7.34%","109",".22%"
"113
Pierce County","118",".25%","92.91%","9",".27%","7.09%","127",".25%"
