"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"081   Jefferson County","119","0.24%","94.44%","7","0.17%","5.56%","126","0.24%"
"082   Jenkins County","93","0.19%","94.9%","5","0.12%","5.1%","98","0.18%"
"083   Johnson County","46","0.09%","93.88%","3","0.07%","6.12%","49","0.09%"
"084   Jones County","149","0.3%","94.9%","8","0.2%","5.1%","157","0.29%"
"085   Lamar County","95","0.19%","88.79%","12","0.3%","11.21%","107","0.2%"
"086   Lanier County","50","0.1%","87.72%","7","0.17%","12.28%","57","0.11%"
"087   Laurens County","283","0.57%","92.79%","22","0.55%","7.21%","305","0.57%"
"088   Lee County","86","0.17%","94.51%","5","0.12%","5.49%","91","0.17%"
"089   Liberty County","267","0.54%","92.07%","23","0.57%","7.93%","290","0.54%"
"090   Lincoln County","42","0.08%","97.67%","1","0.02%","2.33%","43","0.08%"
"091   Long County","66","0.13%","89.19%","8","0.2%","10.81%","74","0.14%"
"092   Lowndes County","485","0.98%","94.91%","26","0.65%","5.09%","511","0.95%"
"093   Lumpkin County","92","0.19%","86.79%","14","0.35%","13.21%","106","0.2%"
"094   Macon County","44","0.09%","97.78%","1","0.02%","2.22%","45","0.08%"
"095   Madison County","137","0.28%","91.95%","12","0.3%","8.05%","149","0.28%"
"096   Marion County","22","0.04%","88.0%","3","0.07%","12.0%","25","0.05%"
"097   Mcduffie County","171","0.35%","95.53%","8","0.2%","4.47%","179","0.33%"
"098   Mcintosh County","80","0.16%","96.39%","3","0.07%","3.61%","83","0.16%"
"099   Meriwether County","149","0.3%","94.3%","9","0.22%","5.7%","158","0.3%"
"100   Miller County","30","0.06%","90.91%","3","0.07%","9.09%","33","0.06%"
"101   Mitchell County","186","0.38%","93.0%","14","0.35%","7.0%","200","0.37%"
"102   Monroe County","206","0.42%","89.18%","25","0.62%","10.82%","231","0.43%"
"103   Montgomery County","33","0.07%","86.84%","5","0.12%","13.16%","38","0.07%"
"104   Morgan County","130","0.26%","92.86%","10","0.25%","7.14%","140","0.26%"
"105   Murray County","311","0.63%","88.6%","40","0.99%","11.4%","351","0.66%"
"106   Muscogee County","1,304","2.63%","94.7%","73","1.82%","5.3%","1,377","2.57%"
"107   Newton County","687","1.39%","91.11%","67","1.67%","8.89%","754","1.41%"
