"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","6",".01%","75.00%","2",".05%","25.00%","8",".01%"
"153
Wheeler County","19",".04%","100.00%","","","","19",".03%"
"154
White County","103",".20%","88.79%","13",".32%","11.21%","116",".21%"
"155
Whitfield County","772","1.50%","86.64%","119","2.96%","13.36%","891","1.61%"
"156
Wilcox County","53",".10%","92.98%","4",".10%","7.02%","57",".10%"
"157
Wilkes County","66",".13%","94.29%","4",".10%","5.71%","70",".13%"
"158
Wilkinson County","47",".09%","94.00%","3",".07%","6.00%","50",".09%"
"159
Worth County","116",".23%","90.63%","12",".30%","9.38%","128",".23%"
"Total Rported","51,376","100%","92.74%","4,024","100%","7.26%","55,400","100%"
