"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"000
Unknown","257",".49%","92.78%","20",".53%","7.22%","277",".50%"
"001
Appling County","101",".19%","91.82%","9",".24%","8.18%","110",".20%"
"002
Atkinson County","49",".09%","94.23%","3",".08%","5.77%","52",".09%"
"003
Bacon County","68",".13%","95.77%","3",".08%","4.23%","71",".13%"
"004
Baker County","14",".03%","100.00%","","","","14",".03%"
"005
Baldwin County","345",".66%","95.83%","15",".40%","4.17%","360",".65%"
"006
Banks County","59",".11%","93.65%","4",".11%","6.35%","63",".11%"
"007
Barrow County","250",".48%","90.91%","25",".66%","9.09%","275",".49%"
"008
Bartow County","668","1.29%","89.07%","82","2.17%","10.93%","750","1.35%"
"009
Ben Hill County","236",".45%","94.40%","14",".37%","5.60%","250",".45%"
"010
Berrien County","95",".18%","92.23%","8",".21%","7.77%","103",".18%"
"011
Bibb County","1,097","2.11%","95.64%","50","1.32%","4.36%","1,147","2.06%"
"012
Bleckley County","78",".15%","92.86%","6",".16%","7.14%","84",".15%"
"013
Brantley County","66",".13%","90.41%","7",".19%","9.59%","73",".13%"
"014
Brooks County","69",".13%","95.83%","3",".08%","4.17%","72",".13%"
"015
Bryan County","120",".23%","96.77%","4",".11%","3.23%","124",".22%"
"016
Bulloch County","506",".97%","91.17%","49","1.30%","8.83%","555","1.00%"
"017
Burke County","212",".41%","95.93%","9",".24%","4.07%","221",".40%"
"018
Butts County","152",".29%","96.82%","5",".13%","3.18%","157",".28%"
"019
Calhoun County","35",".07%","85.37%","6",".16%","14.63%","41",".07%"
"020
Camden County","164",".32%","92.66%","13",".34%","7.34%","177",".32%"
"021
Candler County","124",".24%","92.54%","10",".26%","7.46%","134",".24%"
"022
Carroll County","587","1.13%","91.43%","55","1.46%","8.57%","642","1.15%"
"023
Catoosa County","350",".67%","89.97%","39","1.03%","10.03%","389",".70%"
"024
Charlton County","64",".12%","94.12%","4",".11%","5.88%","68",".12%"
"025
Chatham County","2,275","4.38%","96.32%","87","2.30%","3.68%","2,362","4.24%"
"026
Chattahoochee County","36",".07%","97.30%","1",".03%","2.70%","37",".07%"
"027
Chattooga County","236",".45%","87.08%","35",".93%","12.92%","271",".49%"
"028
Cherokee County","555","1.07%","93.28%","40","1.06%","6.72%","595","1.07%"
"029
Clarke County","462",".89%","95.45%","22",".58%","4.55%","484",".87%"
"030
Clay County","36",".07%","92.31%","3",".08%","7.69%","39",".07%"
"031
Clayton County","1,573","3.03%","93.69%","106","2.81%","6.31%","1,679","3.01%"
"032
Clinch County","58",".11%","96.67%","2",".05%","3.33%","60",".11%"
"033
Cobb County","2,630","5.06%","90.88%","264","6.99%","9.12%","2,894","5.19%"
"034
Coffee County","257",".49%","93.12%","19",".50%","6.88%","276",".50%"
"035
Colquitt County","262",".50%","93.57%","18",".48%","6.43%","280",".50%"
"036
Columbia County","384",".74%","90.78%","39","1.03%","9.22%","423",".76%"
"037
Cook County","133",".26%","95.68%","6",".16%","4.32%","139",".25%"
