"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114
Pike County","54",".11%","87.10%","8",".22%","12.90%","62",".11%"
"115
Polk County","173",".34%","94.54%","10",".28%","5.46%","183",".34%"
"116
Pulaski County","58",".11%","93.55%","4",".11%","6.45%","62",".11%"
"117
Putnam County","169",".33%","90.37%","18",".50%","9.63%","187",".34%"
"118
Quitman County","22",".04%","100.00%","","","","22",".04%"
"119
Rabun County","45",".09%","88.24%","6",".17%","11.76%","51",".09%"
"120
Randolph County","74",".15%","97.37%","2",".06%","2.63%","76",".14%"
"121
Richmond County","1,916","3.78%","94.11%","120","3.34%","5.89%","2,036","3.75%"
"122
Rockdale County","451",".89%","93.76%","30",".83%","6.24%","481",".89%"
"123
Schley County","19",".04%","95.00%","1",".03%","5.00%","20",".04%"
"124
Screven County","134",".26%","95.71%","6",".17%","4.29%","140",".26%"
"125
Seminole County","72",".14%","91.14%","7",".19%","8.86%","79",".15%"
"126
Spalding County","511","1.01%","94.45%","30",".83%","5.55%","541","1.00%"
"127
Stephens County","174",".34%","92.55%","14",".39%","7.45%","188",".35%"
"128
Stewart County","26",".05%","96.30%","1",".03%","3.70%","27",".05%"
"129
Sumter County","215",".42%","93.89%","14",".39%","6.11%","229",".42%"
"130
Talbot County","52",".10%","94.55%","3",".08%","5.45%","55",".10%"
"131
Taliaferro County","27",".05%","87.10%","4",".11%","12.90%","31",".06%"
"132
Tattnall County","186",".37%","91.63%","17",".47%","8.37%","203",".37%"
"133
Taylor County","67",".13%","94.37%","4",".11%","5.63%","71",".13%"
"134
Telfair County","91",".18%","93.81%","6",".17%","6.19%","97",".18%"
"135
Terrell County","87",".17%","96.67%","3",".08%","3.33%","90",".17%"
"136
Thomas County","225",".44%","92.98%","17",".47%","7.02%","242",".45%"
"137
Tift County","322",".63%","96.12%","13",".36%","3.88%","335",".62%"
"138
Toombs County","335",".66%","92.03%","29",".81%","7.97%","364",".67%"
"139
Towns County","37",".07%","94.87%","2",".06%","5.13%","39",".07%"
"140
Treutlen County","85",".17%","94.44%","5",".14%","5.56%","90",".17%"
"141
Troup County","594","1.17%","92.38%","49","1.36%","7.62%","643","1.18%"
"142
Turner County","61",".12%","91.04%","6",".17%","8.96%","67",".12%"
"143
Twiggs County","67",".13%","97.10%","2",".06%","2.90%","69",".13%"
"144
Union County","67",".13%","84.81%","12",".33%","15.19%","79",".15%"
"145
Upson County","180",".35%","96.26%","7",".19%","3.74%","187",".34%"
"146
Walker County","375",".74%","90.80%","38","1.06%","9.20%","413",".76%"
"147
Walton County","508","1.00%","89.44%","60","1.67%","10.56%","568","1.05%"
"148
Ware County","343",".68%","95.01%","18",".50%","4.99%","361",".66%"
"149
Warren County","47",".09%","95.92%","2",".06%","4.08%","49",".09%"
"150
Washington County","188",".37%","89.52%","22",".61%","10.48%","210",".39%"
"151
Wayne County","158",".31%","91.86%","14",".39%","8.14%","172",".32%"
