"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"076
Houston County","705","1.42%","94.38%","42","1.20%","5.62%","747","1.41%"
"077
Irwin County","75",".15%","94.94%","4",".11%","5.06%","79",".15%"
"078
Jackson County","252",".51%","91.64%","23",".66%","8.36%","275",".52%"
"079
Jasper County","57",".11%","90.48%","6",".17%","9.52%","63",".12%"
"080
Jeff Davis County","88",".18%","94.62%","5",".14%","5.38%","93",".17%"
"081
Jefferson County","174",".35%","98.86%","2",".06%","1.14%","176",".33%"
"082
Jenkins County","75",".15%","94.94%","4",".11%","5.06%","79",".15%"
"083
Johnson County","55",".11%","96.49%","2",".06%","3.51%","57",".11%"
"084
Jones County","200",".40%","89.29%","24",".69%","10.71%","224",".42%"
"085
Lamar County","74",".15%","92.50%","6",".17%","7.50%","80",".15%"
"086
Lanier County","43",".09%","95.56%","2",".06%","4.44%","45",".08%"
"087
Laurens County","287",".58%","94.72%","16",".46%","5.28%","303",".57%"
"088
Lee County","63",".13%","92.65%","5",".14%","7.35%","68",".13%"
"089
Liberty County","297",".60%","94.29%","18",".52%","5.71%","315",".59%"
"090
Lincoln County","30",".06%","96.77%","1",".03%","3.23%","31",".06%"
"091
Long County","81",".16%","94.19%","5",".14%","5.81%","86",".16%"
"092
Lowndes County","543","1.09%","95.43%","26",".74%","4.57%","569","1.07%"
"093
Lumpkin County","91",".18%","90.10%","10",".29%","9.90%","101",".19%"
"094
Macon County","65",".13%","97.01%","2",".06%","2.99%","67",".13%"
"095
Madison County","94",".19%","91.26%","9",".26%","8.74%","103",".19%"
"096
Marion County","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"097
Mcduffie County","191",".38%","95.98%","8",".23%","4.02%","199",".37%"
"098
Mcintosh County","73",".15%","93.59%","5",".14%","6.41%","78",".15%"
"099
Meriwether County","165",".33%","96.49%","6",".17%","3.51%","171",".32%"
"100
Miller County","31",".06%","100.00%","","","","31",".06%"
"101
Mitchell County","198",".40%","92.09%","17",".49%","7.91%","215",".40%"
"102
Monroe County","157",".32%","90.23%","17",".49%","9.77%","174",".33%"
"103
Montgomery County","40",".08%","100.00%","","","","40",".08%"
"104
Morgan County","153",".31%","90.53%","16",".46%","9.47%","169",".32%"
"105
Murray County","146",".29%","90.68%","15",".43%","9.32%","161",".30%"
"106
Muscogee County","1,270","2.56%","95.27%","63","1.80%","4.73%","1,333","2.51%"
"107
Newton County","620","1.25%","91.99%","54","1.55%","8.01%","674","1.27%"
"108
Oconee County","51",".10%","98.08%","1",".03%","1.92%","52",".10%"
"109
Oglethorpe County","58",".12%","96.67%","2",".06%","3.33%","60",".11%"
"110
Paulding County","272",".55%","92.52%","22",".63%","7.48%","294",".55%"
"111
Peach County","80",".16%","96.39%","3",".09%","3.61%","83",".16%"
"112
Pickens County","86",".17%","94.51%","5",".14%","5.49%","91",".17%"
"113
Pierce County","81",".16%","95.29%","4",".11%","4.71%","85",".16%"
