"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"152
Webster County","5",".01%","71.43%","2",".07%","28.57%","7",".01%"
"153
Wheeler County","17",".04%","89.47%","2",".07%","10.53%","19",".04%"
"154
White County","72",".16%","94.74%","4",".13%","5.26%","76",".16%"
"155
Whitfield County","726","1.66%","88.64%","93","3.07%","11.36%","819","1.75%"
"156
Wilcox County","49",".11%","96.08%","2",".07%","3.92%","51",".11%"
"157
Wilkes County","63",".14%","96.92%","2",".07%","3.08%","65",".14%"
"158
Wilkinson County","42",".10%","95.45%","2",".07%","4.55%","44",".09%"
"159
Worth County","124",".28%","89.21%","15",".49%","10.79%","139",".30%"
"Total Rported","43,860","100%","93.53%","3,032","100%","6.47%","46,892","100%"
