"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"39
Crawford","17",".04%","85.00%","3",".10%","15.00%","20",".04%"
"40
Crisp","277",".60%","93.58%","19",".62%","6.42%","296",".61%"
"41
Dade","127",".28%","93.38%","9",".29%","6.62%","136",".28%"
"42
Dawson","80",".17%","93.02%","6",".20%","6.98%","86",".18%"
"43
Decatur","270",".59%","93.43%","19",".62%","6.57%","289",".59%"
"44
Dekalb","2,963","6.47%","95.70%","133","4.36%","4.30%","3,096","6.34%"
"45
Dodge","156",".34%","91.76%","14",".46%","8.24%","170",".35%"
"46
Dooly","103",".22%","94.50%","6",".20%","5.50%","109",".22%"
"47
Dougherty","947","2.07%","94.51%","55","1.80%","5.49%","1,002","2.05%"
"48
Douglas","955","2.08%","90.78%","97","3.18%","9.22%","1,052","2.15%"
"49
Early","65",".14%","97.01%","2",".07%","2.99%","67",".14%"
"50
Echols","11",".02%","100.00%","","","","11",".02%"
"51
Effingham","169",".37%","92.86%","13",".43%","7.14%","182",".37%"
"52
Elbert","152",".33%","91.02%","15",".49%","8.98%","167",".34%"
"53
Emanuel","177",".39%","96.72%","6",".20%","3.28%","183",".37%"
"54
Evans","79",".17%","96.34%","3",".10%","3.66%","82",".17%"
"55
Fannin","98",".21%","87.50%","14",".46%","12.50%","112",".23%"
"56
Fayette","279",".61%","94.58%","16",".52%","5.42%","295",".60%"
"57
Floyd","750","1.64%","89.07%","92","3.02%","10.93%","842","1.72%"
"58
Forsyth","209",".46%","89.70%","24",".79%","10.30%","233",".48%"
"59
Franklin","123",".27%","92.48%","10",".33%","7.52%","133",".27%"
"60
Fulton","4,279","9.34%","96.01%","178","5.83%","3.99%","4,457","9.12%"
"61
Gilmer","125",".27%","89.93%","14",".46%","10.07%","139",".28%"
"62
Glascock","7",".02%","87.50%","1",".03%","12.50%","8",".02%"
"63
Glynn","449",".98%","96.56%","16",".52%","3.44%","465",".95%"
"64
Gordon","252",".55%","88.11%","34","1.11%","11.89%","286",".59%"
"65
Grady","223",".49%","94.09%","14",".46%","5.91%","237",".48%"
"66
Greene","105",".23%","96.33%","4",".13%","3.67%","109",".22%"
"67
Gwinnett","1,479","3.23%","94.20%","91","2.98%","5.80%","1,570","3.21%"
"68
Habersham","123",".27%","89.78%","14",".46%","10.22%","137",".28%"
"69
Hall","677","1.48%","91.12%","66","2.16%","8.88%","743","1.52%"
"70
Hancock","42",".09%","97.67%","1",".03%","2.33%","43",".09%"
"71
Haralson","68",".15%","97.14%","2",".07%","2.86%","70",".14%"
"72
Harris","97",".21%","95.10%","5",".16%","4.90%","102",".21%"
"73
Hart","90",".20%","91.84%","8",".26%","8.16%","98",".20%"
"74
Heard","50",".11%","96.15%","2",".07%","3.85%","52",".11%"
"75
Henry","421",".92%","92.32%","35","1.15%","7.68%","456",".93%"
"76
Houston","559","1.22%","93.95%","36","1.18%","6.05%","595","1.22%"
