"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Appling","91",".19%","94.79%","5",".15%","5.21%","96",".19%"
"Atkinson","37",".08%","94.87%","2",".06%","5.13%","39",".08%"
"Bacon","58",".12%","100.00%","","","","58",".11%"
"Baker","13",".03%","92.86%","1",".03%","7.14%","14",".03%"
"Baldwin
1 2 3 4 5 6 7 8 9 1","360",".75%","94.99%","19",".55%","5.01%","379",".74%"
"Banks","72",".15%","91.14%","7",".20%","8.86%","79",".15%"
"Barrow","242",".51%","95.65%","11",".32%","4.35%","253",".49%"
"Bartow","522","1.09%","87.88%","72","2.10%","12.12%","594","1.16%"
"Ben Hill","234",".49%","94.74%","13",".38%","5.26%","247",".48%"
"Berrien","77",".16%","88.51%","10",".29%","11.49%","87",".17%"
"Bibb","1,010","2.11%","94.75%","56","1.63%","5.25%","1,066","2.08%"
"Bleckley","100",".21%","90.09%","11",".32%","9.91%","111",".22%"
"Brantley","55",".11%","94.83%","3",".09%","5.17%","58",".11%"
"Brooks","65",".14%","100.00%","","","","65",".13%"
"Bryan","105",".22%","90.52%","11",".32%","9.48%","116",".23%"
"Bulloch","463",".97%","94.30%","28",".82%","5.70%","491",".96%"
"Burke","202",".42%","95.28%","10",".29%","4.72%","212",".41%"
"Butts","147",".31%","96.08%","6",".17%","3.92%","153",".30%"
"Calhoun","36",".08%","92.31%","3",".09%","7.69%","39",".08%"
"Camden","122",".25%","94.57%","7",".20%","5.43%","129",".25%"
"Candler","81",".17%","97.59%","2",".06%","2.41%","83",".16%"
"Carroll","550","1.15%","90.46%","58","1.69%","9.54%","608","1.19%"
"Catoosa","251",".52%","91.61%","23",".67%","8.39%","274",".53%"
"Charlton","56",".12%","93.33%","4",".12%","6.67%","60",".12%"
"Chatham","2,354","4.92%","94.31%","142","4.14%","5.69%","2,496","4.87%"
"Chattahoochee","27",".06%","100.00%","","","","27",".05%"
"Chattooga","216",".45%","86.40%","34",".99%","13.60%","250",".49%"
"Cherokee","542","1.13%","92.65%","43","1.25%","7.35%","585","1.14%"
"Clarke","494","1.03%","93.92%","32",".93%","6.08%","526","1.03%"
"Clay","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"Clayton","1,555","3.25%","92.56%","125","3.64%","7.44%","1,680","3.28%"
"Clinch","45",".09%","91.84%","4",".12%","8.16%","49",".10%"
"Cobb","2,550","5.33%","91.20%","246","7.16%","8.80%","2,796","5.45%"
"Coffee","219",".46%","90.50%","23",".67%","9.50%","242",".47%"
"Colquitt","299",".62%","96.76%","10",".29%","3.24%","309",".60%"
"Columbia","277",".58%","92.33%","23",".67%","7.67%","300",".58%"
"Cook","136",".28%","94.44%","8",".23%","5.56%","144",".28%"
"Coweta","512","1.07%","94.12%","32",".93%","5.88%","544","1.06%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Crawford","18",".04%","85.71%","3",".09%","14.29%","21",".04%"
"Crisp","291",".61%","90.65%","30",".87%","9.35%","321",".63%"
"Dade","123",".26%","92.48%","10",".29%","7.52%","133",".26%"
"Dawson","90",".19%","93.75%","6",".17%","6.25%","96",".19%"
"Decatur","264",".55%","93.95%","17",".50%","6.05%","281",".55%"
"Dekalb","3,055","6.38%","95.14%","156","4.54%","4.86%","3,211","6.26%"
"Dodge","161",".34%","93.60%","11",".32%","6.40%","172",".34%"
"Dooly","107",".22%","95.54%","5",".15%","4.46%","112",".22%"
"Dougherty","947","1.98%","93.86%","62","1.81%","6.14%","1,009","1.97%"
"Douglas","1,064","2.22%","89.79%","121","3.52%","10.21%","1,185","2.31%"
"Early","76",".16%","96.20%","3",".09%","3.80%","79",".15%"
"Echols","13",".03%","100.00%","","","","13",".03%"
"Effingham","165",".34%","90.16%","18",".52%","9.84%","183",".36%"
"Elbert","157",".33%","92.90%","12",".35%","7.10%","169",".33%"
"Emanuel","160",".33%","96.39%","6",".17%","3.61%","166",".32%"
"Evans","80",".17%","93.02%","6",".17%","6.98%","86",".17%"
"Fannin","103",".22%","91.96%","9",".26%","8.04%","112",".22%"
"Fayette","276",".58%","91.69%","25",".73%","8.31%","301",".59%"
"Floyd","794","1.66%","89.92%","89","2.59%","10.08%","883","1.72%"
"Forsyth","262",".55%","91.29%","25",".73%","8.71%","287",".56%"
"Franklin","129",".27%","90.21%","14",".41%","9.79%","143",".28%"
"Fulton","4,359","9.11%","96.31%","167","4.86%","3.69%","4,526","8.83%"
"Gilmer","132",".28%","88.00%","18",".52%","12.00%","150",".29%"
"Glascock","5",".01%","83.33%","1",".03%","16.67%","6",".01%"
"Glynn","450",".94%","96.36%","17",".50%","3.64%","467",".91%"
"Gordon","289",".60%","88.38%","38","1.11%","11.62%","327",".64%"
"Grady","211",".44%","92.14%","18",".52%","7.86%","229",".45%"
"Greene","100",".21%","96.15%","4",".12%","3.85%","104",".20%"
"Gwinnett","1,518","3.17%","92.84%","117","3.41%","7.16%","1,635","3.19%"
"Habersham","123",".26%","89.13%","15",".44%","10.87%","138",".27%"
"Hall","725","1.52%","92.36%","60","1.75%","7.64%","785","1.53%"
"Hancock","43",".09%","95.56%","2",".06%","4.44%","45",".09%"
"Haralson","84",".18%","95.45%","4",".12%","4.55%","88",".17%"
"Harris","93",".19%","96.88%","3",".09%","3.13%","96",".19%"
"Hart","110",".23%","94.83%","6",".17%","5.17%","116",".23%"
"Heard","54",".11%","90.00%","6",".17%","10.00%","60",".12%"
"Henry","496","1.04%","90.84%","50","1.46%","9.16%","546","1.06%"
"Houston","600","1.25%","93.17%","44","1.28%","6.83%","644","1.26%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Irwin","63",".13%","95.45%","3",".09%","4.55%","66",".13%"
