"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"115
Polk","141",".29%","89.24%","17",".46%","10.76%","158",".30%"
"116
Pulaski","88",".18%","92.63%","7",".19%","7.37%","95",".18%"
"117
Putnam","141",".29%","96.58%","5",".13%","3.42%","146",".28%"
"118
Quitman","19",".04%","90.48%","2",".05%","9.52%","21",".04%"
"119
Rabun","53",".11%","82.81%","11",".30%","17.19%","64",".12%"
"120
Randolph","60",".12%","95.24%","3",".08%","4.76%","63",".12%"
"121
Richmond","1,689","3.48%","93.63%","115","3.10%","6.37%","1,804","3.45%"
"122
Rockdale","441",".91%","91.49%","41","1.10%","8.51%","482",".92%"
"123
Schley","26",".05%","96.30%","1",".03%","3.70%","27",".05%"
"124
Screven","126",".26%","93.33%","9",".24%","6.67%","135",".26%"
"125
Seminole","55",".11%","85.94%","9",".24%","14.06%","64",".12%"
"126
Spalding","585","1.21%","91.41%","55","1.48%","8.59%","640","1.23%"
"127
Stephens","184",".38%","90.20%","20",".54%","9.80%","204",".39%"
"128
Stewart","31",".06%","96.88%","1",".03%","3.13%","32",".06%"
"129
Sumter","221",".46%","96.09%","9",".24%","3.91%","230",".44%"
"130
Talbot","58",".12%","96.67%","2",".05%","3.33%","60",".11%"
"131
Taliaferro","21",".04%","91.30%","2",".05%","8.70%","23",".04%"
"132
Tattnall","181",".37%","91.41%","17",".46%","8.59%","198",".38%"
"133
Taylor","87",".18%","95.60%","4",".11%","4.40%","91",".17%"
"134
Telfair","121",".25%","91.67%","11",".30%","8.33%","132",".25%"
"135
Terrell","77",".16%","97.47%","2",".05%","2.53%","79",".15%"
"136
Thomas","250",".52%","93.28%","18",".48%","6.72%","268",".51%"
"137
Tift","318",".66%","94.64%","18",".48%","5.36%","336",".64%"
"138
Toombs","306",".63%","91.62%","28",".75%","8.38%","334",".64%"
"139
Towns","47",".10%","90.38%","5",".13%","9.62%","52",".10%"
"140
Treutlen","72",".15%","93.51%","5",".13%","6.49%","77",".15%"
"141
Troup","645","1.33%","89.58%","75","2.02%","10.42%","720","1.38%"
"142
Turner","73",".15%","96.05%","3",".08%","3.95%","76",".15%"
"143
Twiggs","65",".13%","94.20%","4",".11%","5.80%","69",".13%"
"144
Union","76",".16%","80.85%","18",".48%","19.15%","94",".18%"
"145
Upson","193",".40%","91.04%","19",".51%","8.96%","212",".41%"
"146
Walker","400",".82%","89.69%","46","1.24%","10.31%","446",".85%"
"147
Walton","450",".93%","90.00%","50","1.35%","10.00%","500",".96%"
"148
Ware","305",".63%","93.85%","20",".54%","6.15%","325",".62%"
"149
Warren","40",".08%","90.91%","4",".11%","9.09%","44",".08%"
"150
Washington","120",".25%","90.91%","12",".32%","9.09%","132",".25%"
"151
Wayne","165",".34%","89.67%","19",".51%","10.33%","184",".35%"
"152
Webster","6",".01%","100.00%","","","","6",".01%"
