"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Johnson County","36",".07%","94.74%","2",".05%","5.26%","38",".07%"
"Jones County","211",".42%","88.28%","28",".73%","11.72%","239",".44%"
"Lamar County","85",".17%","94.44%","5",".13%","5.56%","90",".16%"
"Lanier County","44",".09%","95.65%","2",".05%","4.35%","46",".08%"
"Laurens County","248",".49%","93.94%","16",".42%","6.06%","264",".48%"
"Lee County","74",".15%","90.24%","8",".21%","9.76%","82",".15%"
"Liberty County","249",".49%","93.96%","16",".42%","6.04%","265",".49%"
"Lincoln County","32",".06%","96.97%","1",".03%","3.03%","33",".06%"
"Long County","70",".14%","93.33%","5",".13%","6.67%","75",".14%"
"Lowndes County","503",".99%","95.99%","21",".55%","4.01%","524",".96%"
"Lumpkin County","79",".16%","89.77%","9",".23%","10.23%","88",".16%"
"Macon County","53",".10%","100.00%","","","","53",".10%"
"Madison County","133",".26%","89.26%","16",".42%","10.74%","149",".27%"
"Marion County","24",".05%","88.89%","3",".08%","11.11%","27",".05%"
"Mcduffie County","204",".40%","94.01%","13",".34%","5.99%","217",".40%"
"Mcintosh County","48",".09%","97.96%","1",".03%","2.04%","49",".09%"
"Meriwether County","184",".36%","89.76%","21",".55%","10.24%","205",".38%"
"Miller County","33",".07%","91.67%","3",".08%","8.33%","36",".07%"
"Mitchell County","154",".30%","92.77%","12",".31%","7.23%","166",".30%"
"Monroe County","135",".27%","91.84%","12",".31%","8.16%","147",".27%"
"Montgomery County","34",".07%","89.47%","4",".10%","10.53%","38",".07%"
"Morgan County","139",".27%","92.05%","12",".31%","7.95%","151",".28%"
"Murray County","180",".35%","94.24%","11",".29%","5.76%","191",".35%"
"Muscogee County","1,199","2.36%","95.01%","63","1.64%","4.99%","1,262","2.31%"
"Newton County","725","1.43%","90.97%","72","1.87%","9.03%","797","1.46%"
"Oconee County","57",".11%","95.00%","3",".08%","5.00%","60",".11%"
"Oglethorpe County","69",".14%","90.79%","7",".18%","9.21%","76",".14%"
"Paulding County","235",".46%","92.16%","20",".52%","7.84%","255",".47%"
"Peach County","106",".21%","92.98%","8",".21%","7.02%","114",".21%"
"Pickens County","94",".19%","87.85%","13",".34%","12.15%","107",".20%"
"Pierce County","112",".22%","91.06%","11",".29%","8.94%","123",".23%"
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"Pike County","44",".09%","91.67%","4",".10%","8.33%","48",".09%"
"Polk County","186",".37%","92.54%","15",".39%","7.46%","201",".37%"
"Pulaski County","54",".11%","94.74%","3",".08%","5.26%","57",".10%"
"Putnam County","158",".31%","91.33%","15",".39%","8.67%","173",".32%"
"Quitman County","17",".03%","100.00%","","","","17",".03%"
"Rabun County","54",".11%","90.00%","6",".16%","10.00%","60",".11%"
"Randolph County","65",".13%","94.20%","4",".10%","5.80%","69",".13%"
